TIME,SUBJECT,COVERAGE
0,SpiritCoin.sol,0
12,SpiritCoin.sol,61.54
21,SpiritCoin.sol,61.54
30,SpiritCoin.sol,67.69
40,SpiritCoin.sol,67.69
50,SpiritCoin.sol,67.69
59,SpiritCoin.sol,67.69
70,SpiritCoin.sol,67.69
78,SpiritCoin.sol,67.69
88,SpiritCoin.sol,67.69
99,SpiritCoin.sol,67.69
110,SpiritCoin.sol,67.69
120,SpiritCoin.sol,67.69
129,SpiritCoin.sol,67.69
138,SpiritCoin.sol,67.69
151,SpiritCoin.sol,67.69
162,SpiritCoin.sol,67.69
170,SpiritCoin.sol,67.69
179,SpiritCoin.sol,67.69
191,SpiritCoin.sol,67.69
200,SpiritCoin.sol,67.69
208,SpiritCoin.sol,67.69
220,SpiritCoin.sol,67.69
229,SpiritCoin.sol,67.69
243,SpiritCoin.sol,67.69
255,SpiritCoin.sol,67.69
264,SpiritCoin.sol,67.69
274,SpiritCoin.sol,67.69
290,SpiritCoin.sol,67.69
303,SpiritCoin.sol,67.69
313,SpiritCoin.sol,67.69
330,SpiritCoin.sol,67.69
341,SpiritCoin.sol,67.69
353,SpiritCoin.sol,67.69
363,SpiritCoin.sol,67.69
377,SpiritCoin.sol,67.69
389,SpiritCoin.sol,67.69
398,SpiritCoin.sol,67.69
410,SpiritCoin.sol,67.69
423,SpiritCoin.sol,67.69
441,SpiritCoin.sol,67.69
456,SpiritCoin.sol,67.69
470,SpiritCoin.sol,67.69
482,SpiritCoin.sol,67.69
499,SpiritCoin.sol,67.69
511,SpiritCoin.sol,67.69
521,SpiritCoin.sol,67.69
531,SpiritCoin.sol,67.69
549,SpiritCoin.sol,67.69
565,SpiritCoin.sol,67.69
583,SpiritCoin.sol,67.69
599,SpiritCoin.sol,67.69
612,SpiritCoin.sol,67.69
629,SpiritCoin.sol,67.69
648,SpiritCoin.sol,67.69
667,SpiritCoin.sol,67.69
677,SpiritCoin.sol,67.69
685,SpiritCoin.sol,67.69
701,SpiritCoin.sol,67.69
716,SpiritCoin.sol,67.69
728,SpiritCoin.sol,67.69
744,SpiritCoin.sol,67.69
756,SpiritCoin.sol,67.69
766,SpiritCoin.sol,67.69
780,SpiritCoin.sol,67.69
795,SpiritCoin.sol,67.69
807,SpiritCoin.sol,67.69
817,SpiritCoin.sol,67.69
826,SpiritCoin.sol,67.69
835,SpiritCoin.sol,67.69
844,SpiritCoin.sol,67.69
859,SpiritCoin.sol,67.69
868,SpiritCoin.sol,67.69
878,SpiritCoin.sol,67.69
890,SpiritCoin.sol,67.69
904,SpiritCoin.sol,67.69
916,SpiritCoin.sol,67.69
927,SpiritCoin.sol,67.69
938,SpiritCoin.sol,67.69
947,SpiritCoin.sol,67.69
959,SpiritCoin.sol,67.69
972,SpiritCoin.sol,67.69
986,SpiritCoin.sol,67.69
997,SpiritCoin.sol,67.69
1007,SpiritCoin.sol,67.69
1015,SpiritCoin.sol,67.69
1026,SpiritCoin.sol,67.69
1036,SpiritCoin.sol,67.69
1048,SpiritCoin.sol,67.69
1058,SpiritCoin.sol,67.69
1069,SpiritCoin.sol,67.69
1080,SpiritCoin.sol,67.69
1090,SpiritCoin.sol,67.69
1100,SpiritCoin.sol,67.69
1111,SpiritCoin.sol,67.69
1124,SpiritCoin.sol,67.69
1133,SpiritCoin.sol,67.69
1142,SpiritCoin.sol,67.69
1155,SpiritCoin.sol,67.69
1165,SpiritCoin.sol,67.69
1176,SpiritCoin.sol,67.69
1185,SpiritCoin.sol,67.69
1195,SpiritCoin.sol,67.69
1206,SpiritCoin.sol,67.69
1217,SpiritCoin.sol,67.69
1227,SpiritCoin.sol,67.69
1238,SpiritCoin.sol,67.69
1248,SpiritCoin.sol,67.69
1259,SpiritCoin.sol,67.69
1271,SpiritCoin.sol,67.69
1283,SpiritCoin.sol,67.69
1293,SpiritCoin.sol,67.69
1305,SpiritCoin.sol,67.69
1314,SpiritCoin.sol,67.69
1325,SpiritCoin.sol,67.69
1338,SpiritCoin.sol,67.69
1349,SpiritCoin.sol,67.69
1360,SpiritCoin.sol,67.69
1373,SpiritCoin.sol,67.69
1388,SpiritCoin.sol,67.69
1397,SpiritCoin.sol,67.69
1409,SpiritCoin.sol,67.69
1419,SpiritCoin.sol,67.69
1431,SpiritCoin.sol,67.69
1444,SpiritCoin.sol,67.69
1454,SpiritCoin.sol,67.69
1465,SpiritCoin.sol,67.69
1475,SpiritCoin.sol,67.69
1486,SpiritCoin.sol,67.69
1497,SpiritCoin.sol,67.69
1509,SpiritCoin.sol,67.69
1521,SpiritCoin.sol,67.69
1532,SpiritCoin.sol,67.69
1545,SpiritCoin.sol,67.69
1557,SpiritCoin.sol,67.69
1568,SpiritCoin.sol,67.69
1580,SpiritCoin.sol,67.69
1591,SpiritCoin.sol,67.69
1601,SpiritCoin.sol,67.69
1615,SpiritCoin.sol,67.69
1627,SpiritCoin.sol,67.69
1641,SpiritCoin.sol,67.69
1657,SpiritCoin.sol,67.69
1668,SpiritCoin.sol,67.69
1680,SpiritCoin.sol,67.69
1694,SpiritCoin.sol,67.69
1706,SpiritCoin.sol,67.69
1720,SpiritCoin.sol,67.69
1731,SpiritCoin.sol,67.69
1743,SpiritCoin.sol,67.69
1757,SpiritCoin.sol,67.69
1770,SpiritCoin.sol,67.69
1781,SpiritCoin.sol,67.69
1794,SpiritCoin.sol,67.69
1800,SpiritCoin.sol,67.69
