TIME,SUBJECT,COVERAGE
0,GUMARewards.sol,0
27,GUMARewards.sol,44.83
49,GUMARewards.sol,44.83
70,GUMARewards.sol,44.83
92,GUMARewards.sol,48.28
114,GUMARewards.sol,48.28
141,GUMARewards.sol,48.28
166,GUMARewards.sol,50
186,GUMARewards.sol,50
205,GUMARewards.sol,50
223,GUMARewards.sol,50
244,GUMARewards.sol,50
261,GUMARewards.sol,50
280,GUMARewards.sol,50
298,GUMARewards.sol,50
315,GUMARewards.sol,50
335,GUMARewards.sol,50
357,GUMARewards.sol,50
376,GUMARewards.sol,50
396,GUMARewards.sol,50
416,GUMARewards.sol,50
439,GUMARewards.sol,51.72
460,GUMARewards.sol,51.72
479,GUMARewards.sol,51.72
499,GUMARewards.sol,51.72
519,GUMARewards.sol,51.72
539,GUMARewards.sol,51.72
559,GUMARewards.sol,51.72
578,GUMARewards.sol,51.72
597,GUMARewards.sol,51.72
619,GUMARewards.sol,51.72
639,GUMARewards.sol,51.72
660,GUMARewards.sol,51.72
681,GUMARewards.sol,51.72
699,GUMARewards.sol,51.72
719,GUMARewards.sol,51.72
739,GUMARewards.sol,51.72
760,GUMARewards.sol,51.72
780,GUMARewards.sol,51.72
800,GUMARewards.sol,51.72
820,GUMARewards.sol,51.72
838,GUMARewards.sol,51.72
857,GUMARewards.sol,51.72
875,GUMARewards.sol,51.72
894,GUMARewards.sol,51.72
912,GUMARewards.sol,51.72
932,GUMARewards.sol,51.72
951,GUMARewards.sol,51.72
970,GUMARewards.sol,51.72
990,GUMARewards.sol,51.72
1011,GUMARewards.sol,51.72
1030,GUMARewards.sol,51.72
1052,GUMARewards.sol,51.72
1073,GUMARewards.sol,51.72
1092,GUMARewards.sol,51.72
1111,GUMARewards.sol,51.72
1133,GUMARewards.sol,51.72
1151,GUMARewards.sol,51.72
1171,GUMARewards.sol,51.72
1190,GUMARewards.sol,51.72
1209,GUMARewards.sol,51.72
1227,GUMARewards.sol,51.72
1246,GUMARewards.sol,51.72
1264,GUMARewards.sol,51.72
1282,GUMARewards.sol,51.72
1307,GUMARewards.sol,51.72
1330,GUMARewards.sol,51.72
1351,GUMARewards.sol,51.72
1372,GUMARewards.sol,51.72
1391,GUMARewards.sol,51.72
1411,GUMARewards.sol,51.72
1430,GUMARewards.sol,51.72
1449,GUMARewards.sol,51.72
1467,GUMARewards.sol,51.72
1485,GUMARewards.sol,51.72
1506,GUMARewards.sol,51.72
1525,GUMARewards.sol,51.72
1546,GUMARewards.sol,51.72
1569,GUMARewards.sol,51.72
1588,GUMARewards.sol,51.72
1610,GUMARewards.sol,51.72
1630,GUMARewards.sol,51.72
1649,GUMARewards.sol,51.72
1670,GUMARewards.sol,51.72
1691,GUMARewards.sol,51.72
1711,GUMARewards.sol,51.72
1733,GUMARewards.sol,51.72
1757,GUMARewards.sol,51.72
1778,GUMARewards.sol,51.72
1797,GUMARewards.sol,51.72
1802,GUMARewards.sol,51.72
