TIME,SUBJECT,COVERAGE
0,SALESCONTRACT.sol,0
12,SALESCONTRACT.sol,25
21,SALESCONTRACT.sol,25
30,SALESCONTRACT.sol,25
44,SALESCONTRACT.sol,25
55,SALESCONTRACT.sol,31.25
67,SALESCONTRACT.sol,31.25
80,SALESCONTRACT.sol,31.25
89,SALESCONTRACT.sol,31.25
96,SALESCONTRACT.sol,31.25
107,SALESCONTRACT.sol,37.5
112,SALESCONTRACT.sol,43.75
118,SALESCONTRACT.sol,43.75
128,SALESCONTRACT.sol,43.75
141,SALESCONTRACT.sol,43.75
157,SALESCONTRACT.sol,43.75
169,SALESCONTRACT.sol,43.75
181,SALESCONTRACT.sol,43.75
189,SALESCONTRACT.sol,50
198,SALESCONTRACT.sol,50
206,SALESCONTRACT.sol,50
214,SALESCONTRACT.sol,50
224,SALESCONTRACT.sol,50
232,SALESCONTRACT.sol,50
242,SALESCONTRACT.sol,50
255,SALESCONTRACT.sol,50
263,SALESCONTRACT.sol,50
274,SALESCONTRACT.sol,50
282,SALESCONTRACT.sol,50
291,SALESCONTRACT.sol,50
301,SALESCONTRACT.sol,50
311,SALESCONTRACT.sol,50
320,SALESCONTRACT.sol,50
328,SALESCONTRACT.sol,50
337,SALESCONTRACT.sol,50
349,SALESCONTRACT.sol,50
357,SALESCONTRACT.sol,50
367,SALESCONTRACT.sol,50
377,SALESCONTRACT.sol,50
387,SALESCONTRACT.sol,50
397,SALESCONTRACT.sol,50
406,SALESCONTRACT.sol,50
417,SALESCONTRACT.sol,50
426,SALESCONTRACT.sol,50
436,SALESCONTRACT.sol,50
445,SALESCONTRACT.sol,50
455,SALESCONTRACT.sol,50
465,SALESCONTRACT.sol,50
476,SALESCONTRACT.sol,50
486,SALESCONTRACT.sol,50
496,SALESCONTRACT.sol,50
506,SALESCONTRACT.sol,50
516,SALESCONTRACT.sol,50
527,SALESCONTRACT.sol,50
537,SALESCONTRACT.sol,50
547,SALESCONTRACT.sol,50
557,SALESCONTRACT.sol,50
567,SALESCONTRACT.sol,50
576,SALESCONTRACT.sol,50
586,SALESCONTRACT.sol,50
597,SALESCONTRACT.sol,50
