TIME,SUBJECT,COVERAGE
0,BAE.sol,0
23,BAE.sol,20
48,BAE.sol,20
75,BAE.sol,38
102,BAE.sol,38
129,BAE.sol,38
155,BAE.sol,38
181,BAE.sol,38
207,BAE.sol,38
233,BAE.sol,38
260,BAE.sol,38
286,BAE.sol,38
312,BAE.sol,38
337,BAE.sol,38
363,BAE.sol,38
389,BAE.sol,38
416,BAE.sol,38
442,BAE.sol,38
468,BAE.sol,38
493,BAE.sol,38
519,BAE.sol,38
545,BAE.sol,38
571,BAE.sol,38
598,BAE.sol,38
625,BAE.sol,38
651,BAE.sol,38
677,BAE.sol,38
703,BAE.sol,38
729,BAE.sol,38
755,BAE.sol,38
782,BAE.sol,38
808,BAE.sol,38
834,BAE.sol,38
861,BAE.sol,38
887,BAE.sol,38
914,BAE.sol,38
940,BAE.sol,38
967,BAE.sol,38
994,BAE.sol,38
1019,BAE.sol,38
1046,BAE.sol,38
1072,BAE.sol,38
1099,BAE.sol,38
1125,BAE.sol,38
1152,BAE.sol,38
1179,BAE.sol,38
1206,BAE.sol,38
1232,BAE.sol,38
1258,BAE.sol,38
1285,BAE.sol,38
1312,BAE.sol,38
1339,BAE.sol,38
1365,BAE.sol,38
1391,BAE.sol,38
1421,BAE.sol,38
1453,BAE.sol,38
1479,BAE.sol,38
1506,BAE.sol,38
1533,BAE.sol,38
1561,BAE.sol,38
1588,BAE.sol,38
1617,BAE.sol,38
1643,BAE.sol,38
1677,BAE.sol,38
1714,BAE.sol,38
1754,BAE.sol,38
1804,BAE.sol,38
