TIME,SUBJECT,COVERAGE
0,GreenMarkTrust.sol,0
15,GreenMarkTrust.sol,56
22,GreenMarkTrust.sol,56
31,GreenMarkTrust.sol,56
42,GreenMarkTrust.sol,56
49,GreenMarkTrust.sol,56
56,GreenMarkTrust.sol,56
68,GreenMarkTrust.sol,56
86,GreenMarkTrust.sol,76
99,GreenMarkTrust.sol,76
112,GreenMarkTrust.sol,80
124,GreenMarkTrust.sol,80
136,GreenMarkTrust.sol,80
149,GreenMarkTrust.sol,80
160,GreenMarkTrust.sol,80
177,GreenMarkTrust.sol,80
192,GreenMarkTrust.sol,80
207,GreenMarkTrust.sol,80
219,GreenMarkTrust.sol,80
234,GreenMarkTrust.sol,80
248,GreenMarkTrust.sol,80
264,GreenMarkTrust.sol,80
284,GreenMarkTrust.sol,80
301,GreenMarkTrust.sol,80
313,GreenMarkTrust.sol,80
325,GreenMarkTrust.sol,80
335,GreenMarkTrust.sol,80
348,GreenMarkTrust.sol,80
359,GreenMarkTrust.sol,80
374,GreenMarkTrust.sol,80
387,GreenMarkTrust.sol,80
401,GreenMarkTrust.sol,92
416,GreenMarkTrust.sol,92
430,GreenMarkTrust.sol,92
450,GreenMarkTrust.sol,92
467,GreenMarkTrust.sol,92
482,GreenMarkTrust.sol,92
498,GreenMarkTrust.sol,92
509,GreenMarkTrust.sol,92
524,GreenMarkTrust.sol,92
539,GreenMarkTrust.sol,92
554,GreenMarkTrust.sol,92
565,GreenMarkTrust.sol,92
577,GreenMarkTrust.sol,92
592,GreenMarkTrust.sol,92
610,GreenMarkTrust.sol,92
623,GreenMarkTrust.sol,92
637,GreenMarkTrust.sol,92
644,GreenMarkTrust.sol,92
652,GreenMarkTrust.sol,92
661,GreenMarkTrust.sol,92
675,GreenMarkTrust.sol,92
690,GreenMarkTrust.sol,92
703,GreenMarkTrust.sol,92
716,GreenMarkTrust.sol,92
726,GreenMarkTrust.sol,92
738,GreenMarkTrust.sol,92
750,GreenMarkTrust.sol,92
762,GreenMarkTrust.sol,92
775,GreenMarkTrust.sol,92
788,GreenMarkTrust.sol,92
802,GreenMarkTrust.sol,92
817,GreenMarkTrust.sol,92
830,GreenMarkTrust.sol,92
841,GreenMarkTrust.sol,92
856,GreenMarkTrust.sol,92
868,GreenMarkTrust.sol,92
880,GreenMarkTrust.sol,92
892,GreenMarkTrust.sol,92
903,GreenMarkTrust.sol,92
917,GreenMarkTrust.sol,92
929,GreenMarkTrust.sol,92
942,GreenMarkTrust.sol,92
954,GreenMarkTrust.sol,92
962,GreenMarkTrust.sol,92
969,GreenMarkTrust.sol,92
976,GreenMarkTrust.sol,92
982,GreenMarkTrust.sol,92
989,GreenMarkTrust.sol,92
997,GreenMarkTrust.sol,92
1007,GreenMarkTrust.sol,92
1019,GreenMarkTrust.sol,92
1034,GreenMarkTrust.sol,92
1046,GreenMarkTrust.sol,92
1056,GreenMarkTrust.sol,92
1068,GreenMarkTrust.sol,92
1082,GreenMarkTrust.sol,92
1095,GreenMarkTrust.sol,92
1108,GreenMarkTrust.sol,92
1120,GreenMarkTrust.sol,92
1132,GreenMarkTrust.sol,92
1145,GreenMarkTrust.sol,92
1155,GreenMarkTrust.sol,92
1169,GreenMarkTrust.sol,92
1181,GreenMarkTrust.sol,92
1194,GreenMarkTrust.sol,92
1206,GreenMarkTrust.sol,92
1219,GreenMarkTrust.sol,92
1231,GreenMarkTrust.sol,92
1243,GreenMarkTrust.sol,92
1259,GreenMarkTrust.sol,92
1271,GreenMarkTrust.sol,92
1282,GreenMarkTrust.sol,92
1295,GreenMarkTrust.sol,92
1308,GreenMarkTrust.sol,92
1320,GreenMarkTrust.sol,92
1336,GreenMarkTrust.sol,92
1349,GreenMarkTrust.sol,92
1363,GreenMarkTrust.sol,92
1378,GreenMarkTrust.sol,92
1390,GreenMarkTrust.sol,92
1399,GreenMarkTrust.sol,92
1411,GreenMarkTrust.sol,92
1425,GreenMarkTrust.sol,92
1437,GreenMarkTrust.sol,92
1450,GreenMarkTrust.sol,92
1462,GreenMarkTrust.sol,92
1475,GreenMarkTrust.sol,92
1490,GreenMarkTrust.sol,92
1502,GreenMarkTrust.sol,92
1518,GreenMarkTrust.sol,92
1527,GreenMarkTrust.sol,92
1535,GreenMarkTrust.sol,92
1548,GreenMarkTrust.sol,92
1562,GreenMarkTrust.sol,92
1573,GreenMarkTrust.sol,92
1585,GreenMarkTrust.sol,92
1599,GreenMarkTrust.sol,92
1613,GreenMarkTrust.sol,92
1624,GreenMarkTrust.sol,92
1638,GreenMarkTrust.sol,92
1649,GreenMarkTrust.sol,92
1662,GreenMarkTrust.sol,92
1674,GreenMarkTrust.sol,92
1686,GreenMarkTrust.sol,92
1698,GreenMarkTrust.sol,92
1715,GreenMarkTrust.sol,92
1728,GreenMarkTrust.sol,92
1739,GreenMarkTrust.sol,92
1751,GreenMarkTrust.sol,92
1766,GreenMarkTrust.sol,92
1779,GreenMarkTrust.sol,92
1792,GreenMarkTrust.sol,92
1801,GreenMarkTrust.sol,92
