TIME,SUBJECT,COVERAGE
0,TokenDispatch.sol,0
11,TokenDispatch.sol,18.18
26,TokenDispatch.sol,18.18
37,TokenDispatch.sol,18.18
48,TokenDispatch.sol,18.18
58,TokenDispatch.sol,18.18
69,TokenDispatch.sol,18.18
79,TokenDispatch.sol,18.18
89,TokenDispatch.sol,18.18
99,TokenDispatch.sol,18.18
108,TokenDispatch.sol,18.18
117,TokenDispatch.sol,18.18
127,TokenDispatch.sol,18.18
137,TokenDispatch.sol,18.18
154,TokenDispatch.sol,18.18
169,TokenDispatch.sol,18.18
183,TokenDispatch.sol,18.18
195,TokenDispatch.sol,18.18
210,TokenDispatch.sol,18.18
223,TokenDispatch.sol,18.18
234,TokenDispatch.sol,18.18
249,TokenDispatch.sol,18.18
263,TokenDispatch.sol,18.18
278,TokenDispatch.sol,18.18
291,TokenDispatch.sol,18.18
304,TokenDispatch.sol,18.18
314,TokenDispatch.sol,18.18
324,TokenDispatch.sol,18.18
337,TokenDispatch.sol,18.18
348,TokenDispatch.sol,18.18
358,TokenDispatch.sol,18.18
371,TokenDispatch.sol,18.18
382,TokenDispatch.sol,22.73
393,TokenDispatch.sol,22.73
402,TokenDispatch.sol,22.73
411,TokenDispatch.sol,22.73
422,TokenDispatch.sol,22.73
432,TokenDispatch.sol,22.73
443,TokenDispatch.sol,22.73
457,TokenDispatch.sol,22.73
467,TokenDispatch.sol,22.73
476,TokenDispatch.sol,22.73
487,TokenDispatch.sol,22.73
497,TokenDispatch.sol,22.73
507,TokenDispatch.sol,22.73
519,TokenDispatch.sol,22.73
529,TokenDispatch.sol,22.73
538,TokenDispatch.sol,22.73
555,TokenDispatch.sol,22.73
566,TokenDispatch.sol,22.73
574,TokenDispatch.sol,22.73
585,TokenDispatch.sol,22.73
595,TokenDispatch.sol,22.73
607,TokenDispatch.sol,22.73
616,TokenDispatch.sol,22.73
627,TokenDispatch.sol,22.73
637,TokenDispatch.sol,22.73
647,TokenDispatch.sol,22.73
656,TokenDispatch.sol,22.73
666,TokenDispatch.sol,22.73
675,TokenDispatch.sol,22.73
684,TokenDispatch.sol,22.73
694,TokenDispatch.sol,22.73
702,TokenDispatch.sol,22.73
713,TokenDispatch.sol,22.73
723,TokenDispatch.sol,22.73
734,TokenDispatch.sol,22.73
745,TokenDispatch.sol,22.73
755,TokenDispatch.sol,22.73
766,TokenDispatch.sol,22.73
776,TokenDispatch.sol,22.73
784,TokenDispatch.sol,22.73
794,TokenDispatch.sol,22.73
803,TokenDispatch.sol,22.73
814,TokenDispatch.sol,22.73
823,TokenDispatch.sol,22.73
835,TokenDispatch.sol,22.73
845,TokenDispatch.sol,22.73
856,TokenDispatch.sol,22.73
865,TokenDispatch.sol,22.73
876,TokenDispatch.sol,22.73
886,TokenDispatch.sol,22.73
895,TokenDispatch.sol,22.73
907,TokenDispatch.sol,22.73
916,TokenDispatch.sol,22.73
924,TokenDispatch.sol,22.73
932,TokenDispatch.sol,22.73
941,TokenDispatch.sol,22.73
949,TokenDispatch.sol,22.73
957,TokenDispatch.sol,22.73
967,TokenDispatch.sol,22.73
976,TokenDispatch.sol,22.73
984,TokenDispatch.sol,22.73
992,TokenDispatch.sol,22.73
1001,TokenDispatch.sol,22.73
1008,TokenDispatch.sol,22.73
1016,TokenDispatch.sol,22.73
1025,TokenDispatch.sol,22.73
1033,TokenDispatch.sol,22.73
1041,TokenDispatch.sol,22.73
1049,TokenDispatch.sol,22.73
1058,TokenDispatch.sol,22.73
1066,TokenDispatch.sol,22.73
1074,TokenDispatch.sol,22.73
1081,TokenDispatch.sol,22.73
1089,TokenDispatch.sol,22.73
1097,TokenDispatch.sol,22.73
1106,TokenDispatch.sol,22.73
1114,TokenDispatch.sol,22.73
1122,TokenDispatch.sol,22.73
1131,TokenDispatch.sol,22.73
1139,TokenDispatch.sol,22.73
1147,TokenDispatch.sol,22.73
1155,TokenDispatch.sol,22.73
1164,TokenDispatch.sol,22.73
1171,TokenDispatch.sol,22.73
1179,TokenDispatch.sol,22.73
1187,TokenDispatch.sol,22.73
1196,TokenDispatch.sol,22.73
1204,TokenDispatch.sol,22.73
1212,TokenDispatch.sol,22.73
1221,TokenDispatch.sol,22.73
1229,TokenDispatch.sol,22.73
1244,TokenDispatch.sol,22.73
1253,TokenDispatch.sol,22.73
1264,TokenDispatch.sol,22.73
1273,TokenDispatch.sol,22.73
1283,TokenDispatch.sol,22.73
1294,TokenDispatch.sol,22.73
1305,TokenDispatch.sol,22.73
1315,TokenDispatch.sol,22.73
1325,TokenDispatch.sol,22.73
1335,TokenDispatch.sol,22.73
1346,TokenDispatch.sol,22.73
1357,TokenDispatch.sol,22.73
1368,TokenDispatch.sol,22.73
1380,TokenDispatch.sol,22.73
1392,TokenDispatch.sol,22.73
1402,TokenDispatch.sol,22.73
1412,TokenDispatch.sol,22.73
1424,TokenDispatch.sol,22.73
1437,TokenDispatch.sol,22.73
1448,TokenDispatch.sol,22.73
1461,TokenDispatch.sol,22.73
1478,TokenDispatch.sol,22.73
1488,TokenDispatch.sol,22.73
1500,TokenDispatch.sol,22.73
1511,TokenDispatch.sol,22.73
1521,TokenDispatch.sol,22.73
1534,TokenDispatch.sol,22.73
1544,TokenDispatch.sol,22.73
1553,TokenDispatch.sol,22.73
1565,TokenDispatch.sol,22.73
1576,TokenDispatch.sol,22.73
1586,TokenDispatch.sol,22.73
1596,TokenDispatch.sol,22.73
1606,TokenDispatch.sol,22.73
1619,TokenDispatch.sol,22.73
1627,TokenDispatch.sol,22.73
1638,TokenDispatch.sol,22.73
1649,TokenDispatch.sol,22.73
1660,TokenDispatch.sol,22.73
1670,TokenDispatch.sol,22.73
1682,TokenDispatch.sol,22.73
1691,TokenDispatch.sol,22.73
1702,TokenDispatch.sol,22.73
1715,TokenDispatch.sol,22.73
1725,TokenDispatch.sol,22.73
1738,TokenDispatch.sol,22.73
1746,TokenDispatch.sol,22.73
1754,TokenDispatch.sol,22.73
1765,TokenDispatch.sol,22.73
1776,TokenDispatch.sol,22.73
1785,TokenDispatch.sol,22.73
1796,TokenDispatch.sol,22.73
1801,TokenDispatch.sol,22.73
