TIME,SUBJECT,COVERAGE
0,RainbowRAK.sol,0
21,RainbowRAK.sol,28.83
51,RainbowRAK.sol,31.53
78,RainbowRAK.sol,35.14
104,RainbowRAK.sol,35.14
128,RainbowRAK.sol,40.54
151,RainbowRAK.sol,45.05
176,RainbowRAK.sol,45.05
201,RainbowRAK.sol,45.05
227,RainbowRAK.sol,45.95
252,RainbowRAK.sol,45.95
277,RainbowRAK.sol,45.95
302,RainbowRAK.sol,45.95
325,RainbowRAK.sol,45.95
350,RainbowRAK.sol,48.65
374,RainbowRAK.sol,48.65
399,RainbowRAK.sol,48.65
423,RainbowRAK.sol,48.65
448,RainbowRAK.sol,48.65
473,RainbowRAK.sol,48.65
498,RainbowRAK.sol,48.65
524,RainbowRAK.sol,48.65
551,RainbowRAK.sol,48.65
575,RainbowRAK.sol,48.65
602,RainbowRAK.sol,48.65
627,RainbowRAK.sol,48.65
652,RainbowRAK.sol,48.65
677,RainbowRAK.sol,48.65
706,RainbowRAK.sol,48.65
733,RainbowRAK.sol,48.65
758,RainbowRAK.sol,48.65
783,RainbowRAK.sol,48.65
807,RainbowRAK.sol,48.65
831,RainbowRAK.sol,48.65
858,RainbowRAK.sol,48.65
886,RainbowRAK.sol,48.65
915,RainbowRAK.sol,48.65
942,RainbowRAK.sol,48.65
966,RainbowRAK.sol,48.65
993,RainbowRAK.sol,48.65
1018,RainbowRAK.sol,48.65
1042,RainbowRAK.sol,48.65
1070,RainbowRAK.sol,48.65
1093,RainbowRAK.sol,59.46
1119,RainbowRAK.sol,59.46
1146,RainbowRAK.sol,59.46
1171,RainbowRAK.sol,59.46
1199,RainbowRAK.sol,59.46
1227,RainbowRAK.sol,59.46
1255,RainbowRAK.sol,59.46
1284,RainbowRAK.sol,59.46
1314,RainbowRAK.sol,59.46
1345,RainbowRAK.sol,59.46
1371,RainbowRAK.sol,59.46
1401,RainbowRAK.sol,59.46
1431,RainbowRAK.sol,59.46
1460,RainbowRAK.sol,59.46
1488,RainbowRAK.sol,59.46
1515,RainbowRAK.sol,59.46
1546,RainbowRAK.sol,59.46
1577,RainbowRAK.sol,59.46
1605,RainbowRAK.sol,59.46
1635,RainbowRAK.sol,59.46
1664,RainbowRAK.sol,59.46
1693,RainbowRAK.sol,59.46
1723,RainbowRAK.sol,59.46
1750,RainbowRAK.sol,59.46
1777,RainbowRAK.sol,59.46
1800,RainbowRAK.sol,59.46
