TIME,SUBJECT,COVERAGE
0,Revive.sol,0
20,Revive.sol,31.03
41,Revive.sol,37.07
65,Revive.sol,39.66
91,Revive.sol,43.1
113,Revive.sol,48.28
136,Revive.sol,51.72
157,Revive.sol,52.59
178,Revive.sol,52.59
204,Revive.sol,55.17
224,Revive.sol,60.34
245,Revive.sol,60.34
268,Revive.sol,60.34
288,Revive.sol,60.34
309,Revive.sol,60.34
330,Revive.sol,60.34
349,Revive.sol,60.34
369,Revive.sol,60.34
389,Revive.sol,60.34
411,Revive.sol,60.34
431,Revive.sol,60.34
451,Revive.sol,60.34
471,Revive.sol,60.34
493,Revive.sol,60.34
514,Revive.sol,60.34
537,Revive.sol,60.34
558,Revive.sol,60.34
577,Revive.sol,60.34
596,Revive.sol,60.34
614,Revive.sol,60.34
635,Revive.sol,60.34
657,Revive.sol,60.34
678,Revive.sol,60.34
701,Revive.sol,60.34
723,Revive.sol,60.34
744,Revive.sol,60.34
767,Revive.sol,60.34
787,Revive.sol,60.34
810,Revive.sol,60.34
837,Revive.sol,60.34
860,Revive.sol,60.34
886,Revive.sol,60.34
911,Revive.sol,60.34
936,Revive.sol,60.34
958,Revive.sol,60.34
980,Revive.sol,60.34
1003,Revive.sol,60.34
1023,Revive.sol,60.34
1045,Revive.sol,60.34
1069,Revive.sol,60.34
1090,Revive.sol,60.34
1110,Revive.sol,60.34
1130,Revive.sol,60.34
1151,Revive.sol,60.34
1174,Revive.sol,60.34
1199,Revive.sol,60.34
1228,Revive.sol,60.34
1254,Revive.sol,60.34
1276,Revive.sol,60.34
1299,Revive.sol,60.34
1324,Revive.sol,60.34
1350,Revive.sol,60.34
1371,Revive.sol,60.34
1392,Revive.sol,60.34
1415,Revive.sol,60.34
1439,Revive.sol,60.34
1465,Revive.sol,60.34
1491,Revive.sol,60.34
1517,Revive.sol,60.34
1539,Revive.sol,60.34
1566,Revive.sol,60.34
1589,Revive.sol,60.34
1609,Revive.sol,60.34
1635,Revive.sol,60.34
1660,Revive.sol,60.34
1681,Revive.sol,60.34
1704,Revive.sol,60.34
1729,Revive.sol,60.34
1751,Revive.sol,60.34
1774,Revive.sol,60.34
1797,Revive.sol,60.34
1802,Revive.sol,60.34
