TIME,SUBJECT,COVERAGE
0,INS.sol,0
15,INS.sol,90.91
40,INS.sol,90.91
55,INS.sol,90.91
68,INS.sol,90.91
75,INS.sol,90.91
82,INS.sol,90.91
94,INS.sol,90.91
109,INS.sol,90.91
126,INS.sol,90.91
138,INS.sol,90.91
151,INS.sol,90.91
164,INS.sol,90.91
178,INS.sol,90.91
189,INS.sol,90.91
202,INS.sol,90.91
214,INS.sol,90.91
227,INS.sol,90.91
242,INS.sol,90.91
256,INS.sol,90.91
269,INS.sol,90.91
283,INS.sol,90.91
295,INS.sol,90.91
307,INS.sol,90.91
319,INS.sol,90.91
331,INS.sol,90.91
345,INS.sol,90.91
358,INS.sol,90.91
371,INS.sol,90.91
382,INS.sol,90.91
390,INS.sol,90.91
397,INS.sol,90.91
404,INS.sol,90.91
410,INS.sol,90.91
417,INS.sol,90.91
424,INS.sol,90.91
435,INS.sol,90.91
447,INS.sol,90.91
461,INS.sol,90.91
473,INS.sol,90.91
486,INS.sol,90.91
499,INS.sol,90.91
511,INS.sol,90.91
524,INS.sol,90.91
538,INS.sol,90.91
551,INS.sol,90.91
565,INS.sol,90.91
578,INS.sol,90.91
588,INS.sol,90.91
602,INS.sol,90.91
615,INS.sol,90.91
629,INS.sol,90.91
642,INS.sol,90.91
655,INS.sol,90.91
667,INS.sol,90.91
681,INS.sol,90.91
694,INS.sol,90.91
706,INS.sol,90.91
720,INS.sol,90.91
731,INS.sol,90.91
745,INS.sol,90.91
760,INS.sol,90.91
774,INS.sol,90.91
787,INS.sol,90.91
802,INS.sol,90.91
815,INS.sol,90.91
825,INS.sol,90.91
837,INS.sol,90.91
850,INS.sol,90.91
863,INS.sol,90.91
876,INS.sol,90.91
889,INS.sol,90.91
902,INS.sol,90.91
917,INS.sol,90.91
932,INS.sol,90.91
947,INS.sol,90.91
955,INS.sol,90.91
965,INS.sol,90.91
976,INS.sol,90.91
992,INS.sol,90.91
1001,INS.sol,90.91
1015,INS.sol,90.91
1026,INS.sol,90.91
1041,INS.sol,90.91
1055,INS.sol,90.91
1069,INS.sol,90.91
1082,INS.sol,90.91
1094,INS.sol,90.91
1107,INS.sol,90.91
1122,INS.sol,90.91
1133,INS.sol,90.91
1149,INS.sol,90.91
1161,INS.sol,90.91
1173,INS.sol,90.91
1188,INS.sol,90.91
1202,INS.sol,90.91
1215,INS.sol,90.91
1227,INS.sol,90.91
1241,INS.sol,90.91
1258,INS.sol,90.91
1274,INS.sol,90.91
1287,INS.sol,90.91
1301,INS.sol,90.91
1318,INS.sol,90.91
1332,INS.sol,90.91
1345,INS.sol,90.91
1363,INS.sol,90.91
1377,INS.sol,90.91
1394,INS.sol,90.91
1405,INS.sol,90.91
1419,INS.sol,90.91
1435,INS.sol,90.91
1447,INS.sol,90.91
1465,INS.sol,90.91
1481,INS.sol,90.91
1495,INS.sol,90.91
1513,INS.sol,90.91
1531,INS.sol,90.91
1547,INS.sol,90.91
1564,INS.sol,90.91
1580,INS.sol,90.91
1596,INS.sol,90.91
1609,INS.sol,90.91
1620,INS.sol,90.91
1633,INS.sol,90.91
1643,INS.sol,90.91
1659,INS.sol,90.91
1670,INS.sol,90.91
1684,INS.sol,90.91
1697,INS.sol,90.91
1709,INS.sol,90.91
1724,INS.sol,90.91
1742,INS.sol,90.91
1756,INS.sol,90.91
1772,INS.sol,90.91
1785,INS.sol,90.91
1799,INS.sol,90.91
1800,INS.sol,90.91
