TIME,SUBJECT,COVERAGE
0,Weedburn.sol,0
10,Weedburn.sol,26.19
22,Weedburn.sol,35.71
33,Weedburn.sol,40.48
46,Weedburn.sol,52.38
58,Weedburn.sol,54.76
72,Weedburn.sol,54.76
85,Weedburn.sol,54.76
98,Weedburn.sol,54.76
113,Weedburn.sol,66.67
124,Weedburn.sol,66.67
135,Weedburn.sol,66.67
147,Weedburn.sol,66.67
158,Weedburn.sol,66.67
170,Weedburn.sol,66.67
182,Weedburn.sol,66.67
193,Weedburn.sol,66.67
205,Weedburn.sol,66.67
216,Weedburn.sol,66.67
227,Weedburn.sol,66.67
241,Weedburn.sol,66.67
252,Weedburn.sol,66.67
263,Weedburn.sol,66.67
274,Weedburn.sol,66.67
285,Weedburn.sol,66.67
297,Weedburn.sol,66.67
307,Weedburn.sol,66.67
320,Weedburn.sol,66.67
332,Weedburn.sol,66.67
343,Weedburn.sol,66.67
354,Weedburn.sol,66.67
365,Weedburn.sol,66.67
377,Weedburn.sol,66.67
388,Weedburn.sol,66.67
400,Weedburn.sol,66.67
412,Weedburn.sol,66.67
423,Weedburn.sol,66.67
435,Weedburn.sol,66.67
447,Weedburn.sol,66.67
459,Weedburn.sol,66.67
471,Weedburn.sol,66.67
483,Weedburn.sol,66.67
495,Weedburn.sol,66.67
507,Weedburn.sol,66.67
519,Weedburn.sol,66.67
532,Weedburn.sol,66.67
543,Weedburn.sol,66.67
553,Weedburn.sol,66.67
563,Weedburn.sol,66.67
575,Weedburn.sol,66.67
584,Weedburn.sol,66.67
594,Weedburn.sol,66.67
605,Weedburn.sol,66.67
614,Weedburn.sol,66.67
625,Weedburn.sol,66.67
635,Weedburn.sol,66.67
644,Weedburn.sol,66.67
654,Weedburn.sol,66.67
664,Weedburn.sol,66.67
675,Weedburn.sol,66.67
685,Weedburn.sol,66.67
696,Weedburn.sol,66.67
706,Weedburn.sol,66.67
717,Weedburn.sol,66.67
727,Weedburn.sol,66.67
737,Weedburn.sol,66.67
748,Weedburn.sol,66.67
758,Weedburn.sol,66.67
768,Weedburn.sol,66.67
779,Weedburn.sol,66.67
788,Weedburn.sol,66.67
798,Weedburn.sol,66.67
808,Weedburn.sol,66.67
817,Weedburn.sol,66.67
828,Weedburn.sol,66.67
837,Weedburn.sol,66.67
847,Weedburn.sol,66.67
858,Weedburn.sol,66.67
867,Weedburn.sol,66.67
878,Weedburn.sol,66.67
889,Weedburn.sol,66.67
899,Weedburn.sol,66.67
908,Weedburn.sol,66.67
918,Weedburn.sol,66.67
928,Weedburn.sol,66.67
938,Weedburn.sol,66.67
948,Weedburn.sol,66.67
958,Weedburn.sol,66.67
967,Weedburn.sol,66.67
978,Weedburn.sol,66.67
988,Weedburn.sol,66.67
997,Weedburn.sol,66.67
1013,Weedburn.sol,66.67
1028,Weedburn.sol,66.67
1042,Weedburn.sol,66.67
1057,Weedburn.sol,66.67
1072,Weedburn.sol,66.67
1085,Weedburn.sol,66.67
1096,Weedburn.sol,66.67
1108,Weedburn.sol,66.67
1121,Weedburn.sol,66.67
1134,Weedburn.sol,66.67
1146,Weedburn.sol,66.67
1159,Weedburn.sol,66.67
1172,Weedburn.sol,66.67
1184,Weedburn.sol,66.67
1196,Weedburn.sol,66.67
1208,Weedburn.sol,66.67
1227,Weedburn.sol,66.67
1243,Weedburn.sol,66.67
1255,Weedburn.sol,66.67
1268,Weedburn.sol,66.67
1282,Weedburn.sol,66.67
1296,Weedburn.sol,66.67
1308,Weedburn.sol,66.67
1320,Weedburn.sol,66.67
1332,Weedburn.sol,66.67
1348,Weedburn.sol,66.67
1368,Weedburn.sol,66.67
1385,Weedburn.sol,66.67
1400,Weedburn.sol,66.67
1414,Weedburn.sol,66.67
1426,Weedburn.sol,66.67
1443,Weedburn.sol,66.67
1455,Weedburn.sol,66.67
1469,Weedburn.sol,66.67
1480,Weedburn.sol,66.67
1493,Weedburn.sol,66.67
1507,Weedburn.sol,66.67
1521,Weedburn.sol,66.67
1538,Weedburn.sol,66.67
1553,Weedburn.sol,66.67
1568,Weedburn.sol,66.67
1582,Weedburn.sol,66.67
1597,Weedburn.sol,66.67
1611,Weedburn.sol,66.67
1624,Weedburn.sol,66.67
1637,Weedburn.sol,66.67
1650,Weedburn.sol,66.67
1665,Weedburn.sol,66.67
1681,Weedburn.sol,66.67
1699,Weedburn.sol,66.67
1713,Weedburn.sol,66.67
1734,Weedburn.sol,66.67
1753,Weedburn.sol,66.67
1777,Weedburn.sol,66.67
1792,Weedburn.sol,66.67
1802,Weedburn.sol,66.67
