TIME,SUBJECT,COVERAGE
0,afiController.sol,0
19,afiController.sol,11.86
40,afiController.sol,22.03
62,afiController.sol,23.73
83,afiController.sol,27.12
104,afiController.sol,27.12
124,afiController.sol,27.12
145,afiController.sol,33.9
165,afiController.sol,33.9
183,afiController.sol,33.9
203,afiController.sol,33.9
222,afiController.sol,33.9
242,afiController.sol,35.59
261,afiController.sol,35.59
282,afiController.sol,35.59
302,afiController.sol,35.59
322,afiController.sol,35.59
340,afiController.sol,37.29
359,afiController.sol,37.29
378,afiController.sol,37.29
397,afiController.sol,37.29
417,afiController.sol,37.29
435,afiController.sol,37.29
454,afiController.sol,37.29
473,afiController.sol,37.29
492,afiController.sol,37.29
511,afiController.sol,37.29
529,afiController.sol,37.29
549,afiController.sol,37.29
568,afiController.sol,37.29
587,afiController.sol,37.29
606,afiController.sol,37.29
625,afiController.sol,37.29
644,afiController.sol,37.29
663,afiController.sol,37.29
682,afiController.sol,37.29
701,afiController.sol,37.29
720,afiController.sol,37.29
739,afiController.sol,37.29
758,afiController.sol,37.29
778,afiController.sol,37.29
797,afiController.sol,37.29
816,afiController.sol,37.29
834,afiController.sol,37.29
853,afiController.sol,37.29
872,afiController.sol,37.29
890,afiController.sol,37.29
909,afiController.sol,37.29
929,afiController.sol,37.29
947,afiController.sol,37.29
966,afiController.sol,37.29
985,afiController.sol,37.29
1005,afiController.sol,37.29
1024,afiController.sol,37.29
1042,afiController.sol,37.29
1061,afiController.sol,37.29
1081,afiController.sol,37.29
1099,afiController.sol,37.29
1119,afiController.sol,37.29
1138,afiController.sol,37.29
1157,afiController.sol,37.29
1176,afiController.sol,37.29
1194,afiController.sol,37.29
1214,afiController.sol,37.29
1233,afiController.sol,37.29
1251,afiController.sol,37.29
1270,afiController.sol,37.29
1289,afiController.sol,37.29
1308,afiController.sol,37.29
1327,afiController.sol,37.29
1346,afiController.sol,37.29
1364,afiController.sol,37.29
1383,afiController.sol,37.29
1402,afiController.sol,37.29
1421,afiController.sol,37.29
1441,afiController.sol,37.29
1460,afiController.sol,37.29
1480,afiController.sol,37.29
1500,afiController.sol,37.29
1519,afiController.sol,37.29
1537,afiController.sol,37.29
1557,afiController.sol,37.29
1577,afiController.sol,37.29
1599,afiController.sol,37.29
1620,afiController.sol,37.29
1638,afiController.sol,37.29
1657,afiController.sol,37.29
1676,afiController.sol,37.29
1698,afiController.sol,37.29
1717,afiController.sol,37.29
1735,afiController.sol,37.29
1753,afiController.sol,37.29
1773,afiController.sol,37.29
1792,afiController.sol,37.29
1801,afiController.sol,37.29
