TIME,SUBJECT,COVERAGE
0,Core_Fi_V3.sol,0
11,Core_Fi_V3.sol,61.11
23,Core_Fi_V3.sol,61.11
35,Core_Fi_V3.sol,61.11
48,Core_Fi_V3.sol,61.11
60,Core_Fi_V3.sol,61.11
79,Core_Fi_V3.sol,61.11
94,Core_Fi_V3.sol,61.11
104,Core_Fi_V3.sol,61.11
115,Core_Fi_V3.sol,61.11
126,Core_Fi_V3.sol,61.11
139,Core_Fi_V3.sol,61.11
154,Core_Fi_V3.sol,61.11
165,Core_Fi_V3.sol,61.11
171,Core_Fi_V3.sol,61.11
184,Core_Fi_V3.sol,61.11
196,Core_Fi_V3.sol,61.11
209,Core_Fi_V3.sol,61.11
228,Core_Fi_V3.sol,61.11
250,Core_Fi_V3.sol,61.11
266,Core_Fi_V3.sol,61.11
288,Core_Fi_V3.sol,61.11
319,Core_Fi_V3.sol,61.11
340,Core_Fi_V3.sol,61.11
346,Core_Fi_V3.sol,61.11
362,Core_Fi_V3.sol,61.11
383,Core_Fi_V3.sol,61.11
402,Core_Fi_V3.sol,61.11
421,Core_Fi_V3.sol,61.11
439,Core_Fi_V3.sol,61.11
460,Core_Fi_V3.sol,61.11
489,Core_Fi_V3.sol,61.11
512,Core_Fi_V3.sol,61.11
574,Core_Fi_V3.sol,61.11
608,Core_Fi_V3.sol,61.11
635,Core_Fi_V3.sol,61.11
657,Core_Fi_V3.sol,61.11
678,Core_Fi_V3.sol,61.11
695,Core_Fi_V3.sol,61.11
712,Core_Fi_V3.sol,61.11
727,Core_Fi_V3.sol,61.11
744,Core_Fi_V3.sol,61.11
757,Core_Fi_V3.sol,61.11
775,Core_Fi_V3.sol,61.11
797,Core_Fi_V3.sol,61.11
814,Core_Fi_V3.sol,61.11
824,Core_Fi_V3.sol,61.11
833,Core_Fi_V3.sol,61.11
841,Core_Fi_V3.sol,61.11
851,Core_Fi_V3.sol,61.11
860,Core_Fi_V3.sol,61.11
871,Core_Fi_V3.sol,61.11
886,Core_Fi_V3.sol,61.11
897,Core_Fi_V3.sol,61.11
905,Core_Fi_V3.sol,61.11
916,Core_Fi_V3.sol,61.11
934,Core_Fi_V3.sol,61.11
943,Core_Fi_V3.sol,61.11
952,Core_Fi_V3.sol,61.11
970,Core_Fi_V3.sol,61.11
987,Core_Fi_V3.sol,61.11
998,Core_Fi_V3.sol,61.11
1008,Core_Fi_V3.sol,61.11
1017,Core_Fi_V3.sol,61.11
1035,Core_Fi_V3.sol,61.11
1045,Core_Fi_V3.sol,61.11
1057,Core_Fi_V3.sol,61.11
1068,Core_Fi_V3.sol,61.11
1078,Core_Fi_V3.sol,61.11
1089,Core_Fi_V3.sol,61.11
1100,Core_Fi_V3.sol,61.11
1110,Core_Fi_V3.sol,61.11
1120,Core_Fi_V3.sol,61.11
1131,Core_Fi_V3.sol,61.11
1143,Core_Fi_V3.sol,61.11
1153,Core_Fi_V3.sol,61.11
1162,Core_Fi_V3.sol,61.11
1174,Core_Fi_V3.sol,61.11
1183,Core_Fi_V3.sol,61.11
1195,Core_Fi_V3.sol,61.11
1206,Core_Fi_V3.sol,61.11
1218,Core_Fi_V3.sol,61.11
1229,Core_Fi_V3.sol,61.11
1237,Core_Fi_V3.sol,61.11
1245,Core_Fi_V3.sol,61.11
1257,Core_Fi_V3.sol,61.11
1266,Core_Fi_V3.sol,61.11
1277,Core_Fi_V3.sol,61.11
1286,Core_Fi_V3.sol,61.11
1299,Core_Fi_V3.sol,61.11
1308,Core_Fi_V3.sol,61.11
1321,Core_Fi_V3.sol,61.11
1332,Core_Fi_V3.sol,61.11
1344,Core_Fi_V3.sol,61.11
1355,Core_Fi_V3.sol,61.11
1367,Core_Fi_V3.sol,61.11
1380,Core_Fi_V3.sol,61.11
1390,Core_Fi_V3.sol,61.11
1402,Core_Fi_V3.sol,61.11
1412,Core_Fi_V3.sol,61.11
1429,Core_Fi_V3.sol,61.11
1435,Core_Fi_V3.sol,61.11
1440,Core_Fi_V3.sol,61.11
1452,Core_Fi_V3.sol,61.11
1462,Core_Fi_V3.sol,61.11
1472,Core_Fi_V3.sol,61.11
1485,Core_Fi_V3.sol,61.11
1499,Core_Fi_V3.sol,61.11
1514,Core_Fi_V3.sol,61.11
1525,Core_Fi_V3.sol,61.11
1534,Core_Fi_V3.sol,61.11
1544,Core_Fi_V3.sol,61.11
1557,Core_Fi_V3.sol,61.11
1569,Core_Fi_V3.sol,61.11
1581,Core_Fi_V3.sol,61.11
1592,Core_Fi_V3.sol,61.11
1603,Core_Fi_V3.sol,61.11
1613,Core_Fi_V3.sol,61.11
1628,Core_Fi_V3.sol,61.11
1643,Core_Fi_V3.sol,61.11
1656,Core_Fi_V3.sol,61.11
1669,Core_Fi_V3.sol,61.11
1680,Core_Fi_V3.sol,61.11
1694,Core_Fi_V3.sol,61.11
1705,Core_Fi_V3.sol,61.11
1719,Core_Fi_V3.sol,61.11
1731,Core_Fi_V3.sol,61.11
1740,Core_Fi_V3.sol,61.11
1752,Core_Fi_V3.sol,61.11
1763,Core_Fi_V3.sol,61.11
1773,Core_Fi_V3.sol,61.11
1783,Core_Fi_V3.sol,61.11
1796,Core_Fi_V3.sol,61.11
1800,Core_Fi_V3.sol,61.11
