TIME,SUBJECT,COVERAGE
0,SSTRewards.sol,0
11,SSTRewards.sol,43.33
22,SSTRewards.sol,43.33
35,SSTRewards.sol,76.67
49,SSTRewards.sol,76.67
64,SSTRewards.sol,76.67
79,SSTRewards.sol,76.67
93,SSTRewards.sol,76.67
106,SSTRewards.sol,76.67
119,SSTRewards.sol,76.67
135,SSTRewards.sol,76.67
148,SSTRewards.sol,76.67
160,SSTRewards.sol,76.67
171,SSTRewards.sol,76.67
182,SSTRewards.sol,76.67
197,SSTRewards.sol,76.67
212,SSTRewards.sol,76.67
225,SSTRewards.sol,76.67
238,SSTRewards.sol,76.67
253,SSTRewards.sol,76.67
264,SSTRewards.sol,76.67
279,SSTRewards.sol,76.67
292,SSTRewards.sol,76.67
306,SSTRewards.sol,76.67
317,SSTRewards.sol,76.67
330,SSTRewards.sol,76.67
342,SSTRewards.sol,76.67
356,SSTRewards.sol,76.67
368,SSTRewards.sol,76.67
384,SSTRewards.sol,76.67
398,SSTRewards.sol,76.67
409,SSTRewards.sol,76.67
425,SSTRewards.sol,76.67
440,SSTRewards.sol,76.67
453,SSTRewards.sol,76.67
468,SSTRewards.sol,76.67
480,SSTRewards.sol,76.67
493,SSTRewards.sol,76.67
505,SSTRewards.sol,76.67
521,SSTRewards.sol,76.67
537,SSTRewards.sol,76.67
552,SSTRewards.sol,76.67
571,SSTRewards.sol,76.67
588,SSTRewards.sol,76.67
608,SSTRewards.sol,76.67
623,SSTRewards.sol,76.67
639,SSTRewards.sol,76.67
657,SSTRewards.sol,76.67
673,SSTRewards.sol,76.67
688,SSTRewards.sol,76.67
709,SSTRewards.sol,76.67
732,SSTRewards.sol,76.67
749,SSTRewards.sol,76.67
763,SSTRewards.sol,76.67
782,SSTRewards.sol,76.67
798,SSTRewards.sol,76.67
816,SSTRewards.sol,76.67
836,SSTRewards.sol,76.67
855,SSTRewards.sol,76.67
877,SSTRewards.sol,76.67
897,SSTRewards.sol,76.67
922,SSTRewards.sol,76.67
948,SSTRewards.sol,76.67
961,SSTRewards.sol,76.67
979,SSTRewards.sol,76.67
1001,SSTRewards.sol,76.67
1018,SSTRewards.sol,76.67
1036,SSTRewards.sol,76.67
1051,SSTRewards.sol,76.67
1070,SSTRewards.sol,76.67
1087,SSTRewards.sol,76.67
1099,SSTRewards.sol,76.67
1111,SSTRewards.sol,76.67
1125,SSTRewards.sol,76.67
1141,SSTRewards.sol,76.67
1156,SSTRewards.sol,76.67
1174,SSTRewards.sol,76.67
1194,SSTRewards.sol,76.67
1206,SSTRewards.sol,76.67
1220,SSTRewards.sol,76.67
1235,SSTRewards.sol,76.67
1255,SSTRewards.sol,76.67
1272,SSTRewards.sol,76.67
1286,SSTRewards.sol,76.67
1299,SSTRewards.sol,76.67
1313,SSTRewards.sol,76.67
1330,SSTRewards.sol,76.67
1344,SSTRewards.sol,76.67
1359,SSTRewards.sol,76.67
1374,SSTRewards.sol,76.67
1387,SSTRewards.sol,76.67
1402,SSTRewards.sol,76.67
1416,SSTRewards.sol,76.67
1433,SSTRewards.sol,76.67
1449,SSTRewards.sol,76.67
1462,SSTRewards.sol,76.67
1478,SSTRewards.sol,76.67
1492,SSTRewards.sol,76.67
1507,SSTRewards.sol,76.67
1520,SSTRewards.sol,76.67
1535,SSTRewards.sol,76.67
1550,SSTRewards.sol,76.67
1565,SSTRewards.sol,76.67
1581,SSTRewards.sol,76.67
1595,SSTRewards.sol,76.67
1611,SSTRewards.sol,76.67
1630,SSTRewards.sol,76.67
1647,SSTRewards.sol,76.67
1667,SSTRewards.sol,76.67
1680,SSTRewards.sol,76.67
1694,SSTRewards.sol,76.67
1709,SSTRewards.sol,76.67
1728,SSTRewards.sol,76.67
1742,SSTRewards.sol,76.67
1756,SSTRewards.sol,76.67
1774,SSTRewards.sol,76.67
1796,SSTRewards.sol,76.67
1800,SSTRewards.sol,76.67
