TIME,SUBJECT,COVERAGE
0,LIBERAPAY.sol,0
18,LIBERAPAY.sol,15.75
36,LIBERAPAY.sol,17.81
56,LIBERAPAY.sol,25.34
75,LIBERAPAY.sol,28.77
94,LIBERAPAY.sol,36.3
111,LIBERAPAY.sol,37.67
129,LIBERAPAY.sol,43.84
149,LIBERAPAY.sol,43.84
166,LIBERAPAY.sol,43.84
184,LIBERAPAY.sol,47.26
203,LIBERAPAY.sol,50
222,LIBERAPAY.sol,50
243,LIBERAPAY.sol,50
264,LIBERAPAY.sol,50
282,LIBERAPAY.sol,56.16
302,LIBERAPAY.sol,56.16
325,LIBERAPAY.sol,59.59
343,LIBERAPAY.sol,59.59
363,LIBERAPAY.sol,59.59
380,LIBERAPAY.sol,59.59
401,LIBERAPAY.sol,59.59
421,LIBERAPAY.sol,59.59
439,LIBERAPAY.sol,60.27
459,LIBERAPAY.sol,60.27
479,LIBERAPAY.sol,60.27
503,LIBERAPAY.sol,60.27
524,LIBERAPAY.sol,60.27
548,LIBERAPAY.sol,60.27
567,LIBERAPAY.sol,60.27
586,LIBERAPAY.sol,60.27
605,LIBERAPAY.sol,60.27
625,LIBERAPAY.sol,60.27
644,LIBERAPAY.sol,60.27
663,LIBERAPAY.sol,60.27
681,LIBERAPAY.sol,63.7
699,LIBERAPAY.sol,63.7
720,LIBERAPAY.sol,63.7
739,LIBERAPAY.sol,63.7
757,LIBERAPAY.sol,67.12
778,LIBERAPAY.sol,67.12
798,LIBERAPAY.sol,67.12
815,LIBERAPAY.sol,69.18
834,LIBERAPAY.sol,69.18
853,LIBERAPAY.sol,69.18
872,LIBERAPAY.sol,69.18
890,LIBERAPAY.sol,69.18
910,LIBERAPAY.sol,69.18
930,LIBERAPAY.sol,69.18
948,LIBERAPAY.sol,69.18
967,LIBERAPAY.sol,69.18
986,LIBERAPAY.sol,69.18
1002,LIBERAPAY.sol,69.18
1019,LIBERAPAY.sol,69.18
1036,LIBERAPAY.sol,69.18
1053,LIBERAPAY.sol,69.18
1070,LIBERAPAY.sol,69.18
1087,LIBERAPAY.sol,69.18
1107,LIBERAPAY.sol,69.18
1125,LIBERAPAY.sol,69.18
1144,LIBERAPAY.sol,69.18
1161,LIBERAPAY.sol,69.18
1177,LIBERAPAY.sol,69.18
1195,LIBERAPAY.sol,69.18
1213,LIBERAPAY.sol,69.18
1231,LIBERAPAY.sol,69.18
1249,LIBERAPAY.sol,69.18
1267,LIBERAPAY.sol,69.18
1284,LIBERAPAY.sol,69.18
1303,LIBERAPAY.sol,69.18
1320,LIBERAPAY.sol,69.18
1337,LIBERAPAY.sol,69.18
1354,LIBERAPAY.sol,69.18
1371,LIBERAPAY.sol,69.18
1390,LIBERAPAY.sol,69.18
1408,LIBERAPAY.sol,69.18
1425,LIBERAPAY.sol,69.18
1443,LIBERAPAY.sol,69.18
1462,LIBERAPAY.sol,69.18
1479,LIBERAPAY.sol,69.18
1496,LIBERAPAY.sol,69.18
1515,LIBERAPAY.sol,69.18
1533,LIBERAPAY.sol,69.18
1553,LIBERAPAY.sol,69.18
1570,LIBERAPAY.sol,69.18
1589,LIBERAPAY.sol,69.18
1606,LIBERAPAY.sol,69.18
1626,LIBERAPAY.sol,69.18
1644,LIBERAPAY.sol,69.18
1662,LIBERAPAY.sol,69.18
1678,LIBERAPAY.sol,69.18
1698,LIBERAPAY.sol,69.18
1716,LIBERAPAY.sol,69.18
1733,LIBERAPAY.sol,69.18
1750,LIBERAPAY.sol,69.18
1768,LIBERAPAY.sol,69.18
1786,LIBERAPAY.sol,69.18
1802,LIBERAPAY.sol,69.18
