TIME,SUBJECT,COVERAGE
0,YieldFarmLP2.sol,0
30,YieldFarmLP2.sol,21.28
63,YieldFarmLP2.sol,23.4
96,YieldFarmLP2.sol,23.4
129,YieldFarmLP2.sol,27.66
162,YieldFarmLP2.sol,27.66
194,YieldFarmLP2.sol,27.66
227,YieldFarmLP2.sol,27.66
261,YieldFarmLP2.sol,27.66
294,YieldFarmLP2.sol,27.66
329,YieldFarmLP2.sol,27.66
361,YieldFarmLP2.sol,27.66
394,YieldFarmLP2.sol,27.66
426,YieldFarmLP2.sol,27.66
458,YieldFarmLP2.sol,27.66
490,YieldFarmLP2.sol,27.66
522,YieldFarmLP2.sol,27.66
554,YieldFarmLP2.sol,27.66
585,YieldFarmLP2.sol,27.66
616,YieldFarmLP2.sol,27.66
646,YieldFarmLP2.sol,27.66
676,YieldFarmLP2.sol,27.66
705,YieldFarmLP2.sol,27.66
734,YieldFarmLP2.sol,27.66
763,YieldFarmLP2.sol,27.66
793,YieldFarmLP2.sol,27.66
823,YieldFarmLP2.sol,27.66
853,YieldFarmLP2.sol,27.66
885,YieldFarmLP2.sol,27.66
913,YieldFarmLP2.sol,27.66
940,YieldFarmLP2.sol,27.66
969,YieldFarmLP2.sol,27.66
997,YieldFarmLP2.sol,27.66
1027,YieldFarmLP2.sol,27.66
1056,YieldFarmLP2.sol,27.66
1084,YieldFarmLP2.sol,27.66
1113,YieldFarmLP2.sol,27.66
1141,YieldFarmLP2.sol,27.66
1167,YieldFarmLP2.sol,27.66
1196,YieldFarmLP2.sol,27.66
1226,YieldFarmLP2.sol,27.66
1256,YieldFarmLP2.sol,27.66
1284,YieldFarmLP2.sol,27.66
1313,YieldFarmLP2.sol,27.66
1341,YieldFarmLP2.sol,27.66
1371,YieldFarmLP2.sol,27.66
1399,YieldFarmLP2.sol,27.66
1427,YieldFarmLP2.sol,27.66
1455,YieldFarmLP2.sol,27.66
1483,YieldFarmLP2.sol,27.66
1512,YieldFarmLP2.sol,27.66
1542,YieldFarmLP2.sol,27.66
1569,YieldFarmLP2.sol,27.66
1597,YieldFarmLP2.sol,27.66
1626,YieldFarmLP2.sol,27.66
1655,YieldFarmLP2.sol,27.66
1683,YieldFarmLP2.sol,27.66
1713,YieldFarmLP2.sol,27.66
1742,YieldFarmLP2.sol,27.66
1773,YieldFarmLP2.sol,27.66
1801,YieldFarmLP2.sol,27.66
