TIME,SUBJECT,COVERAGE
0,Controller.sol,0
24,Controller.sol,29.63
45,Controller.sol,40.74
64,Controller.sol,48.15
85,Controller.sol,55.56
102,Controller.sol,59.26
116,Controller.sol,66.67
133,Controller.sol,66.67
148,Controller.sol,66.67
163,Controller.sol,66.67
178,Controller.sol,66.67
195,Controller.sol,66.67
214,Controller.sol,66.67
232,Controller.sol,70.37
244,Controller.sol,70.37
254,Controller.sol,70.37
265,Controller.sol,70.37
277,Controller.sol,70.37
290,Controller.sol,70.37
307,Controller.sol,70.37
317,Controller.sol,70.37
329,Controller.sol,70.37
342,Controller.sol,70.37
358,Controller.sol,70.37
368,Controller.sol,70.37
382,Controller.sol,70.37
398,Controller.sol,70.37
413,Controller.sol,70.37
424,Controller.sol,70.37
436,Controller.sol,70.37
452,Controller.sol,70.37
465,Controller.sol,70.37
477,Controller.sol,70.37
489,Controller.sol,70.37
501,Controller.sol,70.37
515,Controller.sol,70.37
526,Controller.sol,70.37
539,Controller.sol,70.37
551,Controller.sol,70.37
564,Controller.sol,70.37
576,Controller.sol,70.37
588,Controller.sol,70.37
601,Controller.sol,70.37
614,Controller.sol,70.37
627,Controller.sol,70.37
639,Controller.sol,70.37
652,Controller.sol,70.37
664,Controller.sol,70.37
676,Controller.sol,70.37
689,Controller.sol,70.37
700,Controller.sol,70.37
713,Controller.sol,70.37
727,Controller.sol,70.37
740,Controller.sol,70.37
752,Controller.sol,70.37
767,Controller.sol,70.37
780,Controller.sol,70.37
794,Controller.sol,70.37
807,Controller.sol,70.37
819,Controller.sol,70.37
833,Controller.sol,70.37
849,Controller.sol,70.37
857,Controller.sol,70.37
867,Controller.sol,70.37
880,Controller.sol,70.37
895,Controller.sol,70.37
908,Controller.sol,70.37
924,Controller.sol,70.37
938,Controller.sol,70.37
951,Controller.sol,70.37
963,Controller.sol,70.37
976,Controller.sol,70.37
989,Controller.sol,70.37
1002,Controller.sol,70.37
1015,Controller.sol,70.37
1028,Controller.sol,70.37
1042,Controller.sol,70.37
1060,Controller.sol,70.37
1072,Controller.sol,70.37
1085,Controller.sol,70.37
1098,Controller.sol,70.37
1110,Controller.sol,70.37
1124,Controller.sol,70.37
1138,Controller.sol,70.37
1152,Controller.sol,70.37
1165,Controller.sol,70.37
1178,Controller.sol,70.37
1191,Controller.sol,70.37
1203,Controller.sol,70.37
1216,Controller.sol,70.37
1232,Controller.sol,70.37
1248,Controller.sol,70.37
1264,Controller.sol,70.37
1277,Controller.sol,70.37
1291,Controller.sol,70.37
1305,Controller.sol,70.37
1318,Controller.sol,70.37
1332,Controller.sol,70.37
1349,Controller.sol,70.37
1363,Controller.sol,70.37
1377,Controller.sol,70.37
1390,Controller.sol,70.37
1404,Controller.sol,70.37
1420,Controller.sol,70.37
1432,Controller.sol,70.37
1444,Controller.sol,70.37
1456,Controller.sol,70.37
1469,Controller.sol,70.37
1482,Controller.sol,70.37
1497,Controller.sol,70.37
1513,Controller.sol,70.37
1528,Controller.sol,70.37
1546,Controller.sol,70.37
1560,Controller.sol,70.37
1574,Controller.sol,70.37
1590,Controller.sol,70.37
1608,Controller.sol,70.37
1625,Controller.sol,70.37
1639,Controller.sol,70.37
1652,Controller.sol,70.37
1668,Controller.sol,70.37
1680,Controller.sol,70.37
1696,Controller.sol,70.37
1712,Controller.sol,70.37
1724,Controller.sol,70.37
1737,Controller.sol,70.37
1753,Controller.sol,70.37
1766,Controller.sol,70.37
1783,Controller.sol,70.37
1799,Controller.sol,70.37
1800,Controller.sol,70.37
