TIME,SUBJECT,COVERAGE
0,CourtFarming_HTStake.sol,0
18,CourtFarming_HTStake.sol,63.46
33,CourtFarming_HTStake.sol,63.46
55,CourtFarming_HTStake.sol,63.46
76,CourtFarming_HTStake.sol,63.46
95,CourtFarming_HTStake.sol,63.46
110,CourtFarming_HTStake.sol,63.46
128,CourtFarming_HTStake.sol,63.46
147,CourtFarming_HTStake.sol,63.46
171,CourtFarming_HTStake.sol,63.46
201,CourtFarming_HTStake.sol,63.46
231,CourtFarming_HTStake.sol,63.46
253,CourtFarming_HTStake.sol,63.46
270,CourtFarming_HTStake.sol,63.46
284,CourtFarming_HTStake.sol,63.46
295,CourtFarming_HTStake.sol,63.46
308,CourtFarming_HTStake.sol,63.46
322,CourtFarming_HTStake.sol,63.46
332,CourtFarming_HTStake.sol,63.46
345,CourtFarming_HTStake.sol,63.46
355,CourtFarming_HTStake.sol,63.46
368,CourtFarming_HTStake.sol,63.46
384,CourtFarming_HTStake.sol,63.46
396,CourtFarming_HTStake.sol,63.46
406,CourtFarming_HTStake.sol,63.46
415,CourtFarming_HTStake.sol,63.46
425,CourtFarming_HTStake.sol,63.46
436,CourtFarming_HTStake.sol,63.46
448,CourtFarming_HTStake.sol,63.46
458,CourtFarming_HTStake.sol,63.46
468,CourtFarming_HTStake.sol,63.46
478,CourtFarming_HTStake.sol,63.46
487,CourtFarming_HTStake.sol,63.46
498,CourtFarming_HTStake.sol,63.46
509,CourtFarming_HTStake.sol,63.46
518,CourtFarming_HTStake.sol,63.46
528,CourtFarming_HTStake.sol,63.46
539,CourtFarming_HTStake.sol,63.46
551,CourtFarming_HTStake.sol,63.46
563,CourtFarming_HTStake.sol,63.46
573,CourtFarming_HTStake.sol,63.46
583,CourtFarming_HTStake.sol,63.46
593,CourtFarming_HTStake.sol,63.46
606,CourtFarming_HTStake.sol,63.46
615,CourtFarming_HTStake.sol,63.46
625,CourtFarming_HTStake.sol,63.46
635,CourtFarming_HTStake.sol,63.46
646,CourtFarming_HTStake.sol,63.46
655,CourtFarming_HTStake.sol,63.46
664,CourtFarming_HTStake.sol,63.46
674,CourtFarming_HTStake.sol,63.46
684,CourtFarming_HTStake.sol,63.46
696,CourtFarming_HTStake.sol,63.46
703,CourtFarming_HTStake.sol,63.46
712,CourtFarming_HTStake.sol,63.46
720,CourtFarming_HTStake.sol,63.46
728,CourtFarming_HTStake.sol,63.46
737,CourtFarming_HTStake.sol,63.46
745,CourtFarming_HTStake.sol,63.46
753,CourtFarming_HTStake.sol,63.46
762,CourtFarming_HTStake.sol,63.46
771,CourtFarming_HTStake.sol,63.46
779,CourtFarming_HTStake.sol,63.46
787,CourtFarming_HTStake.sol,63.46
796,CourtFarming_HTStake.sol,63.46
804,CourtFarming_HTStake.sol,63.46
812,CourtFarming_HTStake.sol,63.46
820,CourtFarming_HTStake.sol,63.46
829,CourtFarming_HTStake.sol,63.46
837,CourtFarming_HTStake.sol,63.46
846,CourtFarming_HTStake.sol,63.46
854,CourtFarming_HTStake.sol,63.46
863,CourtFarming_HTStake.sol,63.46
871,CourtFarming_HTStake.sol,63.46
879,CourtFarming_HTStake.sol,63.46
888,CourtFarming_HTStake.sol,63.46
896,CourtFarming_HTStake.sol,63.46
905,CourtFarming_HTStake.sol,63.46
913,CourtFarming_HTStake.sol,63.46
922,CourtFarming_HTStake.sol,63.46
931,CourtFarming_HTStake.sol,63.46
940,CourtFarming_HTStake.sol,63.46
948,CourtFarming_HTStake.sol,63.46
956,CourtFarming_HTStake.sol,63.46
964,CourtFarming_HTStake.sol,63.46
973,CourtFarming_HTStake.sol,63.46
982,CourtFarming_HTStake.sol,63.46
991,CourtFarming_HTStake.sol,63.46
1000,CourtFarming_HTStake.sol,63.46
1008,CourtFarming_HTStake.sol,63.46
1016,CourtFarming_HTStake.sol,63.46
1024,CourtFarming_HTStake.sol,63.46
1035,CourtFarming_HTStake.sol,63.46
1046,CourtFarming_HTStake.sol,63.46
1058,CourtFarming_HTStake.sol,63.46
1067,CourtFarming_HTStake.sol,63.46
1079,CourtFarming_HTStake.sol,63.46
1091,CourtFarming_HTStake.sol,63.46
1101,CourtFarming_HTStake.sol,63.46
1112,CourtFarming_HTStake.sol,63.46
1122,CourtFarming_HTStake.sol,63.46
1133,CourtFarming_HTStake.sol,63.46
1143,CourtFarming_HTStake.sol,63.46
1153,CourtFarming_HTStake.sol,63.46
1164,CourtFarming_HTStake.sol,63.46
1175,CourtFarming_HTStake.sol,63.46
1186,CourtFarming_HTStake.sol,63.46
1196,CourtFarming_HTStake.sol,63.46
1209,CourtFarming_HTStake.sol,63.46
1218,CourtFarming_HTStake.sol,63.46
1230,CourtFarming_HTStake.sol,63.46
1241,CourtFarming_HTStake.sol,63.46
1253,CourtFarming_HTStake.sol,63.46
1264,CourtFarming_HTStake.sol,63.46
1275,CourtFarming_HTStake.sol,63.46
1285,CourtFarming_HTStake.sol,63.46
1295,CourtFarming_HTStake.sol,63.46
1306,CourtFarming_HTStake.sol,63.46
1316,CourtFarming_HTStake.sol,63.46
1326,CourtFarming_HTStake.sol,63.46
1336,CourtFarming_HTStake.sol,63.46
1347,CourtFarming_HTStake.sol,63.46
1357,CourtFarming_HTStake.sol,63.46
1368,CourtFarming_HTStake.sol,63.46
1379,CourtFarming_HTStake.sol,63.46
1390,CourtFarming_HTStake.sol,63.46
1402,CourtFarming_HTStake.sol,63.46
1413,CourtFarming_HTStake.sol,63.46
1424,CourtFarming_HTStake.sol,63.46
1435,CourtFarming_HTStake.sol,63.46
1447,CourtFarming_HTStake.sol,63.46
1458,CourtFarming_HTStake.sol,63.46
1469,CourtFarming_HTStake.sol,63.46
1479,CourtFarming_HTStake.sol,63.46
1489,CourtFarming_HTStake.sol,63.46
1501,CourtFarming_HTStake.sol,63.46
1514,CourtFarming_HTStake.sol,65.38
1526,CourtFarming_HTStake.sol,65.38
1540,CourtFarming_HTStake.sol,65.38
1551,CourtFarming_HTStake.sol,65.38
1562,CourtFarming_HTStake.sol,65.38
1576,CourtFarming_HTStake.sol,65.38
1586,CourtFarming_HTStake.sol,65.38
1596,CourtFarming_HTStake.sol,65.38
1607,CourtFarming_HTStake.sol,65.38
1617,CourtFarming_HTStake.sol,65.38
1628,CourtFarming_HTStake.sol,65.38
1639,CourtFarming_HTStake.sol,65.38
1649,CourtFarming_HTStake.sol,65.38
1661,CourtFarming_HTStake.sol,65.38
1674,CourtFarming_HTStake.sol,65.38
1686,CourtFarming_HTStake.sol,65.38
1701,CourtFarming_HTStake.sol,65.38
1715,CourtFarming_HTStake.sol,65.38
1726,CourtFarming_HTStake.sol,65.38
1736,CourtFarming_HTStake.sol,65.38
1745,CourtFarming_HTStake.sol,65.38
1759,CourtFarming_HTStake.sol,65.38
1771,CourtFarming_HTStake.sol,67.31
1785,CourtFarming_HTStake.sol,67.31
1795,CourtFarming_HTStake.sol,67.31
1801,CourtFarming_HTStake.sol,67.31
