TIME,SUBJECT,COVERAGE
0,Layerx.sol,0
16,Layerx.sol,22.92
33,Layerx.sol,22.92
49,Layerx.sol,25
69,Layerx.sol,27.08
87,Layerx.sol,27.08
104,Layerx.sol,27.08
120,Layerx.sol,29.17
137,Layerx.sol,29.17
154,Layerx.sol,31.25
170,Layerx.sol,33.33
187,Layerx.sol,33.33
204,Layerx.sol,35.42
220,Layerx.sol,37.5
235,Layerx.sol,37.5
251,Layerx.sol,37.5
271,Layerx.sol,37.5
286,Layerx.sol,37.5
302,Layerx.sol,37.5
318,Layerx.sol,37.5
334,Layerx.sol,37.5
350,Layerx.sol,37.5
366,Layerx.sol,37.5
383,Layerx.sol,39.58
399,Layerx.sol,50
415,Layerx.sol,50
432,Layerx.sol,50
449,Layerx.sol,50
467,Layerx.sol,50
482,Layerx.sol,50
498,Layerx.sol,50
515,Layerx.sol,50
532,Layerx.sol,50
549,Layerx.sol,50
567,Layerx.sol,50
584,Layerx.sol,50
602,Layerx.sol,50
621,Layerx.sol,50
638,Layerx.sol,50
654,Layerx.sol,50
670,Layerx.sol,50
687,Layerx.sol,50
706,Layerx.sol,50
722,Layerx.sol,50
739,Layerx.sol,50
755,Layerx.sol,50
770,Layerx.sol,50
789,Layerx.sol,50
807,Layerx.sol,50
824,Layerx.sol,50
840,Layerx.sol,50
857,Layerx.sol,50
874,Layerx.sol,50
890,Layerx.sol,50
906,Layerx.sol,50
924,Layerx.sol,50
940,Layerx.sol,50
959,Layerx.sol,50
979,Layerx.sol,50
996,Layerx.sol,50
1012,Layerx.sol,50
1030,Layerx.sol,50
1048,Layerx.sol,50
1065,Layerx.sol,50
1083,Layerx.sol,50
1101,Layerx.sol,50
1117,Layerx.sol,50
1135,Layerx.sol,50
1152,Layerx.sol,50
1168,Layerx.sol,50
1183,Layerx.sol,50
1200,Layerx.sol,50
1215,Layerx.sol,50
1231,Layerx.sol,50
1248,Layerx.sol,50
1264,Layerx.sol,50
1279,Layerx.sol,50
1296,Layerx.sol,50
1312,Layerx.sol,50
1327,Layerx.sol,50
1343,Layerx.sol,50
1360,Layerx.sol,50
1379,Layerx.sol,50
1399,Layerx.sol,50
1419,Layerx.sol,50
1438,Layerx.sol,50
1458,Layerx.sol,50
1477,Layerx.sol,50
1497,Layerx.sol,50
1515,Layerx.sol,50
1538,Layerx.sol,50
1559,Layerx.sol,50
1582,Layerx.sol,50
1602,Layerx.sol,50
1620,Layerx.sol,50
1639,Layerx.sol,50
1657,Layerx.sol,50
1674,Layerx.sol,50
1692,Layerx.sol,50
1709,Layerx.sol,50
1728,Layerx.sol,50
1747,Layerx.sol,50
1767,Layerx.sol,50
1785,Layerx.sol,50
1801,Layerx.sol,50
