TIME,SUBJECT,COVERAGE
0,FrogDAOGovernanceRewards.sol,0
15,FrogDAOGovernanceRewards.sol,34.15
30,FrogDAOGovernanceRewards.sol,34.15
45,FrogDAOGovernanceRewards.sol,41.46
60,FrogDAOGovernanceRewards.sol,46.34
79,FrogDAOGovernanceRewards.sol,46.34
100,FrogDAOGovernanceRewards.sol,46.34
117,FrogDAOGovernanceRewards.sol,58.54
133,FrogDAOGovernanceRewards.sol,58.54
152,FrogDAOGovernanceRewards.sol,63.41
168,FrogDAOGovernanceRewards.sol,63.41
186,FrogDAOGovernanceRewards.sol,63.41
202,FrogDAOGovernanceRewards.sol,63.41
220,FrogDAOGovernanceRewards.sol,63.41
237,FrogDAOGovernanceRewards.sol,63.41
253,FrogDAOGovernanceRewards.sol,63.41
271,FrogDAOGovernanceRewards.sol,63.41
291,FrogDAOGovernanceRewards.sol,63.41
305,FrogDAOGovernanceRewards.sol,63.41
321,FrogDAOGovernanceRewards.sol,63.41
337,FrogDAOGovernanceRewards.sol,63.41
350,FrogDAOGovernanceRewards.sol,63.41
364,FrogDAOGovernanceRewards.sol,63.41
382,FrogDAOGovernanceRewards.sol,63.41
396,FrogDAOGovernanceRewards.sol,63.41
411,FrogDAOGovernanceRewards.sol,63.41
424,FrogDAOGovernanceRewards.sol,63.41
437,FrogDAOGovernanceRewards.sol,63.41
451,FrogDAOGovernanceRewards.sol,63.41
464,FrogDAOGovernanceRewards.sol,63.41
479,FrogDAOGovernanceRewards.sol,63.41
492,FrogDAOGovernanceRewards.sol,63.41
508,FrogDAOGovernanceRewards.sol,63.41
523,FrogDAOGovernanceRewards.sol,63.41
538,FrogDAOGovernanceRewards.sol,63.41
550,FrogDAOGovernanceRewards.sol,63.41
567,FrogDAOGovernanceRewards.sol,63.41
583,FrogDAOGovernanceRewards.sol,63.41
597,FrogDAOGovernanceRewards.sol,63.41
611,FrogDAOGovernanceRewards.sol,63.41
627,FrogDAOGovernanceRewards.sol,63.41
644,FrogDAOGovernanceRewards.sol,63.41
659,FrogDAOGovernanceRewards.sol,63.41
672,FrogDAOGovernanceRewards.sol,63.41
686,FrogDAOGovernanceRewards.sol,63.41
702,FrogDAOGovernanceRewards.sol,63.41
718,FrogDAOGovernanceRewards.sol,63.41
731,FrogDAOGovernanceRewards.sol,63.41
746,FrogDAOGovernanceRewards.sol,63.41
760,FrogDAOGovernanceRewards.sol,63.41
775,FrogDAOGovernanceRewards.sol,63.41
791,FrogDAOGovernanceRewards.sol,63.41
804,FrogDAOGovernanceRewards.sol,63.41
818,FrogDAOGovernanceRewards.sol,63.41
832,FrogDAOGovernanceRewards.sol,63.41
848,FrogDAOGovernanceRewards.sol,63.41
864,FrogDAOGovernanceRewards.sol,63.41
879,FrogDAOGovernanceRewards.sol,63.41
894,FrogDAOGovernanceRewards.sol,63.41
908,FrogDAOGovernanceRewards.sol,63.41
924,FrogDAOGovernanceRewards.sol,63.41
939,FrogDAOGovernanceRewards.sol,63.41
956,FrogDAOGovernanceRewards.sol,63.41
973,FrogDAOGovernanceRewards.sol,63.41
987,FrogDAOGovernanceRewards.sol,63.41
1002,FrogDAOGovernanceRewards.sol,63.41
1023,FrogDAOGovernanceRewards.sol,63.41
1038,FrogDAOGovernanceRewards.sol,63.41
1052,FrogDAOGovernanceRewards.sol,63.41
1066,FrogDAOGovernanceRewards.sol,63.41
1081,FrogDAOGovernanceRewards.sol,63.41
1097,FrogDAOGovernanceRewards.sol,63.41
1112,FrogDAOGovernanceRewards.sol,63.41
1128,FrogDAOGovernanceRewards.sol,63.41
1144,FrogDAOGovernanceRewards.sol,63.41
1160,FrogDAOGovernanceRewards.sol,63.41
1174,FrogDAOGovernanceRewards.sol,63.41
1191,FrogDAOGovernanceRewards.sol,63.41
1211,FrogDAOGovernanceRewards.sol,63.41
1227,FrogDAOGovernanceRewards.sol,63.41
1243,FrogDAOGovernanceRewards.sol,63.41
1263,FrogDAOGovernanceRewards.sol,63.41
1282,FrogDAOGovernanceRewards.sol,63.41
1298,FrogDAOGovernanceRewards.sol,63.41
1312,FrogDAOGovernanceRewards.sol,63.41
1327,FrogDAOGovernanceRewards.sol,63.41
1344,FrogDAOGovernanceRewards.sol,63.41
1357,FrogDAOGovernanceRewards.sol,63.41
1371,FrogDAOGovernanceRewards.sol,63.41
1385,FrogDAOGovernanceRewards.sol,63.41
1400,FrogDAOGovernanceRewards.sol,63.41
1414,FrogDAOGovernanceRewards.sol,63.41
1431,FrogDAOGovernanceRewards.sol,63.41
1448,FrogDAOGovernanceRewards.sol,63.41
1461,FrogDAOGovernanceRewards.sol,63.41
1477,FrogDAOGovernanceRewards.sol,63.41
1491,FrogDAOGovernanceRewards.sol,63.41
1507,FrogDAOGovernanceRewards.sol,63.41
1524,FrogDAOGovernanceRewards.sol,63.41
1542,FrogDAOGovernanceRewards.sol,63.41
1558,FrogDAOGovernanceRewards.sol,63.41
1576,FrogDAOGovernanceRewards.sol,63.41
1593,FrogDAOGovernanceRewards.sol,63.41
1613,FrogDAOGovernanceRewards.sol,63.41
1632,FrogDAOGovernanceRewards.sol,63.41
1646,FrogDAOGovernanceRewards.sol,70.73
1660,FrogDAOGovernanceRewards.sol,70.73
1678,FrogDAOGovernanceRewards.sol,70.73
1700,FrogDAOGovernanceRewards.sol,70.73
1718,FrogDAOGovernanceRewards.sol,70.73
1738,FrogDAOGovernanceRewards.sol,70.73
1759,FrogDAOGovernanceRewards.sol,70.73
1779,FrogDAOGovernanceRewards.sol,70.73
1799,FrogDAOGovernanceRewards.sol,70.73
1801,FrogDAOGovernanceRewards.sol,70.73
