TIME,SUBJECT,COVERAGE
0,WolfStakingRewards.sol,0
24,WolfStakingRewards.sol,20.31
49,WolfStakingRewards.sol,23.44
80,WolfStakingRewards.sol,26.56
113,WolfStakingRewards.sol,32.81
141,WolfStakingRewards.sol,34.38
169,WolfStakingRewards.sol,34.38
197,WolfStakingRewards.sol,34.38
222,WolfStakingRewards.sol,34.38
253,WolfStakingRewards.sol,34.38
282,WolfStakingRewards.sol,34.38
309,WolfStakingRewards.sol,34.38
336,WolfStakingRewards.sol,35.94
363,WolfStakingRewards.sol,35.94
391,WolfStakingRewards.sol,35.94
423,WolfStakingRewards.sol,35.94
453,WolfStakingRewards.sol,35.94
489,WolfStakingRewards.sol,35.94
519,WolfStakingRewards.sol,35.94
550,WolfStakingRewards.sol,35.94
577,WolfStakingRewards.sol,35.94
602,WolfStakingRewards.sol,35.94
630,WolfStakingRewards.sol,37.5
657,WolfStakingRewards.sol,37.5
683,WolfStakingRewards.sol,37.5
709,WolfStakingRewards.sol,37.5
733,WolfStakingRewards.sol,37.5
760,WolfStakingRewards.sol,37.5
784,WolfStakingRewards.sol,37.5
810,WolfStakingRewards.sol,37.5
836,WolfStakingRewards.sol,37.5
861,WolfStakingRewards.sol,37.5
887,WolfStakingRewards.sol,37.5
911,WolfStakingRewards.sol,37.5
936,WolfStakingRewards.sol,37.5
962,WolfStakingRewards.sol,37.5
988,WolfStakingRewards.sol,37.5
1015,WolfStakingRewards.sol,37.5
1041,WolfStakingRewards.sol,37.5
1066,WolfStakingRewards.sol,37.5
1091,WolfStakingRewards.sol,37.5
1117,WolfStakingRewards.sol,37.5
1148,WolfStakingRewards.sol,37.5
1176,WolfStakingRewards.sol,37.5
1201,WolfStakingRewards.sol,37.5
1225,WolfStakingRewards.sol,37.5
1251,WolfStakingRewards.sol,37.5
1279,WolfStakingRewards.sol,37.5
1311,WolfStakingRewards.sol,37.5
1335,WolfStakingRewards.sol,37.5
1362,WolfStakingRewards.sol,37.5
1385,WolfStakingRewards.sol,37.5
1413,WolfStakingRewards.sol,37.5
1448,WolfStakingRewards.sol,37.5
1476,WolfStakingRewards.sol,37.5
1501,WolfStakingRewards.sol,37.5
1530,WolfStakingRewards.sol,37.5
1555,WolfStakingRewards.sol,37.5
1582,WolfStakingRewards.sol,37.5
1609,WolfStakingRewards.sol,37.5
1638,WolfStakingRewards.sol,37.5
1665,WolfStakingRewards.sol,37.5
1688,WolfStakingRewards.sol,37.5
1718,WolfStakingRewards.sol,37.5
1747,WolfStakingRewards.sol,37.5
1773,WolfStakingRewards.sol,37.5
1799,WolfStakingRewards.sol,37.5
1801,WolfStakingRewards.sol,37.5
