TIME,SUBJECT,COVERAGE
0,WOLF.sol,0
9,WOLF.sol,43.33
20,WOLF.sol,46.67
32,WOLF.sol,50
49,WOLF.sol,50
59,WOLF.sol,50
69,WOLF.sol,50
77,WOLF.sol,50
88,WOLF.sol,50
98,WOLF.sol,50
110,WOLF.sol,50
119,WOLF.sol,50
130,WOLF.sol,50
139,WOLF.sol,50
146,WOLF.sol,50
155,WOLF.sol,50
162,WOLF.sol,50
171,WOLF.sol,50
177,WOLF.sol,50
182,WOLF.sol,50
190,WOLF.sol,53.33
201,WOLF.sol,56.67
208,WOLF.sol,56.67
216,WOLF.sol,56.67
226,WOLF.sol,56.67
233,WOLF.sol,56.67
241,WOLF.sol,56.67
246,WOLF.sol,56.67
254,WOLF.sol,56.67
261,WOLF.sol,56.67
271,WOLF.sol,56.67
278,WOLF.sol,56.67
283,WOLF.sol,56.67
289,WOLF.sol,56.67
302,WOLF.sol,56.67
312,WOLF.sol,56.67
317,WOLF.sol,56.67
322,WOLF.sol,56.67
332,WOLF.sol,56.67
340,WOLF.sol,56.67
350,WOLF.sol,56.67
359,WOLF.sol,56.67
366,WOLF.sol,56.67
373,WOLF.sol,56.67
380,WOLF.sol,56.67
388,WOLF.sol,56.67
398,WOLF.sol,56.67
405,WOLF.sol,56.67
412,WOLF.sol,56.67
418,WOLF.sol,56.67
425,WOLF.sol,56.67
432,WOLF.sol,56.67
439,WOLF.sol,56.67
447,WOLF.sol,56.67
455,WOLF.sol,56.67
462,WOLF.sol,56.67
470,WOLF.sol,56.67
481,WOLF.sol,56.67
490,WOLF.sol,56.67
498,WOLF.sol,56.67
510,WOLF.sol,56.67
520,WOLF.sol,56.67
528,WOLF.sol,56.67
536,WOLF.sol,56.67
542,WOLF.sol,56.67
549,WOLF.sol,56.67
557,WOLF.sol,56.67
564,WOLF.sol,56.67
571,WOLF.sol,56.67
577,WOLF.sol,56.67
586,WOLF.sol,56.67
594,WOLF.sol,56.67
602,WOLF.sol,56.67
609,WOLF.sol,56.67
616,WOLF.sol,56.67
623,WOLF.sol,56.67
631,WOLF.sol,56.67
639,WOLF.sol,56.67
646,WOLF.sol,56.67
656,WOLF.sol,56.67
662,WOLF.sol,56.67
669,WOLF.sol,56.67
677,WOLF.sol,56.67
684,WOLF.sol,56.67
692,WOLF.sol,56.67
699,WOLF.sol,56.67
708,WOLF.sol,56.67
715,WOLF.sol,56.67
723,WOLF.sol,56.67
731,WOLF.sol,56.67
740,WOLF.sol,56.67
747,WOLF.sol,56.67
756,WOLF.sol,56.67
762,WOLF.sol,56.67
770,WOLF.sol,56.67
776,WOLF.sol,56.67
782,WOLF.sol,56.67
787,WOLF.sol,56.67
793,WOLF.sol,56.67
798,WOLF.sol,56.67
805,WOLF.sol,56.67
811,WOLF.sol,56.67
816,WOLF.sol,56.67
822,WOLF.sol,56.67
828,WOLF.sol,56.67
834,WOLF.sol,56.67
840,WOLF.sol,56.67
846,WOLF.sol,56.67
851,WOLF.sol,56.67
857,WOLF.sol,56.67
863,WOLF.sol,56.67
869,WOLF.sol,56.67
875,WOLF.sol,56.67
881,WOLF.sol,56.67
887,WOLF.sol,56.67
893,WOLF.sol,56.67
899,WOLF.sol,56.67
905,WOLF.sol,56.67
911,WOLF.sol,56.67
916,WOLF.sol,56.67
923,WOLF.sol,56.67
