TIME,SUBJECT,COVERAGE
0,Dipex.sol,0
9,Dipex.sol,26.19
17,Dipex.sol,40.48
23,Dipex.sol,40.48
30,Dipex.sol,54.76
36,Dipex.sol,54.76
43,Dipex.sol,57.14
49,Dipex.sol,57.14
56,Dipex.sol,61.9
62,Dipex.sol,61.9
68,Dipex.sol,61.9
73,Dipex.sol,61.9
79,Dipex.sol,61.9
85,Dipex.sol,61.9
91,Dipex.sol,61.9
96,Dipex.sol,61.9
102,Dipex.sol,61.9
108,Dipex.sol,61.9
114,Dipex.sol,61.9
120,Dipex.sol,61.9
125,Dipex.sol,61.9
132,Dipex.sol,61.9
137,Dipex.sol,61.9
143,Dipex.sol,61.9
148,Dipex.sol,61.9
153,Dipex.sol,61.9
159,Dipex.sol,61.9
165,Dipex.sol,61.9
170,Dipex.sol,61.9
176,Dipex.sol,61.9
182,Dipex.sol,61.9
188,Dipex.sol,61.9
193,Dipex.sol,61.9
200,Dipex.sol,61.9
208,Dipex.sol,61.9
216,Dipex.sol,61.9
223,Dipex.sol,61.9
229,Dipex.sol,61.9
236,Dipex.sol,61.9
242,Dipex.sol,61.9
249,Dipex.sol,61.9
256,Dipex.sol,61.9
265,Dipex.sol,61.9
274,Dipex.sol,61.9
281,Dipex.sol,61.9
288,Dipex.sol,61.9
295,Dipex.sol,61.9
302,Dipex.sol,61.9
309,Dipex.sol,61.9
321,Dipex.sol,64.29
332,Dipex.sol,64.29
344,Dipex.sol,64.29
353,Dipex.sol,64.29
359,Dipex.sol,64.29
365,Dipex.sol,64.29
374,Dipex.sol,64.29
381,Dipex.sol,64.29
390,Dipex.sol,64.29
397,Dipex.sol,64.29
404,Dipex.sol,64.29
411,Dipex.sol,64.29
417,Dipex.sol,64.29
423,Dipex.sol,64.29
433,Dipex.sol,64.29
442,Dipex.sol,64.29
448,Dipex.sol,64.29
455,Dipex.sol,64.29
461,Dipex.sol,64.29
468,Dipex.sol,64.29
475,Dipex.sol,64.29
482,Dipex.sol,64.29
489,Dipex.sol,64.29
496,Dipex.sol,64.29
503,Dipex.sol,64.29
510,Dipex.sol,64.29
517,Dipex.sol,64.29
527,Dipex.sol,64.29
536,Dipex.sol,64.29
543,Dipex.sol,64.29
549,Dipex.sol,64.29
559,Dipex.sol,64.29
568,Dipex.sol,64.29
574,Dipex.sol,64.29
582,Dipex.sol,64.29
589,Dipex.sol,64.29
596,Dipex.sol,64.29
604,Dipex.sol,64.29
611,Dipex.sol,64.29
617,Dipex.sol,64.29
626,Dipex.sol,64.29
635,Dipex.sol,64.29
642,Dipex.sol,64.29
649,Dipex.sol,64.29
657,Dipex.sol,64.29
665,Dipex.sol,64.29
672,Dipex.sol,64.29
679,Dipex.sol,64.29
687,Dipex.sol,64.29
694,Dipex.sol,64.29
701,Dipex.sol,64.29
709,Dipex.sol,64.29
717,Dipex.sol,64.29
724,Dipex.sol,64.29
731,Dipex.sol,64.29
739,Dipex.sol,64.29
746,Dipex.sol,64.29
753,Dipex.sol,64.29
760,Dipex.sol,64.29
767,Dipex.sol,64.29
774,Dipex.sol,64.29
781,Dipex.sol,64.29
788,Dipex.sol,64.29
795,Dipex.sol,64.29
802,Dipex.sol,64.29
810,Dipex.sol,64.29
817,Dipex.sol,64.29
822,Dipex.sol,64.29
830,Dipex.sol,64.29
837,Dipex.sol,64.29
844,Dipex.sol,64.29
851,Dipex.sol,66.67
858,Dipex.sol,66.67
863,Dipex.sol,66.67
868,Dipex.sol,66.67
874,Dipex.sol,66.67
880,Dipex.sol,66.67
888,Dipex.sol,66.67
895,Dipex.sol,66.67
902,Dipex.sol,66.67
909,Dipex.sol,66.67
918,Dipex.sol,66.67
926,Dipex.sol,66.67
934,Dipex.sol,66.67
941,Dipex.sol,66.67
950,Dipex.sol,66.67
956,Dipex.sol,66.67
965,Dipex.sol,66.67
972,Dipex.sol,66.67
980,Dipex.sol,66.67
988,Dipex.sol,66.67
995,Dipex.sol,66.67
1003,Dipex.sol,66.67
1010,Dipex.sol,66.67
1018,Dipex.sol,66.67
1025,Dipex.sol,66.67
1033,Dipex.sol,66.67
1040,Dipex.sol,66.67
1048,Dipex.sol,66.67
1055,Dipex.sol,66.67
1062,Dipex.sol,66.67
1070,Dipex.sol,66.67
1079,Dipex.sol,66.67
1086,Dipex.sol,66.67
1093,Dipex.sol,66.67
1101,Dipex.sol,66.67
1108,Dipex.sol,66.67
1117,Dipex.sol,66.67
1125,Dipex.sol,66.67
1132,Dipex.sol,66.67
1140,Dipex.sol,66.67
1149,Dipex.sol,66.67
1157,Dipex.sol,66.67
1164,Dipex.sol,66.67
1172,Dipex.sol,66.67
1180,Dipex.sol,66.67
1188,Dipex.sol,66.67
1196,Dipex.sol,66.67
1204,Dipex.sol,66.67
1211,Dipex.sol,66.67
1219,Dipex.sol,66.67
1228,Dipex.sol,66.67
1236,Dipex.sol,66.67
1244,Dipex.sol,66.67
1251,Dipex.sol,66.67
1260,Dipex.sol,66.67
1269,Dipex.sol,66.67
1276,Dipex.sol,66.67
1285,Dipex.sol,66.67
1293,Dipex.sol,66.67
1302,Dipex.sol,66.67
1309,Dipex.sol,66.67
1317,Dipex.sol,66.67
1326,Dipex.sol,66.67
1334,Dipex.sol,66.67
1341,Dipex.sol,66.67
1350,Dipex.sol,66.67
1357,Dipex.sol,66.67
1366,Dipex.sol,66.67
1373,Dipex.sol,66.67
1382,Dipex.sol,66.67
1390,Dipex.sol,66.67
1398,Dipex.sol,66.67
1407,Dipex.sol,66.67
1415,Dipex.sol,66.67
1423,Dipex.sol,66.67
1431,Dipex.sol,66.67
1439,Dipex.sol,66.67
1446,Dipex.sol,66.67
1454,Dipex.sol,66.67
1462,Dipex.sol,66.67
1471,Dipex.sol,66.67
1479,Dipex.sol,66.67
1487,Dipex.sol,66.67
1496,Dipex.sol,66.67
1504,Dipex.sol,66.67
1512,Dipex.sol,66.67
1522,Dipex.sol,66.67
1528,Dipex.sol,66.67
1536,Dipex.sol,66.67
1544,Dipex.sol,66.67
1552,Dipex.sol,66.67
1561,Dipex.sol,66.67
1571,Dipex.sol,66.67
1582,Dipex.sol,66.67
1592,Dipex.sol,66.67
1600,Dipex.sol,66.67
1607,Dipex.sol,66.67
1614,Dipex.sol,66.67
1623,Dipex.sol,66.67
1630,Dipex.sol,66.67
1639,Dipex.sol,66.67
1646,Dipex.sol,66.67
1654,Dipex.sol,66.67
1662,Dipex.sol,66.67
1670,Dipex.sol,66.67
1679,Dipex.sol,66.67
1688,Dipex.sol,66.67
1694,Dipex.sol,66.67
1702,Dipex.sol,66.67
1710,Dipex.sol,66.67
1719,Dipex.sol,66.67
1727,Dipex.sol,66.67
1736,Dipex.sol,66.67
1747,Dipex.sol,66.67
1755,Dipex.sol,66.67
1765,Dipex.sol,66.67
1775,Dipex.sol,66.67
1788,Dipex.sol,66.67
1799,Dipex.sol,66.67
1801,Dipex.sol,66.67
