TIME,SUBJECT,COVERAGE
0,Rexona.sol,0
14,Rexona.sol,46.67
29,Rexona.sol,50
48,Rexona.sol,50
67,Rexona.sol,50
79,Rexona.sol,50
95,Rexona.sol,50
109,Rexona.sol,50
123,Rexona.sol,50
139,Rexona.sol,50
154,Rexona.sol,50
168,Rexona.sol,50
180,Rexona.sol,50
193,Rexona.sol,50
210,Rexona.sol,50
223,Rexona.sol,50
236,Rexona.sol,50
250,Rexona.sol,50
261,Rexona.sol,50
274,Rexona.sol,50
285,Rexona.sol,50
298,Rexona.sol,50
311,Rexona.sol,50
328,Rexona.sol,50
343,Rexona.sol,50
355,Rexona.sol,53.33
367,Rexona.sol,53.33
383,Rexona.sol,53.33
399,Rexona.sol,53.33
413,Rexona.sol,53.33
428,Rexona.sol,53.33
442,Rexona.sol,53.33
457,Rexona.sol,53.33
472,Rexona.sol,53.33
485,Rexona.sol,53.33
500,Rexona.sol,53.33
513,Rexona.sol,53.33
529,Rexona.sol,53.33
545,Rexona.sol,53.33
559,Rexona.sol,53.33
573,Rexona.sol,53.33
588,Rexona.sol,53.33
601,Rexona.sol,53.33
617,Rexona.sol,53.33
632,Rexona.sol,53.33
647,Rexona.sol,53.33
661,Rexona.sol,53.33
674,Rexona.sol,53.33
688,Rexona.sol,53.33
703,Rexona.sol,53.33
716,Rexona.sol,53.33
726,Rexona.sol,53.33
738,Rexona.sol,53.33
753,Rexona.sol,53.33
769,Rexona.sol,53.33
785,Rexona.sol,53.33
804,Rexona.sol,53.33
822,Rexona.sol,53.33
840,Rexona.sol,53.33
854,Rexona.sol,53.33
871,Rexona.sol,53.33
887,Rexona.sol,53.33
901,Rexona.sol,53.33
917,Rexona.sol,53.33
933,Rexona.sol,53.33
954,Rexona.sol,53.33
971,Rexona.sol,53.33
988,Rexona.sol,53.33
1008,Rexona.sol,53.33
1025,Rexona.sol,53.33
1041,Rexona.sol,53.33
1059,Rexona.sol,53.33
1075,Rexona.sol,53.33
1088,Rexona.sol,53.33
1104,Rexona.sol,53.33
1119,Rexona.sol,53.33
1135,Rexona.sol,53.33
1149,Rexona.sol,53.33
1165,Rexona.sol,53.33
1181,Rexona.sol,53.33
1195,Rexona.sol,53.33
1211,Rexona.sol,53.33
1224,Rexona.sol,53.33
1239,Rexona.sol,53.33
1252,Rexona.sol,53.33
1267,Rexona.sol,53.33
1281,Rexona.sol,53.33
1298,Rexona.sol,53.33
1314,Rexona.sol,53.33
1331,Rexona.sol,53.33
1351,Rexona.sol,53.33
1370,Rexona.sol,53.33
1385,Rexona.sol,53.33
1402,Rexona.sol,53.33
1421,Rexona.sol,53.33
1436,Rexona.sol,53.33
1455,Rexona.sol,53.33
1474,Rexona.sol,53.33
1488,Rexona.sol,53.33
1502,Rexona.sol,53.33
1520,Rexona.sol,53.33
1535,Rexona.sol,53.33
1553,Rexona.sol,53.33
1572,Rexona.sol,53.33
1592,Rexona.sol,53.33
1613,Rexona.sol,53.33
1633,Rexona.sol,53.33
1649,Rexona.sol,53.33
1665,Rexona.sol,53.33
1689,Rexona.sol,53.33
1706,Rexona.sol,53.33
1723,Rexona.sol,53.33
1748,Rexona.sol,53.33
1771,Rexona.sol,53.33
1789,Rexona.sol,53.33
1801,Rexona.sol,53.33
