TIME,SUBJECT,COVERAGE
0,GardenContractV2.sol,0
19,GardenContractV2.sol,9.48
39,GardenContractV2.sol,11.21
60,GardenContractV2.sol,11.21
77,GardenContractV2.sol,11.21
98,GardenContractV2.sol,18.1
118,GardenContractV2.sol,18.97
142,GardenContractV2.sol,20.69
162,GardenContractV2.sol,21.55
183,GardenContractV2.sol,21.55
202,GardenContractV2.sol,21.55
222,GardenContractV2.sol,23.28
241,GardenContractV2.sol,24.14
259,GardenContractV2.sol,24.14
281,GardenContractV2.sol,25
303,GardenContractV2.sol,25
324,GardenContractV2.sol,25.86
343,GardenContractV2.sol,25.86
361,GardenContractV2.sol,25.86
381,GardenContractV2.sol,25.86
400,GardenContractV2.sol,25.86
418,GardenContractV2.sol,25.86
437,GardenContractV2.sol,25.86
459,GardenContractV2.sol,26.72
478,GardenContractV2.sol,26.72
499,GardenContractV2.sol,26.72
520,GardenContractV2.sol,26.72
539,GardenContractV2.sol,26.72
557,GardenContractV2.sol,26.72
576,GardenContractV2.sol,26.72
597,GardenContractV2.sol,26.72
616,GardenContractV2.sol,26.72
641,GardenContractV2.sol,26.72
661,GardenContractV2.sol,26.72
683,GardenContractV2.sol,26.72
703,GardenContractV2.sol,26.72
722,GardenContractV2.sol,26.72
740,GardenContractV2.sol,26.72
760,GardenContractV2.sol,26.72
777,GardenContractV2.sol,26.72
795,GardenContractV2.sol,26.72
819,GardenContractV2.sol,26.72
846,GardenContractV2.sol,26.72
867,GardenContractV2.sol,26.72
888,GardenContractV2.sol,26.72
906,GardenContractV2.sol,26.72
927,GardenContractV2.sol,26.72
945,GardenContractV2.sol,26.72
964,GardenContractV2.sol,26.72
982,GardenContractV2.sol,26.72
998,GardenContractV2.sol,26.72
1015,GardenContractV2.sol,26.72
1035,GardenContractV2.sol,26.72
1054,GardenContractV2.sol,26.72
1077,GardenContractV2.sol,26.72
1099,GardenContractV2.sol,26.72
1119,GardenContractV2.sol,26.72
1139,GardenContractV2.sol,26.72
1158,GardenContractV2.sol,26.72
1176,GardenContractV2.sol,26.72
1197,GardenContractV2.sol,26.72
1218,GardenContractV2.sol,26.72
1241,GardenContractV2.sol,26.72
1264,GardenContractV2.sol,26.72
1287,GardenContractV2.sol,26.72
1305,GardenContractV2.sol,26.72
1324,GardenContractV2.sol,26.72
1348,GardenContractV2.sol,26.72
1376,GardenContractV2.sol,26.72
1398,GardenContractV2.sol,26.72
1420,GardenContractV2.sol,26.72
1442,GardenContractV2.sol,26.72
1462,GardenContractV2.sol,26.72
1480,GardenContractV2.sol,26.72
1502,GardenContractV2.sol,26.72
1523,GardenContractV2.sol,26.72
1545,GardenContractV2.sol,27.59
1569,GardenContractV2.sol,27.59
1591,GardenContractV2.sol,27.59
1612,GardenContractV2.sol,27.59
1631,GardenContractV2.sol,27.59
1653,GardenContractV2.sol,27.59
1674,GardenContractV2.sol,27.59
1695,GardenContractV2.sol,27.59
1715,GardenContractV2.sol,27.59
1735,GardenContractV2.sol,27.59
1757,GardenContractV2.sol,27.59
1779,GardenContractV2.sol,27.59
1801,GardenContractV2.sol,27.59
