TIME,SUBJECT,COVERAGE
0,MisesLegacyPool.sol,0
13,MisesLegacyPool.sol,47.06
24,MisesLegacyPool.sol,47.06
36,MisesLegacyPool.sol,58.82
48,MisesLegacyPool.sol,58.82
60,MisesLegacyPool.sol,58.82
73,MisesLegacyPool.sol,58.82
85,MisesLegacyPool.sol,58.82
97,MisesLegacyPool.sol,58.82
108,MisesLegacyPool.sol,58.82
117,MisesLegacyPool.sol,58.82
127,MisesLegacyPool.sol,58.82
139,MisesLegacyPool.sol,58.82
153,MisesLegacyPool.sol,58.82
165,MisesLegacyPool.sol,58.82
175,MisesLegacyPool.sol,58.82
192,MisesLegacyPool.sol,58.82
206,MisesLegacyPool.sol,58.82
219,MisesLegacyPool.sol,58.82
237,MisesLegacyPool.sol,58.82
251,MisesLegacyPool.sol,58.82
261,MisesLegacyPool.sol,58.82
273,MisesLegacyPool.sol,58.82
284,MisesLegacyPool.sol,58.82
298,MisesLegacyPool.sol,58.82
317,MisesLegacyPool.sol,58.82
335,MisesLegacyPool.sol,58.82
348,MisesLegacyPool.sol,58.82
357,MisesLegacyPool.sol,58.82
368,MisesLegacyPool.sol,58.82
381,MisesLegacyPool.sol,58.82
393,MisesLegacyPool.sol,58.82
412,MisesLegacyPool.sol,58.82
424,MisesLegacyPool.sol,58.82
436,MisesLegacyPool.sol,58.82
452,MisesLegacyPool.sol,58.82
468,MisesLegacyPool.sol,58.82
481,MisesLegacyPool.sol,58.82
494,MisesLegacyPool.sol,58.82
506,MisesLegacyPool.sol,58.82
519,MisesLegacyPool.sol,58.82
533,MisesLegacyPool.sol,58.82
544,MisesLegacyPool.sol,58.82
558,MisesLegacyPool.sol,58.82
573,MisesLegacyPool.sol,58.82
585,MisesLegacyPool.sol,58.82
604,MisesLegacyPool.sol,58.82
622,MisesLegacyPool.sol,58.82
635,MisesLegacyPool.sol,58.82
649,MisesLegacyPool.sol,58.82
661,MisesLegacyPool.sol,58.82
676,MisesLegacyPool.sol,58.82
688,MisesLegacyPool.sol,58.82
702,MisesLegacyPool.sol,58.82
716,MisesLegacyPool.sol,58.82
729,MisesLegacyPool.sol,58.82
741,MisesLegacyPool.sol,58.82
756,MisesLegacyPool.sol,58.82
769,MisesLegacyPool.sol,58.82
784,MisesLegacyPool.sol,58.82
799,MisesLegacyPool.sol,58.82
812,MisesLegacyPool.sol,58.82
823,MisesLegacyPool.sol,58.82
837,MisesLegacyPool.sol,58.82
852,MisesLegacyPool.sol,58.82
867,MisesLegacyPool.sol,58.82
883,MisesLegacyPool.sol,58.82
899,MisesLegacyPool.sol,58.82
914,MisesLegacyPool.sol,58.82
930,MisesLegacyPool.sol,58.82
946,MisesLegacyPool.sol,58.82
961,MisesLegacyPool.sol,58.82
975,MisesLegacyPool.sol,58.82
989,MisesLegacyPool.sol,58.82
1005,MisesLegacyPool.sol,58.82
1021,MisesLegacyPool.sol,58.82
1033,MisesLegacyPool.sol,58.82
1048,MisesLegacyPool.sol,58.82
1063,MisesLegacyPool.sol,58.82
1077,MisesLegacyPool.sol,58.82
1091,MisesLegacyPool.sol,58.82
1107,MisesLegacyPool.sol,58.82
1123,MisesLegacyPool.sol,58.82
1139,MisesLegacyPool.sol,58.82
1155,MisesLegacyPool.sol,58.82
1169,MisesLegacyPool.sol,58.82
1178,MisesLegacyPool.sol,58.82
1188,MisesLegacyPool.sol,58.82
1199,MisesLegacyPool.sol,58.82
1210,MisesLegacyPool.sol,58.82
1226,MisesLegacyPool.sol,58.82
1245,MisesLegacyPool.sol,58.82
1262,MisesLegacyPool.sol,58.82
1277,MisesLegacyPool.sol,58.82
1295,MisesLegacyPool.sol,58.82
1310,MisesLegacyPool.sol,58.82
1328,MisesLegacyPool.sol,58.82
1347,MisesLegacyPool.sol,58.82
1364,MisesLegacyPool.sol,58.82
1382,MisesLegacyPool.sol,58.82
1403,MisesLegacyPool.sol,58.82
1421,MisesLegacyPool.sol,58.82
1438,MisesLegacyPool.sol,58.82
1457,MisesLegacyPool.sol,58.82
1476,MisesLegacyPool.sol,58.82
1494,MisesLegacyPool.sol,58.82
1513,MisesLegacyPool.sol,58.82
1529,MisesLegacyPool.sol,58.82
1546,MisesLegacyPool.sol,58.82
1562,MisesLegacyPool.sol,58.82
1573,MisesLegacyPool.sol,58.82
1583,MisesLegacyPool.sol,58.82
1597,MisesLegacyPool.sol,58.82
1615,MisesLegacyPool.sol,58.82
1631,MisesLegacyPool.sol,58.82
1642,MisesLegacyPool.sol,58.82
1654,MisesLegacyPool.sol,58.82
1672,MisesLegacyPool.sol,58.82
1690,MisesLegacyPool.sol,58.82
1708,MisesLegacyPool.sol,58.82
1725,MisesLegacyPool.sol,58.82
1743,MisesLegacyPool.sol,58.82
1763,MisesLegacyPool.sol,58.82
1782,MisesLegacyPool.sol,58.82
1799,MisesLegacyPool.sol,58.82
1801,MisesLegacyPool.sol,58.82
