TIME,SUBJECT,COVERAGE
0,StakingDextoken.sol,0
16,StakingDextoken.sol,45.45
33,StakingDextoken.sol,51.52
52,StakingDextoken.sol,54.55
70,StakingDextoken.sol,63.64
91,StakingDextoken.sol,63.64
110,StakingDextoken.sol,63.64
126,StakingDextoken.sol,63.64
144,StakingDextoken.sol,66.67
163,StakingDextoken.sol,66.67
185,StakingDextoken.sol,69.7
205,StakingDextoken.sol,69.7
222,StakingDextoken.sol,72.73
236,StakingDextoken.sol,72.73
256,StakingDextoken.sol,72.73
274,StakingDextoken.sol,72.73
288,StakingDextoken.sol,72.73
305,StakingDextoken.sol,75.76
324,StakingDextoken.sol,75.76
341,StakingDextoken.sol,75.76
361,StakingDextoken.sol,75.76
382,StakingDextoken.sol,75.76
404,StakingDextoken.sol,75.76
422,StakingDextoken.sol,75.76
438,StakingDextoken.sol,75.76
454,StakingDextoken.sol,75.76
470,StakingDextoken.sol,75.76
484,StakingDextoken.sol,75.76
503,StakingDextoken.sol,75.76
517,StakingDextoken.sol,75.76
531,StakingDextoken.sol,75.76
550,StakingDextoken.sol,75.76
564,StakingDextoken.sol,75.76
576,StakingDextoken.sol,75.76
589,StakingDextoken.sol,75.76
604,StakingDextoken.sol,75.76
621,StakingDextoken.sol,75.76
637,StakingDextoken.sol,75.76
657,StakingDextoken.sol,75.76
670,StakingDextoken.sol,75.76
683,StakingDextoken.sol,75.76
696,StakingDextoken.sol,75.76
708,StakingDextoken.sol,75.76
722,StakingDextoken.sol,75.76
737,StakingDextoken.sol,75.76
753,StakingDextoken.sol,75.76
766,StakingDextoken.sol,75.76
780,StakingDextoken.sol,75.76
794,StakingDextoken.sol,75.76
807,StakingDextoken.sol,75.76
820,StakingDextoken.sol,75.76
833,StakingDextoken.sol,75.76
846,StakingDextoken.sol,75.76
858,StakingDextoken.sol,75.76
870,StakingDextoken.sol,75.76
882,StakingDextoken.sol,75.76
896,StakingDextoken.sol,75.76
910,StakingDextoken.sol,75.76
922,StakingDextoken.sol,75.76
935,StakingDextoken.sol,75.76
948,StakingDextoken.sol,75.76
961,StakingDextoken.sol,75.76
973,StakingDextoken.sol,75.76
988,StakingDextoken.sol,75.76
1001,StakingDextoken.sol,75.76
1014,StakingDextoken.sol,75.76
1028,StakingDextoken.sol,75.76
1042,StakingDextoken.sol,75.76
1055,StakingDextoken.sol,75.76
1068,StakingDextoken.sol,75.76
1081,StakingDextoken.sol,75.76
1096,StakingDextoken.sol,75.76
1109,StakingDextoken.sol,75.76
1123,StakingDextoken.sol,75.76
1137,StakingDextoken.sol,75.76
1149,StakingDextoken.sol,75.76
1162,StakingDextoken.sol,75.76
1176,StakingDextoken.sol,75.76
1190,StakingDextoken.sol,75.76
1206,StakingDextoken.sol,75.76
1220,StakingDextoken.sol,75.76
1233,StakingDextoken.sol,75.76
1246,StakingDextoken.sol,75.76
1262,StakingDextoken.sol,75.76
1279,StakingDextoken.sol,75.76
1297,StakingDextoken.sol,75.76
1312,StakingDextoken.sol,75.76
1325,StakingDextoken.sol,75.76
1339,StakingDextoken.sol,75.76
1352,StakingDextoken.sol,75.76
1366,StakingDextoken.sol,75.76
1381,StakingDextoken.sol,75.76
1394,StakingDextoken.sol,75.76
1408,StakingDextoken.sol,75.76
1420,StakingDextoken.sol,75.76
1435,StakingDextoken.sol,75.76
1450,StakingDextoken.sol,75.76
1465,StakingDextoken.sol,75.76
1478,StakingDextoken.sol,75.76
1491,StakingDextoken.sol,75.76
1505,StakingDextoken.sol,75.76
1519,StakingDextoken.sol,75.76
1530,StakingDextoken.sol,75.76
1540,StakingDextoken.sol,75.76
1551,StakingDextoken.sol,75.76
1563,StakingDextoken.sol,75.76
1574,StakingDextoken.sol,75.76
1586,StakingDextoken.sol,75.76
1597,StakingDextoken.sol,75.76
1610,StakingDextoken.sol,75.76
1625,StakingDextoken.sol,75.76
1637,StakingDextoken.sol,75.76
1650,StakingDextoken.sol,75.76
1663,StakingDextoken.sol,75.76
1675,StakingDextoken.sol,75.76
1688,StakingDextoken.sol,75.76
1703,StakingDextoken.sol,75.76
1718,StakingDextoken.sol,75.76
1731,StakingDextoken.sol,75.76
1744,StakingDextoken.sol,75.76
1762,StakingDextoken.sol,75.76
1776,StakingDextoken.sol,75.76
1792,StakingDextoken.sol,75.76
1800,StakingDextoken.sol,75.76
