TIME,SUBJECT,COVERAGE
0,vnxManager.sol,0
8,vnxManager.sol,29.63
15,vnxManager.sol,29.63
23,vnxManager.sol,29.63
32,vnxManager.sol,31.48
41,vnxManager.sol,31.48
50,vnxManager.sol,31.48
58,vnxManager.sol,44.44
67,vnxManager.sol,44.44
74,vnxManager.sol,44.44
81,vnxManager.sol,44.44
90,vnxManager.sol,44.44
96,vnxManager.sol,44.44
104,vnxManager.sol,44.44
111,vnxManager.sol,44.44
120,vnxManager.sol,44.44
130,vnxManager.sol,44.44
141,vnxManager.sol,44.44
150,vnxManager.sol,44.44
159,vnxManager.sol,55.56
166,vnxManager.sol,55.56
173,vnxManager.sol,55.56
181,vnxManager.sol,55.56
188,vnxManager.sol,55.56
197,vnxManager.sol,55.56
205,vnxManager.sol,55.56
213,vnxManager.sol,55.56
222,vnxManager.sol,55.56
230,vnxManager.sol,55.56
239,vnxManager.sol,55.56
246,vnxManager.sol,55.56
255,vnxManager.sol,55.56
265,vnxManager.sol,55.56
271,vnxManager.sol,55.56
279,vnxManager.sol,55.56
287,vnxManager.sol,55.56
295,vnxManager.sol,55.56
302,vnxManager.sol,55.56
310,vnxManager.sol,55.56
318,vnxManager.sol,55.56
328,vnxManager.sol,55.56
337,vnxManager.sol,55.56
346,vnxManager.sol,55.56
352,vnxManager.sol,55.56
359,vnxManager.sol,55.56
367,vnxManager.sol,55.56
373,vnxManager.sol,55.56
383,vnxManager.sol,55.56
392,vnxManager.sol,55.56
402,vnxManager.sol,55.56
410,vnxManager.sol,55.56
419,vnxManager.sol,55.56
429,vnxManager.sol,55.56
438,vnxManager.sol,55.56
448,vnxManager.sol,61.11
455,vnxManager.sol,61.11
465,vnxManager.sol,61.11
472,vnxManager.sol,61.11
483,vnxManager.sol,61.11
493,vnxManager.sol,61.11
502,vnxManager.sol,61.11
512,vnxManager.sol,61.11
522,vnxManager.sol,61.11
532,vnxManager.sol,61.11
540,vnxManager.sol,61.11
547,vnxManager.sol,61.11
556,vnxManager.sol,61.11
564,vnxManager.sol,61.11
572,vnxManager.sol,61.11
579,vnxManager.sol,61.11
586,vnxManager.sol,61.11
593,vnxManager.sol,61.11
601,vnxManager.sol,61.11
611,vnxManager.sol,61.11
619,vnxManager.sol,61.11
626,vnxManager.sol,61.11
636,vnxManager.sol,61.11
643,vnxManager.sol,61.11
653,vnxManager.sol,61.11
661,vnxManager.sol,61.11
669,vnxManager.sol,61.11
677,vnxManager.sol,61.11
683,vnxManager.sol,61.11
691,vnxManager.sol,61.11
699,vnxManager.sol,61.11
706,vnxManager.sol,61.11
713,vnxManager.sol,61.11
722,vnxManager.sol,61.11
729,vnxManager.sol,61.11
737,vnxManager.sol,61.11
747,vnxManager.sol,61.11
755,vnxManager.sol,61.11
762,vnxManager.sol,61.11
769,vnxManager.sol,61.11
775,vnxManager.sol,61.11
783,vnxManager.sol,61.11
792,vnxManager.sol,61.11
798,vnxManager.sol,61.11
806,vnxManager.sol,61.11
816,vnxManager.sol,61.11
824,vnxManager.sol,61.11
831,vnxManager.sol,61.11
839,vnxManager.sol,61.11
847,vnxManager.sol,61.11
854,vnxManager.sol,61.11
862,vnxManager.sol,61.11
869,vnxManager.sol,61.11
876,vnxManager.sol,61.11
885,vnxManager.sol,61.11
891,vnxManager.sol,61.11
899,vnxManager.sol,61.11
908,vnxManager.sol,61.11
915,vnxManager.sol,61.11
922,vnxManager.sol,61.11
930,vnxManager.sol,61.11
938,vnxManager.sol,61.11
946,vnxManager.sol,61.11
953,vnxManager.sol,61.11
961,vnxManager.sol,61.11
968,vnxManager.sol,61.11
975,vnxManager.sol,61.11
983,vnxManager.sol,61.11
990,vnxManager.sol,61.11
997,vnxManager.sol,61.11
1006,vnxManager.sol,61.11
1012,vnxManager.sol,61.11
1019,vnxManager.sol,61.11
1027,vnxManager.sol,61.11
1035,vnxManager.sol,61.11
1043,vnxManager.sol,61.11
1051,vnxManager.sol,61.11
1059,vnxManager.sol,61.11
1067,vnxManager.sol,61.11
1075,vnxManager.sol,61.11
1082,vnxManager.sol,61.11
1090,vnxManager.sol,61.11
1098,vnxManager.sol,61.11
1105,vnxManager.sol,61.11
1113,vnxManager.sol,61.11
1120,vnxManager.sol,61.11
1127,vnxManager.sol,61.11
1137,vnxManager.sol,61.11
1145,vnxManager.sol,61.11
1151,vnxManager.sol,61.11
1160,vnxManager.sol,61.11
1167,vnxManager.sol,61.11
1173,vnxManager.sol,61.11
1179,vnxManager.sol,61.11
1186,vnxManager.sol,61.11
1193,vnxManager.sol,61.11
1200,vnxManager.sol,61.11
1207,vnxManager.sol,61.11
1214,vnxManager.sol,61.11
1222,vnxManager.sol,61.11
1228,vnxManager.sol,61.11
1236,vnxManager.sol,61.11
1242,vnxManager.sol,61.11
1249,vnxManager.sol,61.11
1256,vnxManager.sol,61.11
1263,vnxManager.sol,61.11
1270,vnxManager.sol,61.11
1277,vnxManager.sol,61.11
1287,vnxManager.sol,61.11
1296,vnxManager.sol,61.11
1303,vnxManager.sol,61.11
1309,vnxManager.sol,61.11
1316,vnxManager.sol,61.11
1323,vnxManager.sol,61.11
1330,vnxManager.sol,61.11
1336,vnxManager.sol,61.11
1343,vnxManager.sol,61.11
1350,vnxManager.sol,61.11
1357,vnxManager.sol,61.11
1365,vnxManager.sol,61.11
1373,vnxManager.sol,61.11
1379,vnxManager.sol,61.11
1387,vnxManager.sol,61.11
1394,vnxManager.sol,61.11
1401,vnxManager.sol,61.11
1408,vnxManager.sol,61.11
1417,vnxManager.sol,61.11
1423,vnxManager.sol,61.11
1429,vnxManager.sol,61.11
1437,vnxManager.sol,61.11
1444,vnxManager.sol,61.11
1451,vnxManager.sol,61.11
1457,vnxManager.sol,61.11
1465,vnxManager.sol,61.11
1474,vnxManager.sol,61.11
1482,vnxManager.sol,61.11
1489,vnxManager.sol,61.11
1496,vnxManager.sol,61.11
1503,vnxManager.sol,61.11
1511,vnxManager.sol,61.11
1519,vnxManager.sol,61.11
1527,vnxManager.sol,61.11
1537,vnxManager.sol,61.11
1546,vnxManager.sol,61.11
1554,vnxManager.sol,61.11
1561,vnxManager.sol,61.11
1568,vnxManager.sol,61.11
1577,vnxManager.sol,61.11
1585,vnxManager.sol,61.11
1593,vnxManager.sol,61.11
1601,vnxManager.sol,61.11
1608,vnxManager.sol,61.11
1615,vnxManager.sol,61.11
1623,vnxManager.sol,61.11
1630,vnxManager.sol,61.11
1639,vnxManager.sol,61.11
1647,vnxManager.sol,61.11
1655,vnxManager.sol,61.11
1661,vnxManager.sol,61.11
1670,vnxManager.sol,61.11
1678,vnxManager.sol,61.11
1685,vnxManager.sol,61.11
1693,vnxManager.sol,61.11
1700,vnxManager.sol,61.11
1707,vnxManager.sol,61.11
1715,vnxManager.sol,61.11
1722,vnxManager.sol,61.11
1731,vnxManager.sol,61.11
1738,vnxManager.sol,61.11
1746,vnxManager.sol,61.11
1754,vnxManager.sol,61.11
1761,vnxManager.sol,61.11
1769,vnxManager.sol,61.11
1777,vnxManager.sol,61.11
1785,vnxManager.sol,61.11
1794,vnxManager.sol,61.11
1801,vnxManager.sol,61.11
