TIME,SUBJECT,COVERAGE
0,GAZ_ERC20.sol,0
10,GAZ_ERC20.sol,25.71
19,GAZ_ERC20.sol,25.71
29,GAZ_ERC20.sol,42.86
38,GAZ_ERC20.sol,42.86
47,GAZ_ERC20.sol,42.86
55,GAZ_ERC20.sol,42.86
62,GAZ_ERC20.sol,42.86
71,GAZ_ERC20.sol,42.86
78,GAZ_ERC20.sol,42.86
88,GAZ_ERC20.sol,42.86
96,GAZ_ERC20.sol,42.86
104,GAZ_ERC20.sol,42.86
110,GAZ_ERC20.sol,42.86
119,GAZ_ERC20.sol,42.86
126,GAZ_ERC20.sol,42.86
135,GAZ_ERC20.sol,42.86
143,GAZ_ERC20.sol,42.86
150,GAZ_ERC20.sol,42.86
158,GAZ_ERC20.sol,42.86
166,GAZ_ERC20.sol,42.86
172,GAZ_ERC20.sol,42.86
180,GAZ_ERC20.sol,42.86
190,GAZ_ERC20.sol,42.86
200,GAZ_ERC20.sol,42.86
211,GAZ_ERC20.sol,42.86
221,GAZ_ERC20.sol,42.86
232,GAZ_ERC20.sol,42.86
240,GAZ_ERC20.sol,42.86
248,GAZ_ERC20.sol,42.86
258,GAZ_ERC20.sol,42.86
269,GAZ_ERC20.sol,42.86
278,GAZ_ERC20.sol,42.86
286,GAZ_ERC20.sol,42.86
295,GAZ_ERC20.sol,42.86
303,GAZ_ERC20.sol,42.86
311,GAZ_ERC20.sol,42.86
319,GAZ_ERC20.sol,42.86
326,GAZ_ERC20.sol,42.86
335,GAZ_ERC20.sol,42.86
346,GAZ_ERC20.sol,42.86
354,GAZ_ERC20.sol,42.86
362,GAZ_ERC20.sol,42.86
371,GAZ_ERC20.sol,42.86
378,GAZ_ERC20.sol,42.86
385,GAZ_ERC20.sol,42.86
393,GAZ_ERC20.sol,42.86
400,GAZ_ERC20.sol,42.86
410,GAZ_ERC20.sol,42.86
417,GAZ_ERC20.sol,42.86
428,GAZ_ERC20.sol,42.86
439,GAZ_ERC20.sol,42.86
449,GAZ_ERC20.sol,42.86
455,GAZ_ERC20.sol,42.86
464,GAZ_ERC20.sol,42.86
472,GAZ_ERC20.sol,42.86
480,GAZ_ERC20.sol,42.86
487,GAZ_ERC20.sol,42.86
493,GAZ_ERC20.sol,42.86
501,GAZ_ERC20.sol,42.86
512,GAZ_ERC20.sol,42.86
521,GAZ_ERC20.sol,42.86
533,GAZ_ERC20.sol,42.86
542,GAZ_ERC20.sol,42.86
549,GAZ_ERC20.sol,42.86
557,GAZ_ERC20.sol,42.86
567,GAZ_ERC20.sol,42.86
576,GAZ_ERC20.sol,42.86
589,GAZ_ERC20.sol,42.86
598,GAZ_ERC20.sol,42.86
608,GAZ_ERC20.sol,42.86
619,GAZ_ERC20.sol,42.86
633,GAZ_ERC20.sol,42.86
644,GAZ_ERC20.sol,42.86
651,GAZ_ERC20.sol,42.86
659,GAZ_ERC20.sol,42.86
666,GAZ_ERC20.sol,42.86
674,GAZ_ERC20.sol,42.86
686,GAZ_ERC20.sol,42.86
696,GAZ_ERC20.sol,42.86
712,GAZ_ERC20.sol,42.86
722,GAZ_ERC20.sol,42.86
734,GAZ_ERC20.sol,42.86
747,GAZ_ERC20.sol,42.86
758,GAZ_ERC20.sol,42.86
773,GAZ_ERC20.sol,42.86
786,GAZ_ERC20.sol,42.86
796,GAZ_ERC20.sol,42.86
810,GAZ_ERC20.sol,42.86
821,GAZ_ERC20.sol,42.86
834,GAZ_ERC20.sol,42.86
845,GAZ_ERC20.sol,42.86
851,GAZ_ERC20.sol,42.86
858,GAZ_ERC20.sol,42.86
864,GAZ_ERC20.sol,42.86
869,GAZ_ERC20.sol,42.86
877,GAZ_ERC20.sol,42.86
883,GAZ_ERC20.sol,42.86
890,GAZ_ERC20.sol,42.86
895,GAZ_ERC20.sol,42.86
902,GAZ_ERC20.sol,42.86
908,GAZ_ERC20.sol,42.86
915,GAZ_ERC20.sol,42.86
922,GAZ_ERC20.sol,42.86
932,GAZ_ERC20.sol,42.86
943,GAZ_ERC20.sol,42.86
950,GAZ_ERC20.sol,42.86
958,GAZ_ERC20.sol,42.86
967,GAZ_ERC20.sol,42.86
976,GAZ_ERC20.sol,42.86
983,GAZ_ERC20.sol,42.86
989,GAZ_ERC20.sol,42.86
996,GAZ_ERC20.sol,42.86
1004,GAZ_ERC20.sol,42.86
1008,GAZ_ERC20.sol,42.86
1012,GAZ_ERC20.sol,42.86
1015,GAZ_ERC20.sol,42.86
1019,GAZ_ERC20.sol,42.86
1024,GAZ_ERC20.sol,42.86
1030,GAZ_ERC20.sol,42.86
1034,GAZ_ERC20.sol,42.86
1038,GAZ_ERC20.sol,42.86
1041,GAZ_ERC20.sol,42.86
1046,GAZ_ERC20.sol,42.86
1054,GAZ_ERC20.sol,42.86
1058,GAZ_ERC20.sol,42.86
1062,GAZ_ERC20.sol,42.86
1066,GAZ_ERC20.sol,42.86
1069,GAZ_ERC20.sol,42.86
1074,GAZ_ERC20.sol,42.86
1080,GAZ_ERC20.sol,42.86
1084,GAZ_ERC20.sol,42.86
1090,GAZ_ERC20.sol,42.86
1094,GAZ_ERC20.sol,42.86
1098,GAZ_ERC20.sol,42.86
1103,GAZ_ERC20.sol,42.86
1108,GAZ_ERC20.sol,42.86
1111,GAZ_ERC20.sol,42.86
1114,GAZ_ERC20.sol,42.86
1118,GAZ_ERC20.sol,42.86
1123,GAZ_ERC20.sol,42.86
1128,GAZ_ERC20.sol,42.86
1132,GAZ_ERC20.sol,42.86
1136,GAZ_ERC20.sol,42.86
1143,GAZ_ERC20.sol,42.86
1152,GAZ_ERC20.sol,42.86
1157,GAZ_ERC20.sol,42.86
1168,GAZ_ERC20.sol,42.86
1176,GAZ_ERC20.sol,42.86
1179,GAZ_ERC20.sol,42.86
1183,GAZ_ERC20.sol,42.86
1186,GAZ_ERC20.sol,42.86
1190,GAZ_ERC20.sol,42.86
1196,GAZ_ERC20.sol,42.86
1201,GAZ_ERC20.sol,42.86
1207,GAZ_ERC20.sol,42.86
1213,GAZ_ERC20.sol,42.86
1218,GAZ_ERC20.sol,42.86
1225,GAZ_ERC20.sol,42.86
1236,GAZ_ERC20.sol,42.86
1243,GAZ_ERC20.sol,42.86
1247,GAZ_ERC20.sol,42.86
1252,GAZ_ERC20.sol,42.86
1259,GAZ_ERC20.sol,42.86
1266,GAZ_ERC20.sol,42.86
1271,GAZ_ERC20.sol,42.86
1277,GAZ_ERC20.sol,42.86
1282,GAZ_ERC20.sol,42.86
1287,GAZ_ERC20.sol,42.86
1292,GAZ_ERC20.sol,42.86
1298,GAZ_ERC20.sol,42.86
1304,GAZ_ERC20.sol,42.86
1310,GAZ_ERC20.sol,42.86
1315,GAZ_ERC20.sol,42.86
1322,GAZ_ERC20.sol,42.86
1328,GAZ_ERC20.sol,42.86
1334,GAZ_ERC20.sol,42.86
1340,GAZ_ERC20.sol,42.86
1347,GAZ_ERC20.sol,42.86
1352,GAZ_ERC20.sol,42.86
1357,GAZ_ERC20.sol,42.86
1362,GAZ_ERC20.sol,42.86
1368,GAZ_ERC20.sol,42.86
1373,GAZ_ERC20.sol,42.86
1379,GAZ_ERC20.sol,42.86
1384,GAZ_ERC20.sol,42.86
1389,GAZ_ERC20.sol,42.86
1395,GAZ_ERC20.sol,42.86
1402,GAZ_ERC20.sol,42.86
1408,GAZ_ERC20.sol,42.86
1416,GAZ_ERC20.sol,42.86
1424,GAZ_ERC20.sol,42.86
1431,GAZ_ERC20.sol,42.86
1436,GAZ_ERC20.sol,42.86
1442,GAZ_ERC20.sol,42.86
1448,GAZ_ERC20.sol,42.86
1451,GAZ_ERC20.sol,42.86
1456,GAZ_ERC20.sol,42.86
1463,GAZ_ERC20.sol,42.86
1469,GAZ_ERC20.sol,42.86
1477,GAZ_ERC20.sol,42.86
1483,GAZ_ERC20.sol,42.86
1489,GAZ_ERC20.sol,42.86
1495,GAZ_ERC20.sol,42.86
1500,GAZ_ERC20.sol,42.86
1505,GAZ_ERC20.sol,42.86
1508,GAZ_ERC20.sol,42.86
1513,GAZ_ERC20.sol,42.86
1517,GAZ_ERC20.sol,42.86
1524,GAZ_ERC20.sol,42.86
1531,GAZ_ERC20.sol,42.86
1536,GAZ_ERC20.sol,42.86
1543,GAZ_ERC20.sol,42.86
1548,GAZ_ERC20.sol,42.86
1554,GAZ_ERC20.sol,42.86
1560,GAZ_ERC20.sol,42.86
1567,GAZ_ERC20.sol,42.86
1574,GAZ_ERC20.sol,42.86
1580,GAZ_ERC20.sol,42.86
1585,GAZ_ERC20.sol,42.86
1590,GAZ_ERC20.sol,42.86
1596,GAZ_ERC20.sol,42.86
1602,GAZ_ERC20.sol,42.86
1608,GAZ_ERC20.sol,42.86
1615,GAZ_ERC20.sol,42.86
1619,GAZ_ERC20.sol,42.86
1625,GAZ_ERC20.sol,42.86
1630,GAZ_ERC20.sol,42.86
1635,GAZ_ERC20.sol,42.86
1638,GAZ_ERC20.sol,42.86
1641,GAZ_ERC20.sol,42.86
1645,GAZ_ERC20.sol,42.86
1650,GAZ_ERC20.sol,42.86
1654,GAZ_ERC20.sol,42.86
1658,GAZ_ERC20.sol,42.86
1662,GAZ_ERC20.sol,42.86
1666,GAZ_ERC20.sol,42.86
1671,GAZ_ERC20.sol,42.86
1678,GAZ_ERC20.sol,42.86
1685,GAZ_ERC20.sol,42.86
1691,GAZ_ERC20.sol,42.86
1694,GAZ_ERC20.sol,42.86
1698,GAZ_ERC20.sol,42.86
1701,GAZ_ERC20.sol,42.86
1704,GAZ_ERC20.sol,42.86
1710,GAZ_ERC20.sol,42.86
1714,GAZ_ERC20.sol,42.86
1720,GAZ_ERC20.sol,42.86
1728,GAZ_ERC20.sol,42.86
1734,GAZ_ERC20.sol,42.86
1740,GAZ_ERC20.sol,42.86
1746,GAZ_ERC20.sol,42.86
1752,GAZ_ERC20.sol,42.86
1758,GAZ_ERC20.sol,42.86
1763,GAZ_ERC20.sol,42.86
1770,GAZ_ERC20.sol,42.86
1776,GAZ_ERC20.sol,42.86
1781,GAZ_ERC20.sol,42.86
1786,GAZ_ERC20.sol,42.86
1794,GAZ_ERC20.sol,42.86
1799,GAZ_ERC20.sol,42.86
1800,GAZ_ERC20.sol,42.86
