TIME,SUBJECT,COVERAGE
0,PACT.sol,0
10,PACT.sol,20.69
18,PACT.sol,27.59
27,PACT.sol,34.48
36,PACT.sol,36.21
45,PACT.sol,37.93
55,PACT.sol,37.93
63,PACT.sol,37.93
71,PACT.sol,37.93
80,PACT.sol,41.38
88,PACT.sol,41.38
97,PACT.sol,41.38
106,PACT.sol,41.38
115,PACT.sol,41.38
123,PACT.sol,41.38
131,PACT.sol,41.38
140,PACT.sol,41.38
148,PACT.sol,41.38
157,PACT.sol,41.38
164,PACT.sol,41.38
173,PACT.sol,41.38
183,PACT.sol,41.38
192,PACT.sol,41.38
200,PACT.sol,41.38
208,PACT.sol,41.38
217,PACT.sol,41.38
226,PACT.sol,41.38
236,PACT.sol,41.38
245,PACT.sol,41.38
253,PACT.sol,41.38
261,PACT.sol,41.38
271,PACT.sol,41.38
279,PACT.sol,41.38
289,PACT.sol,41.38
298,PACT.sol,41.38
306,PACT.sol,41.38
317,PACT.sol,41.38
326,PACT.sol,41.38
333,PACT.sol,41.38
341,PACT.sol,41.38
350,PACT.sol,41.38
360,PACT.sol,41.38
367,PACT.sol,41.38
375,PACT.sol,41.38
385,PACT.sol,41.38
394,PACT.sol,41.38
403,PACT.sol,41.38
411,PACT.sol,41.38
420,PACT.sol,41.38
431,PACT.sol,41.38
440,PACT.sol,41.38
448,PACT.sol,41.38
457,PACT.sol,41.38
466,PACT.sol,41.38
474,PACT.sol,41.38
483,PACT.sol,41.38
491,PACT.sol,41.38
501,PACT.sol,41.38
509,PACT.sol,41.38
517,PACT.sol,41.38
526,PACT.sol,41.38
535,PACT.sol,41.38
544,PACT.sol,41.38
552,PACT.sol,41.38
563,PACT.sol,41.38
572,PACT.sol,41.38
584,PACT.sol,41.38
592,PACT.sol,41.38
602,PACT.sol,41.38
610,PACT.sol,41.38
620,PACT.sol,41.38
628,PACT.sol,41.38
637,PACT.sol,41.38
645,PACT.sol,41.38
655,PACT.sol,41.38
663,PACT.sol,41.38
673,PACT.sol,41.38
683,PACT.sol,41.38
698,PACT.sol,41.38
708,PACT.sol,41.38
718,PACT.sol,41.38
727,PACT.sol,41.38
735,PACT.sol,41.38
744,PACT.sol,41.38
753,PACT.sol,41.38
762,PACT.sol,41.38
771,PACT.sol,41.38
780,PACT.sol,41.38
792,PACT.sol,41.38
805,PACT.sol,41.38
815,PACT.sol,41.38
825,PACT.sol,41.38
837,PACT.sol,41.38
847,PACT.sol,41.38
855,PACT.sol,41.38
862,PACT.sol,41.38
869,PACT.sol,41.38
877,PACT.sol,41.38
889,PACT.sol,41.38
896,PACT.sol,41.38
904,PACT.sol,41.38
912,PACT.sol,41.38
919,PACT.sol,41.38
926,PACT.sol,41.38
933,PACT.sol,41.38
941,PACT.sol,41.38
948,PACT.sol,41.38
956,PACT.sol,41.38
966,PACT.sol,41.38
976,PACT.sol,41.38
985,PACT.sol,41.38
996,PACT.sol,41.38
1005,PACT.sol,41.38
1014,PACT.sol,41.38
1022,PACT.sol,41.38
1032,PACT.sol,41.38
1045,PACT.sol,41.38
1055,PACT.sol,41.38
1064,PACT.sol,41.38
1071,PACT.sol,41.38
1079,PACT.sol,41.38
1089,PACT.sol,41.38
1097,PACT.sol,41.38
1106,PACT.sol,41.38
1114,PACT.sol,41.38
1125,PACT.sol,41.38
1133,PACT.sol,41.38
1142,PACT.sol,41.38
1150,PACT.sol,41.38
1161,PACT.sol,41.38
1171,PACT.sol,41.38
1181,PACT.sol,41.38
1188,PACT.sol,41.38
1198,PACT.sol,41.38
1208,PACT.sol,41.38
1217,PACT.sol,41.38
1224,PACT.sol,41.38
1232,PACT.sol,41.38
1241,PACT.sol,41.38
1249,PACT.sol,41.38
1258,PACT.sol,41.38
1267,PACT.sol,41.38
1275,PACT.sol,41.38
1283,PACT.sol,41.38
1291,PACT.sol,41.38
1303,PACT.sol,41.38
1310,PACT.sol,41.38
1318,PACT.sol,41.38
1326,PACT.sol,41.38
1335,PACT.sol,41.38
1345,PACT.sol,41.38
1353,PACT.sol,41.38
1361,PACT.sol,41.38
1369,PACT.sol,41.38
1378,PACT.sol,41.38
1386,PACT.sol,41.38
1394,PACT.sol,41.38
1402,PACT.sol,41.38
1410,PACT.sol,41.38
1418,PACT.sol,41.38
1427,PACT.sol,41.38
1436,PACT.sol,41.38
1444,PACT.sol,41.38
1452,PACT.sol,41.38
1461,PACT.sol,41.38
1469,PACT.sol,41.38
1477,PACT.sol,41.38
1486,PACT.sol,41.38
1495,PACT.sol,41.38
1502,PACT.sol,41.38
1510,PACT.sol,41.38
1518,PACT.sol,41.38
1527,PACT.sol,41.38
1534,PACT.sol,41.38
1543,PACT.sol,41.38
1551,PACT.sol,41.38
1559,PACT.sol,41.38
1567,PACT.sol,41.38
1575,PACT.sol,41.38
1585,PACT.sol,41.38
1593,PACT.sol,41.38
1601,PACT.sol,41.38
1610,PACT.sol,41.38
1618,PACT.sol,41.38
1626,PACT.sol,41.38
1634,PACT.sol,41.38
1644,PACT.sol,41.38
1652,PACT.sol,41.38
1661,PACT.sol,41.38
1669,PACT.sol,41.38
1678,PACT.sol,41.38
1687,PACT.sol,41.38
1695,PACT.sol,41.38
1704,PACT.sol,41.38
1713,PACT.sol,41.38
1721,PACT.sol,41.38
1729,PACT.sol,41.38
1738,PACT.sol,41.38
1746,PACT.sol,41.38
1755,PACT.sol,41.38
1763,PACT.sol,41.38
1772,PACT.sol,41.38
1781,PACT.sol,41.38
1790,PACT.sol,41.38
1801,PACT.sol,41.38
