TIME,SUBJECT,COVERAGE
0,MarsStakingRewards.sol,0
32,MarsStakingRewards.sol,16.13
64,MarsStakingRewards.sol,25.81
96,MarsStakingRewards.sol,29.03
131,MarsStakingRewards.sol,29.03
167,MarsStakingRewards.sol,46.77
204,MarsStakingRewards.sol,48.39
235,MarsStakingRewards.sol,51.61
273,MarsStakingRewards.sol,51.61
306,MarsStakingRewards.sol,51.61
339,MarsStakingRewards.sol,51.61
365,MarsStakingRewards.sol,51.61
392,MarsStakingRewards.sol,51.61
421,MarsStakingRewards.sol,51.61
455,MarsStakingRewards.sol,51.61
489,MarsStakingRewards.sol,51.61
519,MarsStakingRewards.sol,53.23
553,MarsStakingRewards.sol,53.23
586,MarsStakingRewards.sol,53.23
616,MarsStakingRewards.sol,53.23
644,MarsStakingRewards.sol,53.23
673,MarsStakingRewards.sol,53.23
701,MarsStakingRewards.sol,53.23
736,MarsStakingRewards.sol,53.23
763,MarsStakingRewards.sol,53.23
792,MarsStakingRewards.sol,53.23
821,MarsStakingRewards.sol,53.23
849,MarsStakingRewards.sol,53.23
877,MarsStakingRewards.sol,53.23
906,MarsStakingRewards.sol,53.23
934,MarsStakingRewards.sol,53.23
963,MarsStakingRewards.sol,53.23
991,MarsStakingRewards.sol,53.23
1020,MarsStakingRewards.sol,53.23
1046,MarsStakingRewards.sol,53.23
1076,MarsStakingRewards.sol,53.23
1104,MarsStakingRewards.sol,53.23
1127,MarsStakingRewards.sol,53.23
1150,MarsStakingRewards.sol,53.23
1172,MarsStakingRewards.sol,53.23
1196,MarsStakingRewards.sol,53.23
1219,MarsStakingRewards.sol,53.23
1243,MarsStakingRewards.sol,53.23
1268,MarsStakingRewards.sol,53.23
1298,MarsStakingRewards.sol,53.23
1331,MarsStakingRewards.sol,53.23
1362,MarsStakingRewards.sol,53.23
1397,MarsStakingRewards.sol,53.23
1424,MarsStakingRewards.sol,53.23
1457,MarsStakingRewards.sol,53.23
1487,MarsStakingRewards.sol,53.23
1519,MarsStakingRewards.sol,53.23
1547,MarsStakingRewards.sol,53.23
1576,MarsStakingRewards.sol,53.23
1605,MarsStakingRewards.sol,53.23
1630,MarsStakingRewards.sol,53.23
1657,MarsStakingRewards.sol,53.23
1686,MarsStakingRewards.sol,53.23
1717,MarsStakingRewards.sol,53.23
1742,MarsStakingRewards.sol,53.23
1770,MarsStakingRewards.sol,53.23
1796,MarsStakingRewards.sol,53.23
1801,MarsStakingRewards.sol,53.23
