TIME,SUBJECT,COVERAGE
0,SLTDStaking.sol,0
24,SLTDStaking.sol,37.7
50,SLTDStaking.sol,37.7
82,SLTDStaking.sol,37.7
106,SLTDStaking.sol,39.34
131,SLTDStaking.sol,40.98
155,SLTDStaking.sol,40.98
177,SLTDStaking.sol,44.26
202,SLTDStaking.sol,45.9
225,SLTDStaking.sol,45.9
250,SLTDStaking.sol,45.9
278,SLTDStaking.sol,45.9
304,SLTDStaking.sol,45.9
325,SLTDStaking.sol,45.9
347,SLTDStaking.sol,45.9
367,SLTDStaking.sol,45.9
392,SLTDStaking.sol,45.9
412,SLTDStaking.sol,45.9
435,SLTDStaking.sol,45.9
458,SLTDStaking.sol,47.54
477,SLTDStaking.sol,47.54
500,SLTDStaking.sol,47.54
523,SLTDStaking.sol,47.54
545,SLTDStaking.sol,47.54
566,SLTDStaking.sol,47.54
586,SLTDStaking.sol,47.54
605,SLTDStaking.sol,47.54
628,SLTDStaking.sol,47.54
647,SLTDStaking.sol,47.54
667,SLTDStaking.sol,47.54
688,SLTDStaking.sol,47.54
708,SLTDStaking.sol,47.54
729,SLTDStaking.sol,47.54
748,SLTDStaking.sol,47.54
768,SLTDStaking.sol,47.54
788,SLTDStaking.sol,47.54
808,SLTDStaking.sol,47.54
829,SLTDStaking.sol,47.54
850,SLTDStaking.sol,47.54
871,SLTDStaking.sol,47.54
891,SLTDStaking.sol,47.54
911,SLTDStaking.sol,47.54
932,SLTDStaking.sol,47.54
952,SLTDStaking.sol,47.54
971,SLTDStaking.sol,47.54
990,SLTDStaking.sol,47.54
1009,SLTDStaking.sol,47.54
1029,SLTDStaking.sol,47.54
1048,SLTDStaking.sol,47.54
1068,SLTDStaking.sol,47.54
1089,SLTDStaking.sol,47.54
1109,SLTDStaking.sol,47.54
1130,SLTDStaking.sol,47.54
1151,SLTDStaking.sol,47.54
1176,SLTDStaking.sol,47.54
1196,SLTDStaking.sol,47.54
1216,SLTDStaking.sol,47.54
1235,SLTDStaking.sol,47.54
1257,SLTDStaking.sol,47.54
1278,SLTDStaking.sol,47.54
1297,SLTDStaking.sol,47.54
1318,SLTDStaking.sol,47.54
1338,SLTDStaking.sol,47.54
1361,SLTDStaking.sol,47.54
1382,SLTDStaking.sol,47.54
1402,SLTDStaking.sol,47.54
1422,SLTDStaking.sol,47.54
1443,SLTDStaking.sol,47.54
1463,SLTDStaking.sol,47.54
1484,SLTDStaking.sol,47.54
1505,SLTDStaking.sol,47.54
1525,SLTDStaking.sol,47.54
1545,SLTDStaking.sol,47.54
1564,SLTDStaking.sol,47.54
1585,SLTDStaking.sol,47.54
1605,SLTDStaking.sol,47.54
1624,SLTDStaking.sol,47.54
1645,SLTDStaking.sol,47.54
1666,SLTDStaking.sol,47.54
1686,SLTDStaking.sol,47.54
1706,SLTDStaking.sol,47.54
1726,SLTDStaking.sol,47.54
1746,SLTDStaking.sol,47.54
1768,SLTDStaking.sol,47.54
1789,SLTDStaking.sol,47.54
1800,SLTDStaking.sol,47.54
