TIME,SUBJECT,COVERAGE
0,TetherToken.sol,0
20,TetherToken.sol,60.87
35,TetherToken.sol,69.57
57,TetherToken.sol,78.26
80,TetherToken.sol,78.26
101,TetherToken.sol,78.26
122,TetherToken.sol,78.26
142,TetherToken.sol,78.26
157,TetherToken.sol,78.26
173,TetherToken.sol,78.26
191,TetherToken.sol,78.26
207,TetherToken.sol,78.26
227,TetherToken.sol,78.26
246,TetherToken.sol,78.26
260,TetherToken.sol,78.26
278,TetherToken.sol,78.26
295,TetherToken.sol,78.26
318,TetherToken.sol,78.26
338,TetherToken.sol,78.26
356,TetherToken.sol,78.26
373,TetherToken.sol,78.26
388,TetherToken.sol,78.26
402,TetherToken.sol,78.26
415,TetherToken.sol,78.26
435,TetherToken.sol,78.26
450,TetherToken.sol,78.26
463,TetherToken.sol,78.26
475,TetherToken.sol,78.26
486,TetherToken.sol,78.26
500,TetherToken.sol,78.26
514,TetherToken.sol,78.26
528,TetherToken.sol,78.26
544,TetherToken.sol,78.26
559,TetherToken.sol,78.26
572,TetherToken.sol,78.26
585,TetherToken.sol,78.26
602,TetherToken.sol,78.26
615,TetherToken.sol,78.26
628,TetherToken.sol,78.26
641,TetherToken.sol,78.26
655,TetherToken.sol,78.26
667,TetherToken.sol,78.26
683,TetherToken.sol,78.26
697,TetherToken.sol,78.26
711,TetherToken.sol,78.26
723,TetherToken.sol,78.26
738,TetherToken.sol,78.26
750,TetherToken.sol,78.26
765,TetherToken.sol,78.26
779,TetherToken.sol,78.26
793,TetherToken.sol,78.26
806,TetherToken.sol,78.26
821,TetherToken.sol,78.26
836,TetherToken.sol,78.26
851,TetherToken.sol,78.26
865,TetherToken.sol,78.26
880,TetherToken.sol,78.26
893,TetherToken.sol,78.26
907,TetherToken.sol,78.26
921,TetherToken.sol,78.26
935,TetherToken.sol,78.26
950,TetherToken.sol,78.26
964,TetherToken.sol,78.26
977,TetherToken.sol,78.26
991,TetherToken.sol,78.26
1005,TetherToken.sol,78.26
1020,TetherToken.sol,78.26
1033,TetherToken.sol,78.26
1047,TetherToken.sol,78.26
1063,TetherToken.sol,78.26
1080,TetherToken.sol,78.26
1092,TetherToken.sol,78.26
1106,TetherToken.sol,78.26
1120,TetherToken.sol,78.26
1136,TetherToken.sol,78.26
1150,TetherToken.sol,78.26
1166,TetherToken.sol,78.26
1182,TetherToken.sol,78.26
1196,TetherToken.sol,78.26
1211,TetherToken.sol,78.26
1224,TetherToken.sol,78.26
1240,TetherToken.sol,78.26
1259,TetherToken.sol,78.26
1279,TetherToken.sol,78.26
1297,TetherToken.sol,78.26
1314,TetherToken.sol,78.26
1333,TetherToken.sol,78.26
1349,TetherToken.sol,78.26
1363,TetherToken.sol,78.26
1377,TetherToken.sol,78.26
1395,TetherToken.sol,78.26
1408,TetherToken.sol,78.26
1421,TetherToken.sol,78.26
1436,TetherToken.sol,78.26
1453,TetherToken.sol,78.26
1466,TetherToken.sol,78.26
1479,TetherToken.sol,78.26
1492,TetherToken.sol,78.26
1505,TetherToken.sol,78.26
1519,TetherToken.sol,78.26
1534,TetherToken.sol,78.26
1548,TetherToken.sol,78.26
1562,TetherToken.sol,78.26
1582,TetherToken.sol,78.26
1595,TetherToken.sol,78.26
1609,TetherToken.sol,78.26
1627,TetherToken.sol,78.26
1647,TetherToken.sol,78.26
1661,TetherToken.sol,78.26
1675,TetherToken.sol,78.26
1691,TetherToken.sol,78.26
1709,TetherToken.sol,78.26
1723,TetherToken.sol,78.26
1740,TetherToken.sol,78.26
1752,TetherToken.sol,78.26
1767,TetherToken.sol,78.26
1782,TetherToken.sol,78.26
1797,TetherToken.sol,78.26
1803,TetherToken.sol,78.26
