TIME,SUBJECT,COVERAGE
0,UNIWHALE_ERC20.sol,0
12,UNIWHALE_ERC20.sol,35.71
23,UNIWHALE_ERC20.sol,35.71
38,UNIWHALE_ERC20.sol,35.71
49,UNIWHALE_ERC20.sol,35.71
60,UNIWHALE_ERC20.sol,35.71
72,UNIWHALE_ERC20.sol,42.86
84,UNIWHALE_ERC20.sol,50
97,UNIWHALE_ERC20.sol,50
111,UNIWHALE_ERC20.sol,50
123,UNIWHALE_ERC20.sol,50
131,UNIWHALE_ERC20.sol,50
140,UNIWHALE_ERC20.sol,50
149,UNIWHALE_ERC20.sol,50
160,UNIWHALE_ERC20.sol,50
169,UNIWHALE_ERC20.sol,50
178,UNIWHALE_ERC20.sol,50
187,UNIWHALE_ERC20.sol,50
198,UNIWHALE_ERC20.sol,50
208,UNIWHALE_ERC20.sol,50
218,UNIWHALE_ERC20.sol,50
225,UNIWHALE_ERC20.sol,50
232,UNIWHALE_ERC20.sol,50
239,UNIWHALE_ERC20.sol,50
249,UNIWHALE_ERC20.sol,50
256,UNIWHALE_ERC20.sol,50
264,UNIWHALE_ERC20.sol,50
274,UNIWHALE_ERC20.sol,50
286,UNIWHALE_ERC20.sol,50
293,UNIWHALE_ERC20.sol,50
300,UNIWHALE_ERC20.sol,50
307,UNIWHALE_ERC20.sol,50
317,UNIWHALE_ERC20.sol,50
327,UNIWHALE_ERC20.sol,50
335,UNIWHALE_ERC20.sol,50
345,UNIWHALE_ERC20.sol,50
352,UNIWHALE_ERC20.sol,50
361,UNIWHALE_ERC20.sol,50
370,UNIWHALE_ERC20.sol,50
385,UNIWHALE_ERC20.sol,50
392,UNIWHALE_ERC20.sol,50
399,UNIWHALE_ERC20.sol,50
407,UNIWHALE_ERC20.sol,50
414,UNIWHALE_ERC20.sol,50
422,UNIWHALE_ERC20.sol,50
433,UNIWHALE_ERC20.sol,50
440,UNIWHALE_ERC20.sol,50
449,UNIWHALE_ERC20.sol,50
457,UNIWHALE_ERC20.sol,50
466,UNIWHALE_ERC20.sol,50
475,UNIWHALE_ERC20.sol,50
482,UNIWHALE_ERC20.sol,50
490,UNIWHALE_ERC20.sol,50
498,UNIWHALE_ERC20.sol,50
506,UNIWHALE_ERC20.sol,50
513,UNIWHALE_ERC20.sol,50
520,UNIWHALE_ERC20.sol,50
528,UNIWHALE_ERC20.sol,50
537,UNIWHALE_ERC20.sol,50
544,UNIWHALE_ERC20.sol,50
553,UNIWHALE_ERC20.sol,50
562,UNIWHALE_ERC20.sol,50
573,UNIWHALE_ERC20.sol,50
581,UNIWHALE_ERC20.sol,50
592,UNIWHALE_ERC20.sol,50
601,UNIWHALE_ERC20.sol,50
609,UNIWHALE_ERC20.sol,50
616,UNIWHALE_ERC20.sol,50
623,UNIWHALE_ERC20.sol,50
631,UNIWHALE_ERC20.sol,50
640,UNIWHALE_ERC20.sol,50
648,UNIWHALE_ERC20.sol,50
656,UNIWHALE_ERC20.sol,50
666,UNIWHALE_ERC20.sol,50
675,UNIWHALE_ERC20.sol,50
684,UNIWHALE_ERC20.sol,50
691,UNIWHALE_ERC20.sol,50
699,UNIWHALE_ERC20.sol,50
707,UNIWHALE_ERC20.sol,50
717,UNIWHALE_ERC20.sol,50
724,UNIWHALE_ERC20.sol,50
733,UNIWHALE_ERC20.sol,50
741,UNIWHALE_ERC20.sol,50
747,UNIWHALE_ERC20.sol,50
