TIME,SUBJECT,COVERAGE
0,Liquidity_v8.sol,0
17,Liquidity_v8.sol,22.41
35,Liquidity_v8.sol,25.86
51,Liquidity_v8.sol,27.59
69,Liquidity_v8.sol,27.59
86,Liquidity_v8.sol,27.59
105,Liquidity_v8.sol,27.59
122,Liquidity_v8.sol,27.59
143,Liquidity_v8.sol,27.59
163,Liquidity_v8.sol,27.59
185,Liquidity_v8.sol,29.31
203,Liquidity_v8.sol,29.31
221,Liquidity_v8.sol,29.31
239,Liquidity_v8.sol,31.03
256,Liquidity_v8.sol,31.03
272,Liquidity_v8.sol,31.03
289,Liquidity_v8.sol,31.03
304,Liquidity_v8.sol,31.03
321,Liquidity_v8.sol,31.03
339,Liquidity_v8.sol,31.03
357,Liquidity_v8.sol,31.03
377,Liquidity_v8.sol,31.03
394,Liquidity_v8.sol,32.76
413,Liquidity_v8.sol,32.76
427,Liquidity_v8.sol,32.76
444,Liquidity_v8.sol,32.76
462,Liquidity_v8.sol,32.76
480,Liquidity_v8.sol,32.76
496,Liquidity_v8.sol,32.76
513,Liquidity_v8.sol,32.76
532,Liquidity_v8.sol,32.76
550,Liquidity_v8.sol,32.76
570,Liquidity_v8.sol,32.76
587,Liquidity_v8.sol,32.76
603,Liquidity_v8.sol,32.76
620,Liquidity_v8.sol,32.76
638,Liquidity_v8.sol,32.76
655,Liquidity_v8.sol,32.76
673,Liquidity_v8.sol,32.76
689,Liquidity_v8.sol,32.76
706,Liquidity_v8.sol,32.76
723,Liquidity_v8.sol,32.76
743,Liquidity_v8.sol,32.76
763,Liquidity_v8.sol,32.76
781,Liquidity_v8.sol,32.76
797,Liquidity_v8.sol,32.76
813,Liquidity_v8.sol,32.76
831,Liquidity_v8.sol,32.76
847,Liquidity_v8.sol,32.76
864,Liquidity_v8.sol,32.76
880,Liquidity_v8.sol,32.76
897,Liquidity_v8.sol,32.76
913,Liquidity_v8.sol,32.76
930,Liquidity_v8.sol,32.76
947,Liquidity_v8.sol,32.76
963,Liquidity_v8.sol,32.76
980,Liquidity_v8.sol,32.76
997,Liquidity_v8.sol,32.76
1014,Liquidity_v8.sol,32.76
1031,Liquidity_v8.sol,32.76
1048,Liquidity_v8.sol,32.76
1066,Liquidity_v8.sol,32.76
1083,Liquidity_v8.sol,32.76
1100,Liquidity_v8.sol,32.76
1117,Liquidity_v8.sol,32.76
1133,Liquidity_v8.sol,32.76
1150,Liquidity_v8.sol,32.76
1168,Liquidity_v8.sol,32.76
1186,Liquidity_v8.sol,32.76
1201,Liquidity_v8.sol,32.76
1218,Liquidity_v8.sol,32.76
1234,Liquidity_v8.sol,32.76
1251,Liquidity_v8.sol,32.76
1270,Liquidity_v8.sol,32.76
1288,Liquidity_v8.sol,32.76
1306,Liquidity_v8.sol,32.76
1323,Liquidity_v8.sol,32.76
1339,Liquidity_v8.sol,32.76
1356,Liquidity_v8.sol,32.76
1372,Liquidity_v8.sol,32.76
1390,Liquidity_v8.sol,32.76
1407,Liquidity_v8.sol,32.76
1424,Liquidity_v8.sol,32.76
1444,Liquidity_v8.sol,32.76
1461,Liquidity_v8.sol,32.76
1478,Liquidity_v8.sol,32.76
1495,Liquidity_v8.sol,32.76
1512,Liquidity_v8.sol,32.76
1529,Liquidity_v8.sol,32.76
1549,Liquidity_v8.sol,32.76
1566,Liquidity_v8.sol,32.76
1583,Liquidity_v8.sol,32.76
1598,Liquidity_v8.sol,32.76
1616,Liquidity_v8.sol,32.76
1634,Liquidity_v8.sol,32.76
1650,Liquidity_v8.sol,32.76
1668,Liquidity_v8.sol,32.76
1685,Liquidity_v8.sol,32.76
1702,Liquidity_v8.sol,32.76
1721,Liquidity_v8.sol,32.76
1738,Liquidity_v8.sol,32.76
1757,Liquidity_v8.sol,32.76
1776,Liquidity_v8.sol,32.76
1794,Liquidity_v8.sol,32.76
1802,Liquidity_v8.sol,32.76
