TIME,SUBJECT,COVERAGE
0,Cover_ZapIn_General_V1.sol,0
41,Cover_ZapIn_General_V1.sol,7.32
87,Cover_ZapIn_General_V1.sol,11.38
133,Cover_ZapIn_General_V1.sol,11.38
181,Cover_ZapIn_General_V1.sol,11.38
230,Cover_ZapIn_General_V1.sol,13.82
277,Cover_ZapIn_General_V1.sol,13.82
325,Cover_ZapIn_General_V1.sol,14.63
374,Cover_ZapIn_General_V1.sol,26.02
421,Cover_ZapIn_General_V1.sol,26.02
469,Cover_ZapIn_General_V1.sol,26.02
519,Cover_ZapIn_General_V1.sol,26.02
566,Cover_ZapIn_General_V1.sol,26.02
615,Cover_ZapIn_General_V1.sol,26.02
664,Cover_ZapIn_General_V1.sol,29.27
712,Cover_ZapIn_General_V1.sol,29.27
761,Cover_ZapIn_General_V1.sol,29.27
809,Cover_ZapIn_General_V1.sol,29.27
859,Cover_ZapIn_General_V1.sol,29.27
908,Cover_ZapIn_General_V1.sol,29.27
957,Cover_ZapIn_General_V1.sol,29.27
1006,Cover_ZapIn_General_V1.sol,29.27
1052,Cover_ZapIn_General_V1.sol,29.27
1101,Cover_ZapIn_General_V1.sol,29.27
1150,Cover_ZapIn_General_V1.sol,29.27
1198,Cover_ZapIn_General_V1.sol,29.27
1246,Cover_ZapIn_General_V1.sol,29.27
1295,Cover_ZapIn_General_V1.sol,29.27
1343,Cover_ZapIn_General_V1.sol,29.27
1392,Cover_ZapIn_General_V1.sol,29.27
1441,Cover_ZapIn_General_V1.sol,29.27
1489,Cover_ZapIn_General_V1.sol,29.27
1537,Cover_ZapIn_General_V1.sol,34.15
1586,Cover_ZapIn_General_V1.sol,34.15
1632,Cover_ZapIn_General_V1.sol,34.15
1681,Cover_ZapIn_General_V1.sol,34.15
1728,Cover_ZapIn_General_V1.sol,34.15
1776,Cover_ZapIn_General_V1.sol,34.15
1802,Cover_ZapIn_General_V1.sol,34.15
