TIME,SUBJECT,COVERAGE
0,Final.sol,0
31,Final.sol,19.27
58,Final.sol,19.27
87,Final.sol,19.27
114,Final.sol,19.27
142,Final.sol,19.27
170,Final.sol,19.27
195,Final.sol,19.27
223,Final.sol,19.27
251,Final.sol,19.27
279,Final.sol,19.27
309,Final.sol,21.1
336,Final.sol,21.1
362,Final.sol,21.1
390,Final.sol,21.1
416,Final.sol,21.1
443,Final.sol,21.1
471,Final.sol,21.1
498,Final.sol,21.1
525,Final.sol,21.1
554,Final.sol,21.1
580,Final.sol,21.1
607,Final.sol,21.1
633,Final.sol,21.1
660,Final.sol,21.1
687,Final.sol,21.1
715,Final.sol,21.1
742,Final.sol,21.1
772,Final.sol,21.1
798,Final.sol,21.1
826,Final.sol,21.1
851,Final.sol,21.1
876,Final.sol,22.94
908,Final.sol,22.94
938,Final.sol,22.94
969,Final.sol,22.94
996,Final.sol,22.94
1025,Final.sol,22.94
1052,Final.sol,22.94
1079,Final.sol,22.94
1104,Final.sol,22.94
1131,Final.sol,22.94
1159,Final.sol,22.94
1186,Final.sol,22.94
1215,Final.sol,23.85
1244,Final.sol,23.85
1275,Final.sol,23.85
1310,Final.sol,23.85
1341,Final.sol,23.85
1368,Final.sol,23.85
1412,Final.sol,23.85
1446,Final.sol,23.85
1472,Final.sol,23.85
1498,Final.sol,23.85
1528,Final.sol,23.85
1553,Final.sol,23.85
1579,Final.sol,23.85
1604,Final.sol,23.85
1631,Final.sol,23.85
1658,Final.sol,23.85
1686,Final.sol,23.85
1711,Final.sol,23.85
1736,Final.sol,23.85
1763,Final.sol,23.85
1788,Final.sol,23.85
1801,Final.sol,23.85
