TIME,SUBJECT,COVERAGE
0,HTDD_contract.sol,0
12,HTDD_contract.sol,64
22,HTDD_contract.sol,64
26,HTDD_contract.sol,64
33,HTDD_contract.sol,64
39,HTDD_contract.sol,64
47,HTDD_contract.sol,64
54,HTDD_contract.sol,76
62,HTDD_contract.sol,76
70,HTDD_contract.sol,76
78,HTDD_contract.sol,76
84,HTDD_contract.sol,76
91,HTDD_contract.sol,76
99,HTDD_contract.sol,76
107,HTDD_contract.sol,76
114,HTDD_contract.sol,76
121,HTDD_contract.sol,76
128,HTDD_contract.sol,76
134,HTDD_contract.sol,76
140,HTDD_contract.sol,76
147,HTDD_contract.sol,76
154,HTDD_contract.sol,76
162,HTDD_contract.sol,76
169,HTDD_contract.sol,76
175,HTDD_contract.sol,76
182,HTDD_contract.sol,76
190,HTDD_contract.sol,76
198,HTDD_contract.sol,76
206,HTDD_contract.sol,76
214,HTDD_contract.sol,76
220,HTDD_contract.sol,76
228,HTDD_contract.sol,76
236,HTDD_contract.sol,76
244,HTDD_contract.sol,76
251,HTDD_contract.sol,76
258,HTDD_contract.sol,76
266,HTDD_contract.sol,76
274,HTDD_contract.sol,76
282,HTDD_contract.sol,76
291,HTDD_contract.sol,76
299,HTDD_contract.sol,76
307,HTDD_contract.sol,76
314,HTDD_contract.sol,76
321,HTDD_contract.sol,76
327,HTDD_contract.sol,76
332,HTDD_contract.sol,76
336,HTDD_contract.sol,76
341,HTDD_contract.sol,76
346,HTDD_contract.sol,76
350,HTDD_contract.sol,76
356,HTDD_contract.sol,76
361,HTDD_contract.sol,76
366,HTDD_contract.sol,76
371,HTDD_contract.sol,76
377,HTDD_contract.sol,76
384,HTDD_contract.sol,76
391,HTDD_contract.sol,76
399,HTDD_contract.sol,76
406,HTDD_contract.sol,76
415,HTDD_contract.sol,76
423,HTDD_contract.sol,76
431,HTDD_contract.sol,76
440,HTDD_contract.sol,76
448,HTDD_contract.sol,76
453,HTDD_contract.sol,76
458,HTDD_contract.sol,76
