SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
DJCoin.sol,,894,DynaMOSA,true,0.7017543859649122,3,6,0.5,69,91,0.7582417582417582,22,25,0.88,18,28,0.6428571428571429,862.5999999046326,13,9
LIBERAPAY.sol,,171,DynaMOSA,true,0.5267857142857143,4,28,0.14285714285714285,82,141,0.5815602836879432,31,39,0.7948717948717948,39,50,0.78,896.1099998950958,12,9
SALESCONTRACT.sol,,606,DynaMOSA,true,0.25,0,8,0,14,57,0.24561403508771928,8,8,1,2,24,0.08333333333333333,858.5369999408722,14,9
DatrixoEquityToken.sol,,207,DynaMOSA,true,0.671875,8,22,0.36363636363636365,46,62,0.7419354838709677,14,16,0.875,25,28,0.8928571428571429,873.4630000591278,18,9
StakingDextoken.sol,,921,DynaMOSA,true,0.6705882352941176,4,10,0.4,53,93,0.5698924731182796,25,27,0.9259259259259259,37,50,0.74,866.989000082016,13,9
BlueICE.sol,,596,DynaMOSA,true,0.5869565217391305,7,14,0.5,67,117,0.5726495726495726,31,43,0.7209302325581395,20,38,0.5263157894736842,934.7279999256134,15,9
DmmControllerV2.sol,,384,DynaMOSA,true,0.178743961352657,0,14,0,53,258,0.2054263565891473,27,111,0.24324324324324326,17,102,0.16666666666666666,898.4860000610352,4,9
SLTDStaking.sol,,953,DynaMOSA,true,0.4666666666666667,4,12,0.3333333333333333,47,100,0.47,29,47,0.6170212765957447,16,34,0.47058823529411764,873.1059999465942,14,9
BancorV2_ZapIn_General_V1_1.sol,,994,DynaMOSA,true,0.22916666666666666,1,18,0.05555555555555555,30,118,0.2542372881355932,19,39,0.48717948717948717,8,42,0.19047619047619047,937.335000038147,11,87
TimeMiner.sol,,891,DynaMOSA,true,0.7209302325581395,4,6,0.6666666666666666,76,90,0.8444444444444444,19,19,1,16,18,0.8888888888888888,844.9370000362396,19,87
