Group.1,Group.2,TOTAL_COVERAGE,FUNCTION_COVERAGE,BRANCH_COVERAGE,LINE_COVERAGE,PROBE_COVERAGE,ITERATIONS,TOTAL_PROBES
AavePoolReward.sol,DynaMOSA_FALSE,0.7857142857142857,0.9166666666666666,0.5,0.6136363636363636,1,24.6,6
afiController.sol,DynaMOSA_FALSE,0.55,0.6470588235294118,0,0.4215686274509804,0.5892857142857143,49.2,56
ANRXToken.sol,DynaMOSA_FALSE,0.7538461538461538,1,0.5,0.7545454545454545,0.775,22.8,16
AntiBaseProtocol.sol,DynaMOSA_FALSE,0.868421052631579,0.9285714285714286,0.375,0.8632653061224489,0.9230769230769231,23.2,26
BACMARSLPTOKENPool.sol,DynaMOSA_FALSE,0.5846153846153846,0.6777777777777777,0.39999999999999997,0.5340425531914894,0.5466666666666666,26.2,30
BAE.sol,DynaMOSA_FALSE,0.34,0.625,0,0.18,0.3333333333333333,15,36
BancorV2_ZapIn_General_V1_1.sol,DynaMOSA_FALSE,0.2828282828282828,0.48717948717948717,0.05555555555555555,0.2542372881355932,0.19047619047619047,18.8,42
Baz.sol,DynaMOSA_FALSE,0.9,1,0.875,0.875,0,33.4,0
BirdOracle.sol,DynaMOSA_FALSE,0.6153846153846154,1,0.5357142857142857,0.6666666666666666,0,39.75,2
BlueICE.sol,DynaMOSA_FALSE,0.6105263157894737,0.7209302325581395,0.5,0.5726495726495726,0.5263157894736842,25,38
BTCParamV2.sol,DynaMOSA_FALSE,0.2619047619047619,0.3125,0,0.2857142857142857,0.42857142857142855,39.6,14
Controller.sol,DynaMOSA_FALSE,0.8360655737704918,1,0,0.5428571428571428,0.9411764705882353,32.4,34
Core_Fi_V3.sol,DynaMOSA_FALSE,0.8166666666666667,0.875,0.7,0.7181818181818181,0,26.4,0
CourtFarming_HTStake.sol,DynaMOSA_FALSE,0.65,1,0.3875,0.671559633027523,1,27.4,4
CourtFarming_RoomLPStake.sol,DynaMOSA_FALSE,0.65,1,0.3875,0.6796296296296297,1,27,4
Cover_ZapIn_General_V1.sol,DynaMOSA_FALSE,0.3627450980392157,0.5238095238095238,0.125,0.3023255813953488,0.29545454545454547,18,44
CryptoGhost.sol,DynaMOSA_FALSE,0.7903225806451613,1,0.85,0.7922077922077922,0.4166666666666667,4.4,12
CryptoSecureBankToken.sol,DynaMOSA_FALSE,0.7741176470588235,0.9696969696969697,0.49230769230769234,0.7480769230769231,0.8076923076923077,20,26
Cryptoz.sol,DynaMOSA_FALSE,0.39999999999999997,0.6647058823529413,0.12222222222222222,0.2967741935483871,0.34594594594594597,10,74
DatrixoEquityToken.sol,DynaMOSA_FALSE,0.7121212121212122,0.875,0.36363636363636365,0.7419354838709677,0.8928571428571429,41.5,28
Dipex.sol,DynaMOSA_FALSE,0.5380952380952382,0.875,0.3,0.717948717948718,0.75,30,12
DJCoin.sol,DynaMOSA_FALSE,0.7288135593220338,0.88,0.5,0.7582417582417582,0.6428571428571429,23.6,28
DmmControllerV2.sol,DynaMOSA_FALSE,0.21674008810572687,0.28468468468468466,0.014285714285714285,0.24496124031007752,0.17058823529411765,8,102
DMONDETHRewards.sol,DynaMOSA_FALSE,0.6631578947368421,0.7872340425531915,0.5,0.638095238095238,0.5588235294117647,25.6,34
DSP.sol,DynaMOSA_FALSE,0.7676056338028169,0.871875,0.2777777777777778,0.6909090909090909,0.8033333333333333,18.8,60
Dynamic.sol,DynaMOSA_FALSE,0.75,1,0.5,0.75,0,40,0
EdenCoin.sol,DynaMOSA_FALSE,0.775,1,0.6,0.7696969696969697,0.6714285714285715,25.8,14
EqFinanceStaking.sol,DynaMOSA_FALSE,0.3888888888888889,0.5466666666666666,0.2,0.29318181818181815,0.34545454545454546,31.2,22
FairStockEquity.sol,DynaMOSA_FALSE,0.6073170731707317,0.8785714285714286,0.16666666666666666,0.45666666666666667,0.5041666666666667,18.4,48
Final.sol,DynaMOSA_FALSE,0.2058252427184466,0.1891891891891892,0.2,0.26666666666666666,0.225,20.2,40
Fomp.sol,DynaMOSA_FALSE,0.6412698412698413,0.9789473684210527,0.31666666666666665,0.65,0.71,37.4,20
FreakCoin.sol,DynaMOSA_FALSE,0.8484848484848485,1,0.6,0.7594594594594595,0.9,30,10
FrogDAO.sol,DynaMOSA_FALSE,1,1,0,0.84,1,1,4
FrogDAOGovernanceRewards.sol,DynaMOSA_FALSE,0.6714285714285714,0.8125,0.5,0.5571428571428572,0.6375,28.2,16
GardenContractV2.sol,DynaMOSA_FALSE,0.27586206896551724,0.765625,0.12096774193548387,0.2512690355329949,0,20.25,22
