SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
GardenContractV2.sol,,961,DynaMOSA,false,0.35106382978723405,8,62,0.12903225806451613,51,197,0.25888324873096447,25,32,0.78125,0,22,0,1721.3780000209808,20,229,91
FairStockEquity.sol,,689,DynaMOSA,false,0.7352941176470589,1,6,0.16666666666666666,54,120,0.45,24,28,0.8571428571428571,24,48,0.5,1773.050999879837,19,219,91
XenoFelix.sol,,977,DynaMOSA,false,0.7407407407407407,5,18,0.2777777777777778,104,151,0.6887417218543046,55,63,0.873015873015873,47,60,0.7833333333333333,1734.9360001087189,19,212,91
TetherToken.sol,,965,DynaMOSA,false,0.782608695652174,6,12,0.5,37,51,0.7254901960784313,11,11,1,24,30,0.8,1749.1269998550415,25,280,91
Rexona.sol,,913,DynaMOSA,false,0.43333333333333335,6,22,0.2727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,1746.337000131607,24,270,91
KPLAY.sol,,38,DynaMOSA,false,0.7413793103448276,2,12,0.16666666666666666,89,124,0.717741935483871,41,46,0.8913043478260869,40,50,0.8,1751.2290000915527,25,281,91
OnXFinance.sol,,767,DynaMOSA,false,0.19047619047619047,5,26,0.19230769230769232,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,1740.1200001239777,23,255,91
Fomp.sol,,864,DynaMOSA,false,0.6976744186046512,9,24,0.375,65,92,0.7065217391304348,19,19,1,15,20,0.75,1754.369000196457,38,418,91
TokenDispatch.sol,,705,DynaMOSA,true,0.21212121212121213,0,22,0,20,100,0.2,7,10,0.7,7,34,0.20588235294117646,1770.7779998779297,90,990,75
Token50X100.sol,,474,DynaMOSA,true,0.30952380952380953,3,36,0.08333333333333333,50,146,0.3424657534246575,24,40,0.6,13,50,0.26,1718.8540000915527,29,322,75
ANRXToken.sol,,211,DynaMOSA,true,0.7435897435897436,6,12,0.5,34,44,0.7727272727272727,11,11,1,13,16,0.8125,1783.5590000152588,25,281,75
Baz.sol,,290,DynaMOSA,true,0.9,7,8,0.875,14,16,0.875,2,2,1,0,0,0,1732.7330000400543,33,363,75
TPA.sol,,414,DynaMOSA,true,0.7553956834532374,5,18,0.2777777777777778,104,150,0.6933333333333334,57,65,0.8769230769230769,44,56,0.7857142857142857,1709.5639998912811,18,198,75
Revive.sol,,710,DynaMOSA,true,0.6979166666666666,9,22,0.4090909090909091,76,109,0.6972477064220184,33,38,0.868421052631579,26,36,0.7222222222222222,1725.5409998893738,28,312,75
ThriftToken.sol,,345,DynaMOSA,true,0.7692307692307693,1,2,0.5,42,58,0.7241379310344828,10,11,0.9090909090909091,40,52,0.7692307692307693,1742.5810000896454,34,379,75
MarsStakingRewards.sol,,712,DynaMOSA,true,0.4854368932038835,2,12,0.16666666666666666,49,115,0.4260869565217391,31,49,0.6326530612244898,17,42,0.40476190476190477,1697.4189999103546,24,270,75
Reentrance.sol,,602,DynaMOSA,true,0.3076923076923077,1,4,0.25,6,24,0.25,4,12,0.3333333333333333,2,10,0.2,1751.1200001239777,33,373,75
CourtFarming_RoomLPStake.sol,,674,DynaMOSA,true,0.6071428571428571,12,32,0.375,73,108,0.6759259259259259,20,20,1,4,4,1,1692.3160002231598,27,300,75
FrogDAOGovernanceRewards.sol,,889,Random,false,0.7307692307692307,5,10,0.5,29,56,0.5178571428571429,13,16,0.8125,7,16,0.4375,1803.6849999427795,322,322,101
EqFinanceStaking.sol,,394,Random,false,0.4,4,20,0.2,24,88,0.2727272727272727,16,30,0.5333333333333333,7,22,0.3181818181818182,1807.9539999961853,382,382,101
Vat.sol,,649,Random,false,0.8918918918918919,4,8,0.5,67,98,0.6836734693877551,29,29,1,38,62,0.6129032258064516,1802.7130000591278,339,339,101
ZAD.sol,,994,Random,false,0.6451612903225806,0,2,0,36,66,0.5454545454545454,20,29,0.6896551724137931,13,22,0.5909090909090909,1805.8220000267029,519,519,101
SLTDETHlpReward.sol,,277,Random,false,0.7213114754098361,7,14,0.5,67,105,0.638095238095238,37,47,0.7872340425531915,19,34,0.5588235294117647,1805.9409999847412,284,284,101
Wallet.sol,,837,Random,false,1,0,0,0,2,6,0.3333333333333333,2,2,1,2,4,0.5,1800.5049998760223,503,503,101
PRDZstakingV2.sol,,504,Random,false,0.47692307692307695,5,26,0.19230769230769232,53,136,0.3897058823529412,26,39,0.6666666666666666,7,18,0.3888888888888889,1803.8020000457764,306,306,101
YRX3.sol,,627,Random,false,0.696969696969697,7,18,0.3888888888888889,65,108,0.6018518518518519,35,48,0.7291666666666666,18,34,0.5294117647058824,1802.6800000667572,278,278,101
WOLF.sol,,823,Random,false,0.4,5,22,0.22727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,1806.8180000782013,403,403,101
EdenCoin.sol,,702,Random,false,0.9,1,2,0.5,25,33,0.7575757575757576,8,8,1,9,14,0.6428571428571429,1802.8669998645782,338,338,47
NasiLiquidityPoolFactory.sol,,896,Random,false,0.1858974358974359,3,50,0.06,58,320,0.18125,24,106,0.22641509433962265,18,88,0.20454545454545456,1810.2109999656677,120,120,47
FrogDAO.sol,,56,Random,false,1,0,0,0,21,25,0.84,10,10,1,4,4,1,1805.3789999485016,307,307,47
HTDD_contract.sol,,478,Random,false,1,0,0,0,19,26,0.7307692307692307,5,5,1,11,16,0.6875,1803.473000049591,410,410,47
SSTRewards.sol,,553,Random,false,0.7727272727272727,3,8,0.375,23,40,0.575,13,14,0.9285714285714286,6,6,1,1802.547000169754,349,349,47
Cover_ZapIn_General_V1.sol,,827,Random,false,0.41379310344827586,2,16,0.125,39,129,0.3023255813953488,22,42,0.5238095238095238,13,44,0.29545454545454547,1803.5439999103546,203,203,47
Dynamic.sol,,919,Random,false,0.75,1,2,0.5,3,4,0.75,2,2,1,0,0,0,1805.7119998931885,464,464,47
AntiBaseProtocol.sol,,576,Random,false,0.84,3,8,0.375,85,98,0.8673469387755102,39,42,0.9285714285714286,24,26,0.9230769230769231,1803.6080000400543,310,310,47
Weedburn.sol,,735,DynaMOSA,true,0.6578947368421053,2,10,0.2,61,88,0.6931818181818182,24,26,0.9230769230769231,30,40,0.75,1762.4859998226166,40,445,30
PACT.sol,,304,DynaMOSA,true,0.46153846153846156,0,0,0,23,72,0.3194444444444444,17,20,0.85,7,32,0.21875,1744.2239999771118,31,348,30
MARVELCOIN.sol,,712,DynaMOSA,true,0.9583333333333334,1,2,0.5,36,37,0.972972972972973,8,8,1,14,14,1,1757.1289999485016,38,425,30
GFC.sol,,2,DynaMOSA,true,0.8333333333333334,1,2,0.5,31,37,0.8378378378378378,8,8,1,13,14,0.9285714285714286,1741.0299999713898,26,292,30
Cryptoz.sol,,218,DynaMOSA,true,0.2857142857142857,2,18,0.1111111111111111,39,155,0.25161290322580643,19,34,0.5588235294117647,18,74,0.24324324324324326,1644.0230000019073,10,119,30
AavePoolReward.sol,,208,DynaMOSA,true,0.75,5,10,0.5,27,44,0.6136363636363636,11,12,0.9166666666666666,6,6,1,1786.906000137329,27,298,30
BACMARSLPTOKENPool.sol,,69,DynaMOSA,true,0.5384615384615384,4,12,0.3333333333333333,49,94,0.5212765957446809,24,36,0.6666666666666666,16,30,0.5333333333333333,1724.9850001335144,27,297,30
LUP.sol,,982,DynaMOSA,true,0.575,2,12,0.16666666666666666,30,49,0.6122448979591837,15,18,0.8333333333333334,7,10,0.7,1729.5579998493195,18,204,30
NAL.sol,,706,DynaMOSA,true,0.7194244604316546,4,18,0.2222222222222222,101,150,0.6733333333333333,55,65,0.8461538461538461,42,56,0.75,1709.5250000953674,19,211,30
QuickToken.sol,,194,DynaMOSA,true,0.6461538461538462,3,8,0.375,53,76,0.6973684210526315,16,23,0.6956521739130435,24,34,0.7058823529411765,1746.2649998664856,32,353,144
MIMOToken.sol,,551,DynaMOSA,true,0.8333333333333334,1,2,0.5,25,43,0.5813953488372093,10,10,1,10,12,0.8333333333333334,1744.391000032425,24,268,144
REXUNIFINANCE.sol,,824,DynaMOSA,true,0.7692307692307693,1,2,0.5,42,58,0.7241379310344828,10,11,0.9090909090909091,40,52,0.7692307692307693,1759.5599999427795,35,390,144
BirdOracle.sol,,350,DynaMOSA,true,0.6829268292682927,16,28,0.5714285714285714,45,66,0.6818181818181818,9,9,1,0,2,0,1796.2669999599457,41,461,144
Final.sol,,704,DynaMOSA,true,0.1650485436893204,5,26,0.19230769230769232,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,1685.335000038147,21,235,144
WheatFarm.sol,,445,DynaMOSA,true,0.18446601941747573,7,26,0.2692307692307692,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,1742.5590000152588,46,510,144
UNIWHALE_ERC20.sol,,702,DynaMOSA,true,0.4090909090909091,0,6,0,17,41,0.4146341463414634,7,8,0.875,2,8,0.25,1735.8920001983643,43,482,144
Liquidity_v8.sol,,494,DynaMOSA,true,0.30303030303030304,2,18,0.1111111111111111,34,126,0.2698412698412698,18,33,0.5454545454545454,14,48,0.2916666666666667,1709.082999944687,26,288,144
LpStaking.sol,,448,DynaMOSA,true,0.32456140350877194,2,24,0.08333333333333333,39,139,0.2805755395683453,22,48,0.4583333333333333,12,42,0.2857142857142857,1737.0499999523163,25,280,144
PlasmaswapPair.sol,,6,DynaMOSA,true,0.18333333333333332,0,23,0,20,99,0.20202020202020202,8,14,0.5714285714285714,5,22,0.22727272727272727,1746.2460000514984,29,324,144
Revive.sol,,18,DynaMOSA,false,0.7333333333333333,9,22,0.4090909090909091,74,109,0.6788990825688074,33,38,0.868421052631579,26,36,0.7222222222222222,1720.8529999256134,27,300,133
ANRXToken.sol,,835,DynaMOSA,false,0.782608695652174,6,12,0.5,34,44,0.7727272727272727,11,11,1,13,16,0.8125,1787.2109999656677,25,277,133
