SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
BAE.sol,,927,Random,false,0.35714285714285715,0,6,0,9,50,0.18,5,8,0.625,12,36,0.3333333333333333,1809.25,177,5
BTCParamV2.sol,,209,Random,false,0.19230769230769232,0,12,0,16,56,0.2857142857142857,5,16,0.3125,6,14,0.42857142857142855,1803.9800000190735,404,5
Controller.sol,,469,Random,false,0.7037037037037037,0,8,0,38,70,0.5428571428571428,19,19,1,32,34,0.9411764705882353,1807.1579999923706,324,5
Cryptoz.sol,,33,Random,false,0.49019607843137253,2,18,0.1111111111111111,48,155,0.3096774193548387,24,34,0.7058823529411765,28,74,0.3783783783783784,1811.920000076294,120,149
AavePoolReward.sol,,14,Random,false,0.7142857142857143,5,10,0.5,27,44,0.6136363636363636,11,12,0.9166666666666666,6,6,1,1802.1040000915527,313,149
BACMARSLPTOKENPool.sol,,455,Random,false,0.6222222222222222,6,12,0.5,52,94,0.5531914893617021,25,36,0.6944444444444444,17,30,0.5666666666666667,1800.2030000686646,305,149
CourtFarming_RoomLPStake.sol,,905,Random,false,0.6153846153846154,12,32,0.375,73,108,0.6759259259259259,20,20,1,4,4,1,1804.5750000476837,292,134
ANRXToken.sol,,777,Random,false,0.4782608695652174,6,12,0.5,34,44,0.7727272727272727,11,11,1,13,16,0.8125,1806.1130001544952,297,134
Baz.sol,,345,Random,false,0.8,7,8,0.875,14,16,0.875,2,2,1,0,0,0,1801.170000076294,418,134
BirdOracle.sol,,7,Random,false,0.6153846153846154,15,28,0.5357142857142857,44,66,0.6666666666666666,9,9,1,0,2,0,1801.7640001773834,478,143
Final.sol,,916,Random,false,0.19047619047619047,5,26,0.19230769230769232,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,1803.826000213623,241,143
Liquidity_v8.sol,,856,Random,false,0.3877551020408163,2,18,0.1111111111111111,34,126,0.2698412698412698,18,33,0.5454545454545454,14,48,0.2916666666666667,1803.4960000514984,276,143
Fomp.sol,,37,Random,false,0.6511627906976745,8,24,0.3333333333333333,64,92,0.6956521739130435,19,19,1,15,20,0.75,1801.6960000991821,397,92
GardenContractV2.sol,,282,Random,false,0.32978723404255317,7,62,0.11290322580645161,50,197,0.25380710659898476,25,32,0.78125,0,22,0,1803.4879999160767,224,92
FairStockEquity.sol,,121,Random,false,0.8125,1,6,0.16666666666666666,59,120,0.49166666666666664,27,28,0.9642857142857143,31,48,0.6458333333333334,1806.513000011444,217,92
Dynamic.sol,,600,DynaMOSA,false,0.75,1,2,0.5,3,4,0.75,2,2,1,0,0,0,1765.2780001163483,38,76
Cover_ZapIn_General_V1.sol,,299,DynaMOSA,false,0.34545454545454546,2,16,0.125,39,129,0.3023255813953488,22,42,0.5238095238095238,13,44,0.29545454545454547,1794.1849999427795,18,76
AntiBaseProtocol.sol,,830,DynaMOSA,false,0.7708333333333334,3,8,0.375,85,98,0.8673469387755102,39,42,0.9285714285714286,24,26,0.9230769230769231,1864.2560000419617,24,76
DJCoin.sol,,851,Random,false,0.8275862068965517,3,6,0.5,69,91,0.7582417582417582,22,25,0.88,18,28,0.6428571428571429,1803.417000055313,287,98
BlueICE.sol,,637,Random,false,0.6666666666666666,7,14,0.5,67,117,0.5726495726495726,31,43,0.7209302325581395,20,38,0.5263157894736842,1803.4270000457764,306,98
DatrixoEquityToken.sol,,433,Random,false,0.4722222222222222,5,22,0.22727272727272727,33,62,0.532258064516129,13,16,0.8125,20,28,0.7142857142857143,1800.0550000667572,461,98
AntiBaseProtocol.sol,,511,DynaMOSA,false,0.7708333333333334,3,8,0.375,84,98,0.8571428571428571,39,42,0.9285714285714286,24,26,0.9230769230769231,1845.1559998989105,24,106
Dynamic.sol,,28,DynaMOSA,false,0.75,1,2,0.5,3,4,0.75,2,2,1,0,0,0,1744.960000038147,37,106
Cover_ZapIn_General_V1.sol,,931,DynaMOSA,false,0.34545454545454546,2,16,0.125,39,129,0.3023255813953488,22,42,0.5238095238095238,13,44,0.29545454545454547,1795.210000038147,18,106
BlueICE.sol,,343,DynaMOSA,true,0.5869565217391305,7,14,0.5,67,117,0.5726495726495726,31,43,0.7209302325581395,20,38,0.5263157894736842,1842.733999967575,27,39
DJCoin.sol,,445,DynaMOSA,true,0.7017543859649122,3,6,0.5,69,91,0.7582417582417582,22,25,0.88,18,28,0.6428571428571429,1793.2820000648499,25,39
CourtFarming_RoomLPStake.sol,,438,Random,false,0.6153846153846154,12,32,0.375,73,108,0.6759259259259259,20,20,1,4,4,1,1804.1349999904633,293,44
Baz.sol,,619,Random,false,0.8,7,8,0.875,14,16,0.875,2,2,1,0,0,0,1801.65900015831,424,44
ANRXToken.sol,,492,Random,false,0.4782608695652174,6,12,0.5,34,44,0.7727272727272727,11,11,1,13,16,0.8125,1804.5009999275208,284,44
FairStockEquity.sol,,322,DynaMOSA,true,0.6125,1,6,0.16666666666666666,60,120,0.5,27,28,0.9642857142857143,32,48,0.6666666666666666,1849.7259998321533,19,33
