timestamp, target, covered, total, fitnessEvaluations
1614613139983, MetaCoin, 0, 12, 0
1614613140983, MetaCoin, 0, 12, 0
1614613142002, MetaCoin, 0, 12, 1
1614613143006, MetaCoin, 0, 12, 2
1614613144008, MetaCoin, 0, 12, 3
1614613145008, MetaCoin, 0, 12, 5
1614613146008, MetaCoin, 0, 12, 7
1614613147008, MetaCoin, 0, 12, 9
1614613148008, MetaCoin, 0, 12, 10
1614613149011, MetaCoin, 0, 12, 12
1614613150011, MetaCoin, 0, 12, 13
1614613151013, MetaCoin, 0, 12, 15
1614613152013, MetaCoin, 0, 12, 17
1614613153013, MetaCoin, 0, 12, 18
1614613154013, MetaCoin, 0, 12, 20
1614613155013, MetaCoin, 0, 12, 21
1614613156013, MetaCoin, 0, 12, 22
1614613157013, MetaCoin, 0, 12, 24
1614613158013, MetaCoin, 0, 12, 25
1614613159013, MetaCoin, 0, 12, 26
1614613160013, MetaCoin, 0, 12, 27
1614613161013, MetaCoin, 0, 12, 28
1614613162013, MetaCoin, 0, 12, 29
1614613163013, MetaCoin, 0, 12, 30
1614613164013, MetaCoin, 0, 12, 30
1614613165013, MetaCoin, 0, 12, 31
1614613166013, MetaCoin, 0, 12, 32
1614613167013, MetaCoin, 0, 12, 33
1614613168014, MetaCoin, 0, 12, 34
1614613169015, MetaCoin, 0, 12, 35
1614613170015, MetaCoin, 0, 12, 36
1614613171018, MetaCoin, 0, 12, 37
1614613172018, MetaCoin, 0, 12, 38
1614613173018, MetaCoin, 0, 12, 39
1614613174018, MetaCoin, 0, 12, 40
1614613175018, MetaCoin, 0, 12, 42
1614613176019, MetaCoin, 0, 12, 43
1614613177022, MetaCoin, 0, 12, 44
1614613178022, MetaCoin, 0, 12, 45
1614613179022, MetaCoin, 0, 12, 46
1614613180022, MetaCoin, 0, 12, 47
1614613181022, MetaCoin, 0, 12, 49
1614613182022, MetaCoin, 0, 12, 50
1614613183022, MetaCoin, 0, 12, 51
1614613184023, MetaCoin, 0, 12, 52
1614613185025, MetaCoin, 0, 12, 52
1614613186026, MetaCoin, 0, 12, 52
1614613187026, MetaCoin, 0, 12, 54
1614613188026, MetaCoin, 0, 12, 55
1614613189026, MetaCoin, 0, 12, 57
1614613190026, MetaCoin, 0, 12, 58
1614613191026, MetaCoin, 0, 12, 59
1614613192455, MetaCoin2, 0, 3, 1
1614613193455, MetaCoin2, 0, 3, 2
1614613194455, MetaCoin2, 0, 3, 3
1614613195455, MetaCoin2, 0, 3, 4
1614613196455, MetaCoin2, 0, 3, 6
1614613197463, MetaCoin2, 0, 3, 7
1614613198472, MetaCoin2, 0, 3, 8
1614613199473, MetaCoin2, 0, 3, 9
1614613200473, MetaCoin2, 0, 3, 10
1614613201473, MetaCoin2, 0, 3, 11
1614613202473, MetaCoin2, 0, 3, 12
1614613203473, MetaCoin2, 0, 3, 14
1614613204473, MetaCoin2, 0, 3, 15
1614613205473, MetaCoin2, 0, 3, 16
1614613206473, MetaCoin2, 0, 3, 17
1614613207473, MetaCoin2, 0, 3, 19
1614613208475, MetaCoin2, 0, 3, 20
1614613209475, MetaCoin2, 0, 3, 21
1614613210475, MetaCoin2, 0, 3, 21
1614613211476, MetaCoin2, 0, 3, 21
1614613212477, MetaCoin2, 0, 3, 22
1614613213491, MetaCoin2, 0, 3, 24
1614613214491, MetaCoin2, 0, 3, 25
1614613215491, MetaCoin2, 0, 3, 26
1614613216491, MetaCoin2, 0, 3, 28
1614613217503, MetaCoin2, 0, 3, 29
1614613218505, MetaCoin2, 0, 3, 30
1614613219506, MetaCoin2, 0, 3, 31
1614613220506, MetaCoin2, 0, 3, 32
1614613221506, MetaCoin2, 0, 3, 33
1614613222506, MetaCoin2, 0, 3, 34
1614613223507, MetaCoin2, 0, 3, 36
1614613224507, MetaCoin2, 0, 3, 37
1614613225508, MetaCoin2, 0, 3, 38
1614613226524, MetaCoin2, 0, 3, 39
1614613227525, MetaCoin2, 0, 3, 40
1614613228528, MetaCoin2, 0, 3, 41
1614613229528, MetaCoin2, 0, 3, 42
1614613230531, MetaCoin2, 0, 3, 43
1614613231540, MetaCoin2, 0, 3, 44
1614613232553, MetaCoin2, 0, 3, 46
1614613233553, MetaCoin2, 0, 3, 47
1614613234553, MetaCoin2, 0, 3, 48
1614613235553, MetaCoin2, 0, 3, 49
1614613236553, MetaCoin2, 0, 3, 50
1614613237554, MetaCoin2, 0, 3, 51
1614613238555, MetaCoin2, 0, 3, 52
1614613239556, MetaCoin2, 0, 3, 52
1614613240557, MetaCoin2, 0, 3, 54
1614613241562, MetaCoin2, 0, 3, 55
1614613242563, MetaCoin2, 0, 3, 56
1614613243566, MetaCoin2, 0, 3, 58
1614613244566, MetaCoin2, 0, 3, 59
