timestamp, target, covered, total, fitnessEvaluations
1614613191442, MetaCoin, 0, 12, 60
timestamp, target, covered, total, fitnessEvaluations
1614613191442, MetaCoin, 1, 12, 60
timestamp, target, covered, total, fitnessEvaluations
1614613191442, MetaCoin, 2, 12, 60
timestamp, target, covered, total, fitnessEvaluations
1614613191442, MetaCoin, 3, 12, 60
timestamp, target, covered, total, fitnessEvaluations
1614613191442, MetaCoin, 4, 12, 60
timestamp, target, covered, total, fitnessEvaluations
1614613191442, MetaCoin, 5, 12, 60
timestamp, target, covered, total, fitnessEvaluations
1614613191442, MetaCoin, 6, 12, 60
1614613245420, MetaCoin2, 0, 3, 60
